N	4gram	Bakhtin_sl_1	formyVre
1	в то же время	12	6
2	и в то же	5	4
3	одно и то же	2	3
4	дело в том что	1	2
5	в то время как	2	2
6	можно прямо сказать что	1	2
7	как мы уже сказали	2	2
8	в той или иной	9	1
9	мы имеем в виду	1	1
10	тем чем они были	1	1
11	одной из них у	1	1
12	и прежде всего в	1	1
13	той или иной степени	9	1
14	или во всяком случае	2	1
15	в широком смысле но	1	1
16	то же время он	1	1
17	с точки зрения которого	1	1
18	о которых мы говорили	1	1
19	быть тем чем они	1	1
20	точка зрения на мир	1	1
21	но в то же	4	1
22	так и вне его	1	1
