N	2gram	Bakhtin_Fr_7	UchenyiS
1	и в	41	14
2	а не	2	10
3	не только	5	10
4	прежде всего	11	8
5	и не	7	8
6	не может	3	7
7	вот почему	1	7
8	в этом	15	7
9	то что	8	7
10	может быть	4	6
11	то же	13	5
12	все это	10	5
13	но и	9	4
14	в их	3	4
15	в этой	13	4
16	вряд ли	1	3
17	и то	2	3
18	это не	6	3
19	было бы	4	3
20	как и	14	3
21	в частности	1	3
22	в своей	3	3
23	и т.д	2	3
24	и формы	1	3
25	в то	10	3
26	все же	1	3
27	но в	8	3
28	же время	9	3
29	в области	2	3
30	у нас	1	3
31	для него	6	3
32	не как	1	3
33	ни было	2	3
34	что все	2	2
35	одним из	1	2
36	и с	4	2
37	и через	1	2
38	материала и	1	2
39	а как	1	2
40	это было	2	2
41	самом деле	1	2
42	в буквальном	1	2
43	форму и	1	2
44	прием и	1	2
45	должна быть	1	2
46	превращается в	1	2
47	мы не	2	2
48	не приходится	1	2
49	о чем	1	2
50	знакомая нам	1	2
51	ничего не	4	2
52	том что	4	2
53	на первый	1	2
54	но даже	1	2
55	уже знакомая	1	2
56	нас в	3	2
57	с его	2	2
58	но не	1	2
59	в его	12	2
60	по существу	8	2
61	что и	5	2
62	по себе	1	2
63	конце концов	4	2
64	но это	3	2
65	этом смысле	1	2
66	в том	11	2
67	это уже	1	2
68	и для	5	2
69	что он	3	2
70	в себе	11	2
71	в самом	1	2
72	между тем	1	2
73	и у	5	2
74	только в	6	2
75	не в	9	2
76	для всех	2	2
77	все они	6	2
78	в системе	1	2
79	не есть	2	2
80	этом отношении	2	2
81	его и	1	2
82	не могут	1	2
83	в конце	8	2
84	же самое	1	2
85	тем что	3	2
86	таким образом	19	2
87	даже и	1	2
88	и это	5	1
89	об этом	1	1
90	связанных с	3	1
91	но по	2	1
92	человека и	1	1
93	то есть	20	1
94	в виду	4	1
95	сам по	1	1
96	говорить не	1	1
97	данном случае	1	1
98	в период	1	1
99	и прежде	1	1
100	из самых	3	1
101	или по	1	1
102	и др	2	1
103	еще одно	1	1
104	к которой	1	1
105	никогда не	2	1
106	этот и	1	1
107	так и	10	1
108	по его	1	1
109	той же	3	1
110	этого не	1	1
111	отсюда и	2	1
112	до конца	2	1
113	у других	1	1
114	в храме	1	1
115	с тем	1	1
116	мы имеем	2	1
117	он знает	2	1
118	со своими	1	1
119	именно этот	1	1
120	ссылка на	1	1
121	развитие в	1	1
122	именно к	1	1
123	и разнообразие	2	1
124	в словах	2	1
125	и даже	1	1
126	должно быть	4	1
127	знает только	1	1
128	и форм	1	1
129	и слово	1	1
130	или менее	2	1
131	о нем	3	1
132	все элементы	2	1
133	этой же	1	1
134	тех кто	1	1
135	как на	1	1
136	о том	6	1
137	в ней	5	1
138	и потому	3	1
139	относятся к	1	1
140	почти не	1	1
141	в котором	1	1
142	только для	1	1
143	и что	1	1
144	заключенных в	1	1
145	он был	3	1
146	первый план	1	1
147	все его	3	1
148	в различных	1	1
149	быть в	1	1
150	из которых	2	1
151	в значительной	2	1
152	без труда	2	1
153	признать что	1	1
154	несомненно и	1	1
155	все в	1	1
156	в течение	2	1
157	в той	3	1
158	он может	3	1
159	в данном	2	1
160	бы в	2	1
161	переходит в	1	1
162	того что	2	1
163	и возможностей	1	1
164	в которых	2	1
165	доказывает что	1	1
166	не без	1	1
167	образом на	1	1
168	речи в	1	1
169	их в	2	1
170	за пределы	1	1
171	и вся	3	1
172	еще один	1	1
173	его как	2	1
174	она не	1	1
175	еще раз	1	1
176	его на	1	1
177	в своем	9	1
178	и все	14	1
179	того как	5	1
180	что только	1	1
181	у кого	1	1
182	тот же	2	1
183	более или	2	1
184	как таковое	1	1
185	он уже	1	1
186	так много	3	1
187	в которой	2	1
188	о котором	2	1
189	также несомненно	1	1
190	бы ни	1	1
191	не было	3	1
192	он в	1	1
193	с которыми	1	1
194	в качестве	9	1
195	но именно	3	1
196	тем более	1	1
197	начала и	2	1
198	что по	1	1
199	уже не	2	1
200	далеко не	2	1
201	имеем в	2	1
202	ее как	1	1
203	же в	2	1
204	и всей	1	1
205	в процессе	2	1
206	в виде	1	1
207	теории и	1	1
208	что было	1	1
209	в нем	7	1
210	связанные с	3	1
211	или даже	1	1
212	он не	4	1
213	о которой	1	1
214	сказать что	1	1
215	они в	2	1
216	очень часто	3	1
217	одно из	1	1
218	и так	2	1
219	он и	1	1
220	что еще	1	1
221	в отдельности	2	1
222	что под	1	1
223	правда не	2	1
224	в свое	2	1
225	но он	4	1
226	у него	6	1
227	является одним	1	1
228	ее в	1	1
229	и делает	1	1
230	и свое	1	1
231	и эта	3	1
232	это в	3	1
233	к этому	5	1
234	что в	9	1
235	в таком	1	1
236	все что	4	1
237	от которой	1	1
238	этот путь	1	1
