1	то же время	4	7
2	в то же	4	7
3	в отличие от	12	5
4	в этом отношении	3	5
5	по отношению к	4	4
6	в том что	4	4
7	с одной стороны	5	4
8	о том что	1	4
9	в том числе	1	3
10	с точки зрения	3	3
11	не может быть	15	3
12	но и в	1	2
13	не только в	2	2
14	одной стороны и	3	2
15	на то что	1	2
16	как например в	1	2
17	том числе и	1	2
18	той или иной	5	2
19	с другой стороны	1	2
20	а также в	1	1
21	в той или	3	1
22	слово как таковое	1	1
23	хотя и не	1	1
24	хотя бы и	2	1
25	самого по себе	1	1
26	а не только	1	1
27	и т п	33	1
28	и не только	1	1
29	это как бы	1	1
30	вообще не знает	1	1
31	тем не менее	1	1
32	в связи с	2	1
33	в этом его	1	1
34	в отношении к	4	1
35	может и не	1	1
36	в значительной степени	6	1
37	сама по себе	3	1
38	при этом и	1	1
39	то есть от	2	1
40	для того чтобы	2	1
41	более или менее	2	1
42	может быть только	1	1
43	на этой почве	1	1
44	при этом с	1	1
45	всегда остается в	1	1
46	и наконец в	2	1
47	могли бы быть	1	1
48	на том пути	1	1
49	в свою очередь	2	1
50	и там где	3	1
51	в себе как	1	1
52	и его аудитории	1	1
53	между тем как	1	1
54	в самую гущу	1	1
55	этот как и	1	1
56	лишь тогда когда	2	1
57	такое отношение к	1	1
58	во всей ее	1	1
59	именно там где	1	1
60	в целом ряде	1	1
61	одно из существеннейших	1	1
62	не только не	1	1
