N	3gram	Tiupa_Vved_1	VrazhdaK
1	и все же	4	5
2	то же время	3	4
3	в то же	4	4
4	как и у	1	3
5	в связи с	1	3
6	не может быть	3	2
7	в том что	3	2
8	в е годы	1	1
9	это то что	1	1
10	в котором он	1	1
11	в этом смысле	1	1
12	в ответ на	1	1
13	в соответствии с	6	1
14	уже говорилось выше	1	1
15	в том же	1	1
16	а также в	1	1
17	при этом он	1	1
18	не было бы	1	1
19	в этом отношении	4	1
20	но это не	1	1
21	как он сам	1	1
22	по крайней мере	1	1
23	и в то	1	1
24	но в этот	1	1
25	войне и мире	2	1
26	о том как	1	1
27	едва ли не	2	1
28	следует рассматривать в	1	1
29	но в целом	1	1
30	в высшей степени	2	1
31	на первый взгляд	1	1
32	но при этом	2	1
33	и в этом	1	1
34	а с другой	2	1
35	что к этому	1	1
36	все же не	1	1
37	во всяком случае	1	1
38	с другой стороны	1	1
39	как бы в	1	1
40	тем не менее	3	1
41	в войне и	2	1
42	в свою очередь	4	1
43	о том что	4	1
44	и в самом	1	1
45	на этот раз	1	1
46	но в этом	1	1
47	ко мне и	1	1
48	но и от	1	1
49	на то что	1	1
50	в начале х	1	1
51	не только от	1	1
52	бы в ответ	1	1
53	речь идет о	1	1
