N	4gram	Potebnia_M_1	KulturaY
1	по мере того как	3	3
2	одного и того же	2	2
3	д и т д	1	2
4	заключается в том что	1	2
5	в то же время	3	2
6	а в том что	2	2
7	невозможно влияние произвола как	1	1
8	и притом не только	2	1
9	лингвистики так же невозможно	1	1
10	будто на язык как	1	1
11	на язык как предмет	1	1
12	язык как предмет лингвистики	1	1
13	предмет лингвистики так же	1	1
14	еще и потому что	1	1
15	совершенно несправедливо будто на	1	1
16	и т п и	1	1
17	точно так же как	1	1
18	можно было бы сказать	1	1
19	не что иное как	2	1
20	что в них не	1	1
21	так же невозможно влияние	1	1
22	но с другой стороны	2	1
23	несправедливо будто на язык	1	1
24	с этой точки зрения	1	1
25	не в том что	2	1
26	не только потому что	1	1
27	же люди на чужих	1	1
28	как невозможно соловью поменяться	1	1
29	и т д не	1	1
30	как предмет лингвистики так	1	1
31	что в языке есть	1	1
32	история языка должна быть	1	1
33	в том смысле что	1	1
34	в каждом из этих	1	1
35	говорят же люди на	1	1
36	в применении к языку	2	1
37	же невозможно влияние произвола	1	1
38	на язык как на	2	1
39	произвола как невозможно соловью	1	1
40	влияние произвола как невозможно	1	1
41	и с этой точки	1	1
