N	2gram	Vinokur_Ku_2	RusskieA
1	и в	23	36
2	а а	1	25
3	не только	20	22
4	том что	11	19
5	что в	10	19
6	в том	19	17
7	т е	22	17
8	но и	7	16
9	так как	15	15
10	и другие	1	13
11	п в	3	13
12	в этом	18	12
13	в других	1	11
14	и т	39	10
15	и на	6	10
16	это не	6	10
17	как и	2	10
18	как мы	3	10
19	вместе с	5	10
20	потому что	25	10
21	т д	14	9
22	об этом	5	9
23	а в	3	9
24	состоит в	2	8
25	и по	3	8
26	с тем	2	8
27	у нас	12	8
28	о том	1	8
29	один из	5	8
30	может быть	15	8
31	как это	5	8
32	е в	1	8
33	что они	2	7
34	так и	4	7
35	между тем	6	7
36	что и	3	7
37	мы не	1	6
38	в виде	1	6
39	так например	1	6
40	таким образом	5	6
41	при этом	2	6
42	в день	2	6
43	не имеет	4	6
44	уже не	8	6
45	в них	4	6
46	и не	16	6
47	все это	5	6
48	для нас	4	6
49	будто бы	2	6
50	то что	9	6
51	как в	3	5
52	все же	7	5
53	во многих	1	5
54	в которых	2	5
55	того как	2	5
56	как будто	2	5
57	некоторые другие	1	5
58	с ними	2	5
59	и у	2	5
60	одно из	1	5
61	как бы	4	5
62	этом случае	2	5
63	мы имеем	5	4
64	в первый	3	4
65	еще не	5	4
66	что по	1	4
67	из этих	1	4
68	в их	2	4
69	что этот	1	4
70	тому что	1	4
71	одна из	1	4
72	в русском	10	4
73	связи с	3	4
74	что на	4	4
75	к тому	4	4
76	так в	3	4
77	и что	8	4
78	и их	1	4
79	тем что	3	4
80	и др	1	4
81	того что	3	4
82	по существу	5	4
83	но это	3	4
84	в связи	4	4
85	не может	9	4
86	только в	5	4
87	к этому	4	4
88	как правило	1	3
89	своего рода	4	3
90	в своем	2	3
91	что это	7	3
92	связанные с	2	3
93	на этом	3	3
94	то же	6	3
95	но все	4	3
96	чаще всего	1	3
97	далеко не	1	3
98	несмотря на	5	3
99	в этих	1	3
100	точки зрения	14	3
101	к тем	1	3
102	таким же	2	3
103	с точки	8	3
104	тем не	6	3
105	их в	1	3
106	не менее	7	3
107	ничего не	4	3
108	приводит к	5	3
109	не с	1	3
110	настоящее время	1	3
111	а также	3	3
112	от них	1	3
113	в середине	1	3
114	как например	1	3
115	всякого рода	2	3
116	в качестве	8	3
117	слова в	6	3
118	в одном	1	3
119	к ним	1	3
120	много и	1	3
121	также на	1	3
122	в области	11	3
123	на этот	2	3
124	так же	4	3
125	пишет в	1	3
126	по содержанию	1	3
127	в уже	1	3
128	в это	1	3
129	этого слова	5	3
130	и некоторые	1	3
131	в настоящее	1	3
132	в целях	2	3
133	и к	1	3
134	в свою	2	3
135	но эти	1	3
136	можно говорить	2	2
137	на западе	1	2
138	что иное	1	2
139	как не	3	2
140	это время	1	2
141	в ней	3	2
142	он был	1	2
143	иное как	1	2
144	это имеет	1	2
145	на самом	2	2
146	но не	6	2
147	к слову	2	2
148	не просто	2	2
149	отнюдь не	4	2
150	независимо от	1	2
151	что именно	1	2
152	с этим	3	2
153	мы можем	1	2
154	хотя и	4	2
155	и как	1	2
156	в круг	1	2
157	его к	2	2
158	но в	11	2
159	в целом	1	2
160	все эти	12	2
161	в нашем	7	2
162	и до	2	2
