N	3gram	Medvedev_F_3	VelikijI
1	к тому что	2	3
2	того чтобы овладеть	1	2
3	в нем нет	1	2
4	в том что	3	2
5	и т д	6	2
6	но все же	1	1
7	другой стороны в	1	1
8	в ней и	1	1
9	и во всяком	2	1
10	предложение и не	1	1
11	хотя бы и	1	1
12	в новых формах	1	1
13	бы то ни	4	1
14	вместе с тем	3	1
15	и в жизни	1	1
16	что он был	1	1
17	в конце концов	2	1
18	и не было	1	1
19	с другой стороны	5	1
20	жизни и потому	1	1
21	раз и навсегда	3	1
22	так и в	2	1
23	и вместе с	1	1
24	и никогда не	1	1
25	на страшном суде	1	1
26	менее всего можно	1	1
27	свою роль в	1	1
28	и что в	1	1
29	как и в	1	1
30	в жизни и	1	1
