N	2gram	Propp_Isto_2	OGranits
1	и в	15	13
2	и его	3	12
3	прежде всего	5	9
4	может быть	17	8
5	не может	5	8
6	и не	11	8
7	в его	6	7
8	и их	2	7
9	и пр	7	7
10	только в	6	6
11	как бы	6	6
12	не только	18	6
13	то что	12	6
14	мы должны	4	6
15	таким образом	7	6
16	в материале	1	5
17	все же	9	5
18	и наконец	5	5
19	в процессе	1	5
20	хотя бы	2	5
21	и эта	1	5
22	мы не	3	4
23	но в	6	4
24	мы можем	8	4
25	то же	10	4
26	в своей	1	4
27	было бы	5	4
28	все это	3	4
29	в двух	1	4
30	связана с	6	3
31	и то	2	3
32	самом деле	2	3
33	в пределах	1	3
34	так и	5	3
35	при анализе	1	3
36	говорить о	1	3
37	в их	3	3
38	по отношению	3	3
39	тела и	1	3
40	с этим	5	3
41	в которой	2	3
42	ни один	2	3
43	в себе	4	3
44	к одному	1	3
45	в одном	5	3
46	так как	14	3
47	здесь мы	3	3
48	но и	14	3
49	как и	2	3
50	что же	1	3
51	не в	7	3
52	да и	2	3
53	и для	2	3
54	никогда не	15	3
55	превращается в	2	3
56	отношению к	3	3
57	не столько	2	3
58	что в	12	3
59	и наиболее	1	2
60	ни одно	1	2
61	и др	4	2
62	зависимости от	1	2
63	и может	2	2
64	роль в	3	2
65	и этот	1	2
66	мы уже	6	2
67	есть не	1	2
68	мог бы	3	2
69	подойти к	2	2
70	и делают	1	2
71	что иное	2	2
72	иное как	2	2
73	не что	2	2
74	с самого	2	2
75	себе что	1	2
76	в ней	4	2
77	ее в	2	2
78	а также	2	2
79	нуждается в	1	2
80	что они	10	2
81	вслед за	1	2
82	и следовательно	1	2
83	может иметь	1	2
84	его на	2	2
85	как в	5	2
86	в этом	11	2
87	о социальной	1	2
88	но так	1	2
89	в том	6	2
90	мы видим	8	2
91	тот же	1	2
92	с ними	2	2
93	от этого	1	2
94	в этот	1	2
95	в целом	1	2
96	все эти	4	2
97	с одной	4	2
98	уже в	2	2
99	в нем	7	2
100	связанные с	1	2
101	при этом	4	2
102	в другом	9	2
103	вовсе не	1	2
104	в зависимости	1	2
105	тем что	4	2
106	в них	1	2
107	связанных с	1	2
108	и внутренняя	1	2
109	с другой	2	2
110	всей своей	1	2
111	а как	1	2
112	в самом	1	2
113	входит в	1	2
114	она является	1	2
115	одной стороны	3	2
116	материал в	2	2
117	соответствии с	1	2
118	а не	5	2
119	другой стороны	2	2
120	там где	1	2
121	не мог	3	2
122	несмотря на	1	2
123	в связи	5	2
124	этот материал	2	2
125	том что	7	2
126	и ее	2	2
127	так же	13	2
128	своего рода	1	2
129	в течение	1	2
130	в тех	2	2
131	с этой	1	2
132	не менее	1	2
133	что эта	2	2
134	самого начала	2	2
135	в книге	1	2
136	из тела	3	2
137	во всем	1	2
138	а в	12	2
139	нет ничего	2	2
140	и к	1	2
141	могут быть	2	2
142	к тому	5	2
143	и это	3	1
144	можно говорить	1	1
145	не думает	1	1
146	же как	5	1
147	себя как	1	1
148	в виду	2	1
149	в некоторых	2	1
150	на основе	1	1
151	уже к	1	1
152	это и	1	1
153	и есть	5	1
154	нам кажется	1	1
155	в себя	3	1
156	не имеют	1	1
157	напоминает нам	1	1
158	едва ли	1	1
159	можно было	5	1
160	в несколько	1	1
161	особенно в	1	1
162	здесь нет	2	1
163	возразить что	1	1
