N	4gram	Potebnia_M_4	KFilosof
1	по отношению к нему	1	4
2	бы он ни был	1	2
3	в то же время	3	2
4	один и тот же	2	2
5	дело в том что	1	1
6	только в том что	1	1
7	в том что между	2	1
8	не подлежит сомнению но	1	1
9	в том смысле в	1	1
10	одного и того же	1	1
11	тем не менее в	1	1
12	как бы он ни	1	1
13	одна и та же	1	1
14	здесь дело не в	1	1
15	хотя бы и с	1	1
16	с точки зрения той	1	1
17	то же самое что	1	1
18	никогда не может стать	1	1
19	и по отношению к	2	1
20	а не в ее	1	1
21	в том случае когда	1	1
