N	2gram	Medvedev_S_1	KulturaY
1	в том	5	30
2	и в	3	24
3	том что	2	21
4	что в	2	17
5	было бы	2	15
6	в этом	5	14
7	может быть	2	13
8	все же	1	12
9	таким образом	2	12
10	и не	1	12
11	в его	3	12
12	не в	3	11
13	только в	2	11
14	хотя бы	1	10
15	не только	3	10
16	в силу	1	10
17	вовсе не	1	10
18	о том	1	9
19	отношению к	2	9
20	прежде всего	1	9
21	то что	2	9
22	по отношению	2	8
23	то же	2	8
24	тем что	1	8
25	не может	1	7
26	это не	1	7
27	в них	1	7
28	связи с	1	7
29	в области	1	7
30	так и	1	7
31	бы в	1	7
32	с другой	1	7
33	с помощью	1	7
34	как бы	2	7
35	все эти	1	6
36	что он	1	6
37	но и	2	6
38	именно в	1	6
39	все это	7	6
40	еще не	2	5
41	но не	1	5
42	что это	1	5
43	по крайней	1	5
44	и его	1	5
45	с ним	1	5
46	и что	2	5
47	между тем	1	5
48	крайней мере	1	5
49	еще и	1	5
50	всяком случае	1	5
51	в результате	2	5
52	а в	1	5
53	во всяком	1	5
54	это и	2	4
55	что эти	1	4
56	в целом	1	4
57	в данном	1	4
58	в таких	1	4
59	в частности	2	4
60	и потому	1	4
61	по существу	2	4
62	один из	1	4
63	в этих	1	4
64	науки о	1	3
65	в котором	1	3
66	в сущности	1	3
67	только тогда	1	3
68	очевидно что	2	3
69	в связи	1	3
70	в этой	1	3
71	должна быть	2	3
72	что она	1	3
73	даже в	1	3
74	тому что	1	3
75	ли не	1	3
76	том как	1	3
77	для этого	1	3
78	не было	1	3
79	к которому	2	3
80	а с	1	3
81	они не	1	3
82	пишет он	1	2
83	и есть	1	2
84	как то	1	2
85	и как	1	2
86	чуть ли	1	2
87	но ведь	3	2
88	в каждом	1	2
89	так называемым	1	2
90	и мы	2	2
91	как и	1	2
92	между собою	1	2
93	иначе говоря	1	2
94	нужно было	2	2
95	в своей	1	2
96	и более	1	2
97	по себе	1	2
98	в то	1	2
99	ничего не	1	2
100	дело не	2	2
101	никогда не	1	2
102	же время	1	2
103	и должно	1	2
104	когда мы	1	2
105	слова но	1	2
106	том и	1	2
107	что все	1	2
108	исторической жизни	2	2
109	никак не	1	2
110	литературе и	1	2
111	конечно не	1	2
112	наука о	1	2
113	может служить	1	2
114	это по	1	2
115	на этот	1	2
116	в смысле	2	2
117	для нас	3	2
118	тем более	2	2
119	пришлось бы	1	2
120	между ними	1	2
121	история литературы	1	2
122	я и	1	1
123	вряд ли	1	1
124	и должны	1	1
125	в строгом	1	1
126	противном случае	1	1
127	полагает что	1	1
128	и ценное	1	1
129	столь же	1	1
130	время в	1	1
131	как науки	1	1
132	в область	1	1
133	друг от	1	1
134	в противном	1	1
135	перед нами	1	1
136	вопросом о	1	1
137	стр мы	1	1
138	в чем	1	1
139	идей и	2	1
140	не значат	1	1
141	но именно	1	1
142	осложняется еще	1	1
143	существу это	1	1
144	и по	1	1
145	и стало	1	1
146	же не	1	1
147	историю литературы	1	1
148	на все	1	1
149	этот основной	1	1
150	далеко не	2	1
151	на первый	1	1
152	одно дело	2	1
153	а вот	1	1
154	литературы как	1	1
155	поэтики и	1	1
156	мысли в	1	1
157	в процессе	1	1
158	формальных признаков	1	1
159	как будто	2	1
160	что на	1	1
161	факта что	1	1
162	конечно только	1	1
163	и стиля	1	1
164	но только	1	1
165	все то	1	1
166	как только	2	1
167	в настоящее	1	1
168	более не	1	1
169	от друга	1	1
170	далеко еще	1	1
171	в соответствующих	1	1
172	стр но	1	1
173	только то	1	1
174	это как	1	1
175	даже не	1	1
176	образом в	1	1
177	это зависит	2	1
178	тех кто	1	1
179	настоящее время	1	1
180	есть процесс	1	1
181	должно было	1	1
182	в конечном	1	1
183	и только	3	1
184	связь между	1	1
185	в него	1	1
186	и история	1	1
187	его системе	1	1
188	наше время	1	1
189	не мешает	1	1
190	это же	1	1
191	с одной	1	1
192	наука а	1	1
193	не дает	1	1
194	или даже	2	1
195	в конце	2	1
196	в систему	1	1
197	не из	1	1
198	же это	1	1
199	одной стороны	1	1
200	тотчас же	1	1
201	значении слова	1	1
202	как же	3	1
203	в любой	1	1
204	основной вопрос	1	1
205	зависит от	1	1
206	отнюдь не	1	1
207	но как	1	1
208	теперь он	1	1
209	он говорит	1	1
210	это значит	1	1
211	какие же	1	1
212	его в	1	1
213	и разрешить	1	1
214	только для	1	1
215	в наше	1	1
216	историка литературы	2	1
217	объекта и	1	1
218	развития и	1	1
219	бы он	1	1
220	или нет	1	1
221	ним все	1	1
222	главным образом	2	1
223	только как	2	1
