N	4gram	Vygotskiy__1	Russkaja
1	в том случае если	1	3
2	только в том случае	1	2
3	таким образом оказывается что	1	1
4	одного и того же	1	1
5	дело в том что	1	1
6	в том числе и	1	1
7	точно так же как	1	1
8	указывает на то что	3	1
9	в самом деле для	1	1
10	что с точки зрения	1	1
11	точно так же и	1	1
12	даже тогда когда они	1	1
13	и более или менее	1	1
14	и во всяком другом	1	1
15	одну и ту же	1	1
16	то совершенно ясно что	1	1
17	состоит в том чтобы	1	1
18	заключается в том что	3	1
19	несмотря на то что	2	1
20	в том случае когда	1	1
21	можно ли представить себе	1	1
