N	3gram	Voloshinov_1	Istorich
1	и т д	1	24
2	мы знаем что	3	7
3	до сих пор	3	5
4	но все же	1	4
5	не может быть	3	4
6	мы видели что	1	3
7	в этом случае	1	3
8	как мы видели	4	3
9	в данном случае	3	3
10	по сравнению с	1	3
11	но мы знаем	1	2
12	в таких случаях	2	2
13	о том что	1	2
14	так и в	2	2
15	что в некоторых	1	2
16	он должен был	1	2
17	мы увидим что	4	2
18	говорит об этом	1	2
19	то что он	1	2
20	же как он	1	2
21	на этот вопрос	1	2
22	тем не менее	2	2
23	в узком смысле	1	1
24	мы не можем	1	1
25	это и есть	1	1
26	и др в	1	1
27	мы должны признать	1	1
28	с ним а	1	1
29	ничего не говорит	1	1
30	много лет тому	1	1
31	но и по	1	1
32	что же это	1	1
33	в большинстве случаев	4	1
34	наступления половой зрелости	2	1
35	сравнению с ними	1	1
36	таким образом и	1	1
37	авторитет и власть	1	1
38	можно сказать что	3	1
39	интересен тем что	1	1
40	это не совсем	1	1
41	более позднее время	1	1
42	увидим что в	1	1
43	друг на друга	1	1
44	но в чем	1	1
45	мы можем утверждать	1	1
46	что он не	1	1
47	так и с	1	1
48	и не может	1	1
49	в то время	1	1
50	ничего общего с	1	1
51	но вместе с	2	1
52	и за другими	1	1
53	лет тому назад	1	1
54	и может быть	2	1
55	знаем что в	1	1
56	в связь с	1	1
57	как будто бы	1	1
58	мы знаем теперь	1	1
59	в чем состоит	1	1
60	не могут быть	3	1
61	в зависимости от	2	1
62	но и в	1	1
63	может быть и	1	1
64	что в данном	1	1
65	именно в этой	1	1
66	мы уже знаем	2	1
67	и с помощью	2	1
68	в более позднее	1	1
69	во всех этих	1	1
70	и то же	1	1
71	же это за	1	1
72	остановимся только на	1	1
73	одно и то	1	1
