N	2gram	Vinokur_Ku_2	Komedia
1	и в	23	22
2	по адресу	1	14
3	т е	22	13
4	том что	11	12
5	но и	7	11
6	в том	19	11
7	не только	20	10
8	в то	4	10
9	и т	39	9
10	как и	2	9
11	может быть	15	9
12	таким образом	5	8
13	о том	1	8
14	и его	3	8
15	в одном	1	8
16	и не	16	8
17	едва ли	1	7
18	в этой	6	7
19	то же	6	6
20	тому же	1	6
21	и по	3	6
22	не в	8	6
23	в отношении	2	6
24	ни в	4	6
25	в конце	4	6
26	одного из	2	6
27	что он	5	6
28	такого рода	1	6
29	к тому	4	6
30	а в	3	6
31	в которой	1	6
32	что в	10	6
33	как в	3	5
34	то время	1	5
35	при этом	2	5
36	войны и	1	5
37	нападки на	1	5
38	iv в	1	5
39	потому что	25	5
40	так и	4	5
41	и даже	2	5
42	между тем	6	5
43	один из	5	5
44	уже в	3	5
45	в его	5	5
46	прежде всего	8	5
47	т п	24	5
48	о которых	3	5
49	с другой	8	5
50	все это	5	5
51	другой стороны	7	5
52	по которым	1	4
53	время как	1	4
54	что они	2	4
55	ср также	3	4
56	но в	11	4
57	в нем	4	4
58	т д	14	4
59	и вот	5	4
60	в другом	2	4
61	на протяжении	1	4
62	известно что	1	4
63	несмотря на	5	4
64	точки зрения	14	4
65	в котором	1	4
66	в их	2	4
67	в политическом	1	4
68	так как	15	4
69	как мы	3	4
70	же время	3	4
71	ли не	2	4
72	так в	3	4
73	ясно что	5	4
74	а также	3	4
75	vi в	1	4
76	что и	3	4
77	в качестве	8	4
78	мы можем	1	4
79	тем что	3	4
80	именно в	3	4
81	и опять	1	4
82	в результате	4	4
83	конце концов	3	4
84	же в	3	4
85	по поводу	2	4
86	к этому	4	4
87	речь идет	2	3
88	же как	2	3
89	идет о	1	3
90	в году	2	3
91	мы не	1	3
92	и о	4	3
93	и на	6	3
94	в чем	1	3
95	как правило	1	3
96	с одной	2	3
97	в этом	18	3
98	все же	7	3
99	хотя и	4	3
100	и как	1	3
101	в целом	1	3
102	на то	4	3
103	главным образом	3	3
104	да и	6	3
105	он не	3	3
106	и еще	2	3
107	здесь мы	2	3
108	и богатство	1	3
109	и с	7	3
110	первую очередь	1	3
111	чаще всего	1	3
112	в них	4	3
113	место в	1	3
114	политическом отношении	1	3
115	вопрос о	9	3
116	не менее	7	3
117	однако в	1	3
118	даже в	1	3
119	по отношению	1	3
120	того как	2	3
121	казалось бы	3	3
122	ничего не	4	3
123	этом отношении	3	3
124	у нас	12	3
125	могут быть	4	3
126	после того	2	3
127	по содержанию	1	3
128	в частности	2	3
129	тот же	5	3
130	одной из	1	3
131	только в	5	3
132	и у	2	3
133	в виде	1	3
134	за счет	2	3
135	отношение к	1	3
136	у него	3	3
137	как раз	3	3
138	все более	1	3
139	так же	4	3
140	как это	5	3
141	по своему	1	3
142	одной стороны	1	3
143	не мог	1	3
144	всего в	3	3
145	и все	2	3
146	это однако	1	2
147	того же	3	2
148	тех же	2	2
149	ту же	6	2
150	почти всегда	2	2
151	сам автор	1	2
152	из всех	1	2
153	в сущности	9	2
154	это время	1	2
155	большей частью	1	2
156	он был	1	2
157	столь же	1	2
158	бы то	1	2
159	отличие от	2	2
160	к сожалению	1	2
161	относится к	1	2
162	наряду с	1	2
163	в рамках	1	2
164	независимо от	1	2
165	что к	1	2
166	что касается	2	2
167	что по	1	2
168	этой цели	2	2
169	в самом	12	2
170	в известном	1	2
171	в себе	1	2
172	не следует	5	2
173	в первую	1	2
174	в принципе	1	2
175	в силу	7	2
176	на этом	3	2
177	то ни	1	2
178	связанные с	2	2
179	на все	2	2
180	в уже	1	2
181	было бы	15	2
182	и тем	5	2
183	мы видели	2	2
184	такой же	1	2
185	по сообщению	1	2
186	в следующем	1	2
187	и без	1	2
188	всяком случае	5	2
189	но он	1	2
190	тем не	6	2
191	на такое	1	2
192	не раз	1	2
193	одна из	1	2
194	на те	1	2
195	ему и	1	2
196	как будто	2	2
197	в области	11	2
198	ли это	2	2
199	уже о	3	2
200	одному из	1	2
201	указывает на	1	2
202	с ее	1	2
203	всего этого	1	2
204	в себя	1	2
205	что у	2	2
206	мог бы	1	2
207	для этого	3	2
208	собой и	1	2
209	образом в	2	2
210	находится в	1	2
211	и здесь	5	2
212	аналогии с	3	2
213	нас в	1	2
214	от них	1	2
215	в форме	3	2
216	указывает что	2	2
217	еще не	5	2
218	на сцену	1	2
219	именно на	1	2
220	строя в	1	2
221	из которых	3	2
222	мы знаем	4	2
223	вовсе не	9	2
224	в других	1	2
225	со стороны	4	2
226	до сих	1	2
227	хоть и	1	2
228	в период	1	2
229	вслед за	1	2
230	еще и	2	2
231	то и	3	2
232	которых мы	2	2
233	до конца	3	2
234	у других	1	2
235	этой же	1	2
236	не может	9	2
237	вместе с	5	2
238	за тем	1	2
239	но не	6	2
240	говоря уже	2	2
241	в первые	1	2
242	к нему	2	2
243	сих пор	1	2
244	но это	3	2
245	между прочим	2	2
246	или в	4	2
247	указания на	2	2
248	будто бы	2	2
249	только что	1	2
250	ни было	1	2
251	то что	9	2
252	е в	1	2
253	не говоря	2	2
254	в свою	2	2
255	в действительности	1	2
256	где он	1	2
257	в своих	2	2
258	во всяком	5	2
259	широкое распространение	2	1
260	народ в	1	1
261	можно говорить	2	1
262	также и	5	1
263	обычно в	1	1
264	чтобы не	2	1
265	самое слово	1	1
266	сам по	1	1
267	на самом	2	1
268	не что	1	1
269	отношений в	2	1
270	тем же	2	1
271	исходит из	1	1
272	в основании	2	1
273	объясняется и	1	1
274	в зависимости	4	1
275	его употреблении	1	1
276	по его	1	1
277	мы уже	1	1
278	той же	2	1
279	по мнению	1	1
280	совпадает с	1	1
281	что иное	1	1
282	как впрочем	2	1
283	зависимости от	5	1
284	первого и	1	1
285	и он	1	1
286	вопросы о	1	1
287	в ней	3	1
288	как-то не	1	1
289	от всей	1	1
290	думаю что	2	1
291	иное как	1	1
292	а только	3	1
293	но конечно	1	1
294	сказать и	1	1
295	как у	2	1
296	слишком много	1	1
297	явлением в	1	1
298	он может	1	1
299	отказ от	2	1
300	это видно	1	1
301	употреблении у	1	1
302	не известно	1	1
303	не все	3	1
304	так по	1	1
305	ответ на	2	1
306	есть по	1	1
307	очевидно что	2	1
308	нам право	2	1
309	что два	1	1
310	отнюдь не	4	1
311	и вовсе	2	1
312	с этим	3	1
313	из уст	1	1
314	дает нам	2	1
315	в своем	2	1
316	власть и	1	1
317	смысле этого	2	1
318	когда он	1	1
319	целый ряд	5	1
320	говорит что	1	1
321	заимствования или	1	1
322	его к	2	1
323	и к	1	1
324	его значении	1	1
325	то в	1	1
326	за собой	2	1
327	всего лишь	3	1
328	не приходится	1	1
329	что это	7	1
330	мы получаем	1	1
331	сказать о	1	1
332	так или	2	1
333	что же	5	1
334	чуть ли	1	1
335	из этих	1	1
336	сущности и	1	1
337	но без	1	1
338	приводит к	5	1
339	бы только	1	1
340	другом случае	1	1
341	роль в	2	1
342	не обходится	1	1
343	не могла	1	1
344	не получили	1	1
345	о литературных	1	1
346	и политическая	1	1
347	от которого	1	1
348	что же?	1	1
349	его стихи	1	1
350	состоит в	2	1
351	к одному	1	1
352	по существу	5	1
353	его от	1	1
354	жалобы на	1	1
355	что она	3	1
356	но все	4	1
357	значительной степени	1	1
358	свою власть	1	1
359	что все	5	1
360	с сельским	1	1
361	в совершенно	1	1
362	об этом	5	1
363	на этой	4	1
364	и под	1	1
365	перед нами	4	1
366	должен был	1	1
367	нет в	1	1
368	все равно	2	1
369	соответствии с	2	1
370	простой причине	1	1
371	с тем	2	1
372	и уже	1	1
373	представляет себе	1	1
374	и целые	1	1
375	слова и	5	1
376	себе все	1	1
377	являются наиболее	1	1
378	в этих	1	1
379	не так	1	1
380	о первой	1	1
381	никаких оснований	2	1
382	можно найти	1	1
383	уже несколько	1	1
384	а как	1	1
385	этому же	1	1
386	превратилась в	1	1
387	в отличие	2	1
388	в которых	2	1
389	несомненно что	1	1
390	которые в	1	1
391	однако не	4	1
392	и более	2	1
393	с такими	1	1
394	том же	1	1
395	таких случаев	1	1
396	одно лишь	1	1
397	даже как-то	1	1
398	по себе	10	1
399	это особенно	1	1
400	тому что	1	1
401	этой области	4	1
402	если и	3	1
403	из конкретных	1	1
404	самого начала	1	1
405	поскольку однако	1	1
406	на себе	4	1
407	и два	1	1
408	с и	1	1
409	также что	2	1
410	того чтобы	11	1
411	следовательно и	2	1
412	что только	1	1
413	под этим	2	1
414	первая часть	1	1
415	они являются	1	1
416	для постановки	1	1
417	п в	3	1
418	во всем	1	1
419	убедиться в	1	1
420	так например	1	1
421	следует что	3	1
422	нужна была	1	1
423	мы и	1	1
424	что на	4	1
425	за ними	2	1
426	и для	2	1
427	не могут	5	1
428	да рядом	2	1
429	принято считать	1	1
430	сталкиваемся с	1	1
431	далеко за	1	1
432	это конечно	2	1
433	наоборот в	1	1
434	по возможности	1	1
435	даже и	2	1
436	уже на	1	1
437	слова с	1	1
438	наконец что	1	1
439	в каждом	1	1
440	классического периода	1	1
441	и это	3	1
442	в театре	1	1
443	это только	2	1
444	населения и	1	1
445	данном случае	2	1
446	и попытки	1	1
447	бы однако	1	1
448	присоединения к	1	1
449	с самого	1	1
