N	2gram	Berdyaev_M_1	KulturaY
1	и т	1	39
2	потому что	16	25
3	т п	1	24
4	и в	28	23
5	т е	2	22
6	не только	29	20
7	в том	6	19
8	в этом	20	18
9	и не	11	16
10	может быть	30	15
11	так как	3	15
12	было бы	10	15
13	ни к	1	15
14	точки зрения	4	14
15	все эти	2	12
16	у нас	5	12
17	в самом	11	12
18	если бы	2	12
19	того чтобы	2	11
20	но в	7	11
21	в области	1	11
22	том что	3	11
23	что в	10	10
24	а не	25	10
25	вопрос о	2	9
26	не может	28	9
27	вовсе не	1	9
28	хотя бы	3	9
29	то что	5	9
30	для того	2	9
31	можно было	1	9
32	самом деле	1	9
33	не в	16	8
34	прежде всего	10	8
35	уже не	4	8
36	и что	2	8
37	и с	3	7
38	не менее	1	7
39	все же	2	7
40	но и	25	7
41	в силу	1	7
42	но не	8	6
43	между тем	1	6
44	это не	5	6
45	что не	1	6
46	да и	1	6
47	ту же	1	6
48	в этой	6	6
49	и на	6	6
50	этот вопрос	1	6
51	что мы	1	6
52	приводит к	2	5
53	и вот	3	5
54	во всяком	1	5
55	должна быть	6	5
56	все это	6	5
57	об этом	1	5
58	еще не	1	5
59	что же	1	5
60	вместе с	6	5
61	в его	9	5
62	лишь в	6	5
63	зависимости от	1	5
64	всяком случае	1	5
65	не могут	5	5
66	только в	6	5
67	также и	2	5
68	один из	4	5
69	должен быть	2	5
70	я не	1	5
71	целый ряд	1	5
72	что он	10	5
73	мы имеем	1	5
74	и то	1	5
75	для нас	3	4
76	так же	1	4
77	так и	1	4
78	не было	18	4
79	в каком	2	4
80	в нем	13	4
81	в конце	7	4
82	что я	1	4
83	бы и	3	4
84	в то	2	4
85	в нашей	1	4
86	к тому	3	4
87	не имеет	3	4
88	сказать что	2	4
89	и о	1	4
90	должно быть	3	4
91	ничего не	3	4
92	в них	4	4
93	вряд ли	3	4
94	в зависимости	1	4
95	от того	1	4
96	могут быть	2	4
97	к этому	2	4
98	в пределах	1	4
99	как бы	2	4
100	но также	1	4
101	если и	1	3
102	не знает	4	3
103	смысл и	1	3
104	конце концов	2	3
105	на это	1	3
106	то и	1	3
107	так в	1	3
108	у него	17	3
109	казалось бы	1	3
110	в ней	15	3
111	а в	4	3
112	того что	7	3
113	не все	2	3
114	что дух	2	3
115	различие между	2	3
116	как в	2	3
117	нисколько не	1	3
118	и его	9	3
119	в первый	1	3
120	что такое	1	3
121	с этим	3	3
122	к этой	2	3
123	это и	4	3
124	этого вопроса	1	3
125	отличается от	2	3
126	всех этих	1	3
127	тем что	4	3
128	что и	4	3
129	он не	24	3
130	на этом	3	3
131	чем в	2	3
132	всего в	2	3
133	знает что	1	3
134	что она	1	3
135	до конца	14	3
136	и это	12	3
137	уже в	4	3
138	в виду	2	3
139	и по	4	3
140	но это	1	3
141	с первого	1	2
142	по сравнению	2	2
143	наше время	1	2
144	достоевского и	10	2
145	то не	1	2
146	тех же	1	2
147	мы говорим	1	2
148	на том	3	2
149	что они	1	2
150	вопросе о	1	2
151	не должно	1	2
152	и для	2	2
153	был бы	10	2
154	выходит за	1	2
155	рядом с	1	2
156	меньше чем	1	2
157	и все	10	2
158	а именно	1	2
159	том случае	1	2
160	к нему	7	2
161	за собой	2	2
162	вообще и	1	2
163	сознания и	1	2
164	в своей	15	2
165	интересно что	1	2
166	а на	1	2
167	есть явление	1	2
168	стоит в	1	2
169	в их	4	2
170	смысле слова	4	2
171	ответ на	1	2
172	он лишен	1	2
173	в свою	2	2
174	его к	1	2
175	в отношении	1	2
176	случае если	1	2
177	оно не	1	2
178	что ничего	1	2
179	с той	1	2
180	не хочет	2	2
181	всего что	2	2
182	с этой	4	2
183	отношения к	4	2
184	литература и	1	2
185	быть не	2	2
186	или о	1	2
187	на самом	1	2
188	в той	2	2
189	и даже	1	2
190	хотелось бы	1	2
191	на все	1	2
192	в отличие	1	2
193	конечно не	3	2
194	одного из	1	2
195	в своем	10	2
196	отличие от	1	2
197	не на	1	2
198	и от	2	2
199	от этого	2	2
200	и еще	3	2
201	и потому	10	2
202	никогда не	14	2
203	и всякой	1	2
204	даже и	2	2
205	же и	1	2
206	будто бы	3	2
207	роль в	1	2
208	но оно	1	2
209	чтобы не	2	2
210	в иных	3	2
211	есть вместе	1	2
212	с тем	9	2
213	первый период	1	2
214	она не	4	2
215	также что	1	2
216	нельзя было	1	2
217	как у	1	2
218	не как	4	2
219	в атмосфере	1	2
220	в своих	1	2
221	в наше	2	2
222	лишь с	1	2
223	за этим	1	2
224	в частности	1	2
225	только для	1	2
226	пишет он	2	2
227	на этот	2	2
228	и у	2	2
229	и до	1	2
230	и есть	14	2
231	в которых	4	2
232	в самой	7	2
233	и более	1	2
234	заключается в	1	2
235	как будто	2	2
236	отказ от	1	2
237	как и	5	2
238	он уже	6	2
239	он и	2	2
240	теряет свою	1	2
241	как от	1	1
242	россии и	1	1
243	его от	1	1
244	то мы	1	1
245	по природе	1	1
246	который и	2	1
247	и там	4	1
248	в искусстве	1	1
249	прежде чем	2	1
250	процесса как	1	1
251	связи со	1	1
252	это особенно	2	1
253	в себе	7	1
254	потому и	1	1
255	когда мы	2	1
256	всегда в	1	1
257	в значительной	1	1
258	есть дело	1	1
259	мне все	1	1
260	не значит	2	1
261	показать в	1	1
262	сравнению с	1	1
263	бы быть	1	1
264	ничего кроме	1	1
265	бы в	2	1
266	это все	1	1
267	нельзя ставить	1	1
268	уж тут	1	1
269	в которой	6	1
270	место в	2	1
271	но он	9	1
272	но нужно	1	1
