1	и т д	6	11
2	в то же	4	7
3	по нашему мнению	1	4
4	до сих пор	4	3
5	ю м лотмана	2	3
6	не может быть	3	3
7	в целом и	1	2
8	в известной мере	1	2
9	и не может	1	2
10	так и в	1	2
11	так же как	1	2
12	и в то	1	2
13	и многое другое	1	2
14	в самом деле	2	2
15	по крайней мере	6	2
16	во всяком случае	10	2
17	в том что	4	2
18	в таком случае	10	2
19	о том что	14	2
20	это прежде всего	1	2
21	с другой стороны	5	2
22	мы не можем	1	1
23	как будто бы	5	1
24	в том числе	2	1
25	такие термины как	2	1
26	а с другой	1	1
27	содержит в себе	2	1
28	в известном смысле	1	1
29	с самого начала	2	1
30	у нас не	2	1
31	не является только	1	1
32	относится и к	1	1
33	с первого взгляда	1	1
34	но как бы	1	1
35	нам хотелось бы	2	1
36	в связи с	5	1
37	не то что	1	1
38	сами по себе	2	1
39	том что в	2	1
40	а тем самым	1	1
41	статьи ю м	2	1
42	можно было бы	2	1
43	отнюдь не означает	1	1
44	то или иное	2	1
45	и особенно в	1	1
46	ничего общего с	2	1
47	находит и в	1	1
48	это и есть	2	1
49	но отнюдь не	1	1
50	в какой-то мере	1	1
51	той или иной	1	1
52	том числе и	2	1
53	что у нас	1	1
54	будет рассматриваться в	1	1
55	а может быть	2	1
56	в каждом из	1	1
57	точно так же	3	1
58	потому что они	1	1
59	может быть определен	1	1
60	и нет ничего	1	1
61	о том как	1	1
62	в то время	1	1
63	и тут же	2	1
64	но это не	1	1
65	и прежде всего	2	1
66	в частности в	2	1
67	того или иного	5	1
68	то что не	2	1
69	только то что	3	1
70	думать о том	1	1
71	на то чтобы	1	1
72	тем что они	1	1
73	только потому что	1	1
74	что в нем	1	1
75	и в этом	3	1
76	но в таком	3	1
77	тем что он	1	1
78	же как и	1	1
