N	4gram	Potebnia_M_4	DiskursI
1	в то же время	3	3
2	одного и того же	1	2
3	в том числе и	1	2
4	а в том что	1	2
5	ни прибавить ни убавить	1	2
6	только в том что	1	1
7	мы имеем дело с	1	1
8	в чем и состоит	1	1
9	в том что человек	1	1
10	и не может быть	1	1
11	в том случае если	1	1
12	не в том что	1	1
13	заключается в том что	1	1
14	мы имеем дело не	1	1
15	имеем дело не с	1	1
16	одним и тем же	1	1
17	дело в том что	1	1
18	то же время и	1	1
19	внимание на то что	2	1
20	обратить внимание на то	2	1
21	нет и не может	1	1
22	следует обратить внимание на	1	1
23	лицом к лицу с	1	1
