N	4gram	Vinokur_Vv_1	Dialekti
1	одно и то же	1	4
2	в то же время	5	4
3	сама по себе не	1	3
4	с одной стороны и	3	2
5	и т д но	5	2
6	и в этом смысле	1	2
7	так как она есть	1	2
8	что в нем есть	1	2
9	и т д и	1	2
10	и тем не менее	3	1
11	т д все это	1	1
12	дело в том что	2	1
13	только в том чтобы	1	1
14	так а не иначе	1	1
15	т е по существу	1	1
16	одной и той же	2	1
17	но уже и сейчас	1	1
18	как бы ее ни	1	1
19	в том что такое	1	1
20	не что иное как	4	1
21	и т д все	2	1
22	об отношении его к	1	1
23	и об отношении его	1	1
24	отчет в том что	1	1
25	но все же это	1	1
26	в каждом из них	1	1
27	и т д в	2	1
28	но в то же	3	1
29	есть не что иное	2	1
30	во всяком случае гораздо	1	1
31	можно представить себе что	1	1
32	в связи с этим	1	1
