N	2gram	Medvedev_I_1	Myslijsy
1	в этом	2	23
2	и в	1	23
3	и не	2	18
4	что в	2	17
5	того что	1	14
6	если бы	1	13
7	по отношению	1	10
8	тем что	1	10
9	стало быть	1	8
10	отношению к	1	8
11	очевидно что	1	7
12	так и	1	6
13	для того	1	6
14	говорить о	1	5
15	есть только	1	5
16	для него	1	5
17	все это	1	5
18	а в	1	5
19	и о	1	4
20	и с	3	4
21	на котором	1	4
22	того чтобы	1	4
23	и та	1	4
24	то и	1	4
25	по поводу	1	4
26	все эти	1	3
27	и тот	1	3
28	в них	1	3
29	никогда не	1	3
30	так то	1	3
31	более чем	1	3
32	только что	1	3
33	я не	1	2
34	он не	2	2
35	это было	1	2
36	и без	1	2
37	бы в	1	2
38	не так	1	2
39	с другой	1	2
40	и др	1	2
41	только для	1	2
42	а если	1	2
43	того же	1	1
44	следующим образом	1	1
45	какую роль	1	1
46	в огороде	1	1
47	и еще	1	1
48	и сам	1	1
49	от нее	1	1
50	них не	1	1
51	а по	1	1
52	когда его	1	1
53	в эту	1	1
54	как о	1	1
55	знания нет	1	1
56	а для	1	1
57	ничего не	2	1
58	доказать что	1	1
59	что при	1	1
60	то она	1	1
61	к нам	1	1
62	о ней	1	1
63	а также	1	1
64	могло бы	1	1
65	же это	1	1
66	а с	1	1
67	та и	1	1
68	но когда	1	1
69	бы все	1	1
70	нам в	1	1
71	и широко	1	1
72	другой стороны	1	1
73	фундамент на	1	1
74	жизни и	1	1
