N	2gram	Medvedev_U_1	KulturaY
1	в том	2	30
2	и в	14	24
3	том что	2	21
4	что в	1	17
5	было бы	3	15
6	в этом	7	14
7	может быть	6	13
8	все же	3	12
9	таким образом	2	12
10	и не	8	12
11	в его	2	12
12	не в	2	11
13	только в	2	11
14	хотя бы	5	10
15	в самом	2	10
16	не только	10	10
17	у нас	3	10
18	самом деле	2	9
19	если бы	2	9
20	о том	1	9
21	того что	1	9
22	прежде всего	8	9
23	то что	7	9
24	уже не	1	8
25	то же	5	8
26	тем что	2	8
27	как раз	2	8
28	а не	10	8
29	не может	7	7
30	это не	3	7
31	в области	3	7
32	так и	1	7
33	бы в	1	7
34	в качестве	1	7
35	с другой	4	7
36	мы имеем	1	6
37	в ней	1	6
38	в которой	1	6
39	в которых	1	6
40	тогда когда	1	6
41	не случайно	2	6
42	что он	2	6
43	но и	4	6
44	что же	1	6
45	все это	5	6
46	другой стороны	3	6
47	что такое	4	6
48	но не	2	5
49	и с	2	5
50	с тем	1	5
51	по крайней	2	5
52	в виду	1	5
53	и что	1	5
54	между тем	2	5
55	крайней мере	2	5
56	язык в	1	5
57	содержание и	1	5
58	в той	1	5
59	этом отношении	2	5
60	с его	2	4
61	на то	1	4
62	в нем	1	4
63	в первую	1	4
64	в данном	1	4
65	речи в	1	4
66	того как	1	4
67	и является	2	4
68	в пределах	1	4
69	что и	2	4
70	не есть	2	4
71	до сих	2	4
72	в частности	3	4
73	и потому	1	4
74	по существу	2	4
75	сих пор	2	4
76	же в	1	4
77	и то	3	3
78	в котором	1	3
79	той же	1	3
80	в противовес	2	3
81	очевидно что	3	3
82	в своем	1	3
83	более или	1	3
84	в этой	4	3
85	в себе	2	3
86	на его	1	3
87	должна быть	2	3
88	что она	2	3
89	а это	1	3
90	должно быть	1	3
91	или менее	1	3
92	в г	1	3
93	в их	4	3
94	сводится к	2	3
95	для этого	3	3
96	можно сказать	1	3
97	есть язык	1	3
98	этом смысле	2	3
99	обе эти	1	3
100	даже и	2	3
101	не было	1	3
102	и даже	1	3
103	если не	2	3
104	смысле этого	2	3
105	в системе	2	3
106	как на	1	3
107	в таком	1	3
108	одним из	2	2
109	пишет он	2	2
110	бы и	2	2
111	один пример	1	2
112	этого термина	2	2
113	не все	2	2
114	относится к	1	2
115	могли бы	2	2
116	но в	3	2
117	формы в	3	2
118	так или	1	2
119	еще один	1	2
120	он не	1	2
121	первую очередь	1	2
122	этого не	1	2
123	как и	3	2
124	иначе говоря	1	2
125	как таковой	2	2
126	но если	1	2
127	в своей	3	2
128	не столько	2	2
129	что было	1	2
130	по себе	2	2
131	до конца	1	2
132	что с	1	2
133	в то	3	2
134	ничего не	2	2
135	никогда не	1	2
136	же время	3	2
137	быть в	1	2
138	не могут	2	2
139	но также	1	2
140	что все	2	2
141	ему приходится	1	2
142	о котором	1	2
143	одно из	1	2
144	смысле и	1	2
145	о нем	1	2
146	это было	2	2
147	тот же	1	2
148	сторону от	1	2
149	в сторону	2	2
150	конечно не	4	2
151	доказывает что	1	2
152	то и	1	2
153	наука о	1	2
154	может служить	1	2
155	или иначе	1	2
156	только к	3	2
157	превращается в	2	2
158	о чем	2	2
159	на эту	2	2
160	этом случае	1	2
161	и для	2	2
162	и все	1	2
163	тем более	1	2
164	пришлось бы	3	2
165	история литературы	1	2
166	в свое	1	2
167	есть наука	1	2
168	ее в	1	2
169	пушкин и	1	2
