N	3gram	Losev_Vlad_3	PoTuStor
1	с точки зрения	6	6
2	с самого начала	1	4
3	в этом смысле	3	3
4	до сих пор	1	3
5	во всяком случае	3	3
6	не может быть	6	3
7	а потому и	1	2
8	прежде всего а	1	2
9	так же как	2	2
10	в самом деле	1	2
11	все то что	1	2
12	о том что	8	2
13	и в этом	5	2
14	нечего и говорить	1	2
15	уже знаем что	1	1
16	для него только	1	1
17	ничего не говорит	4	1
18	дело в том	5	1
19	из этих трех	2	1
20	но даже и	2	1
21	едва ли так	1	1
22	то же самое	1	1
23	же как и	1	1
24	на первый план	2	1
25	он не был	1	1
26	бы то ни	3	1
27	не может иметь	1	1
28	сказать что для	1	1
29	в этом отношении	2	1
30	совершенно так же	2	1
31	можно было бы	1	1
32	как это было	1	1
33	именно то что	1	1
34	каждое из этих	1	1
35	с этой точки	1	1
36	вместе с тем	6	1
37	в каком отношении	1	1
38	в данном случае	2	1
39	их объединяет и	1	1
40	то ни было	1	1
41	с одной стороны	3	1
42	в связи с	2	1
43	в году в	3	1
44	в себя и	1	1
45	так и с	1	1
46	а с другой	2	1
47	но вместе с	1	1
48	в этой работе	1	1
49	и она не	1	1
50	в том что	10	1
51	этой точки зрения	1	1
52	и ни в	1	1
53	а вместе с	1	1
54	мы не можем	1	1
55	это и есть	1	1
56	в некоторых отношениях	1	1
57	еще в году	2	1
58	и превратить в	1	1
59	какие были в	1	1
60	что иное как	1	1
61	мы знаем что	1	1
62	и как мы	1	1
63	он не дает	1	1
64	есть прежде всего	2	1
65	в философии и	1	1
66	в том смысле	1	1
67	не что иное	1	1
68	мы уже знаем	1	1
69	для того чтобы	1	1
70	как мы знаем	2	1
71	той или иной	1	1
72	мог бы сделать	1	1
