N	3gram	Nazirov_Tr_1	Myshleni
1	в том что	2	11
2	по сравнению с	1	5
3	с самого начала	1	5
4	о том что	2	4
5	в этом случае	1	3
6	вместо того чтобы	1	3
7	связаны между собой	1	3
8	не может быть	1	3
9	на вопрос о	1	3
10	не только не	1	3
11	в самом деле	1	2
12	том что он	1	2
13	на всем протяжении	1	2
14	и не может	1	2
15	в той же	1	2
16	что он не	1	2
17	в отличие от	2	2
18	и то что	1	2
19	и в частности	2	2
20	в высшей степени	1	2
21	но при этом	1	2
22	то что он	1	2
23	но все же	2	2
24	в обоих случаях	1	1
25	в скрытом виде	1	1
26	если можно так	1	1
27	сам по себе	1	1
28	но и на	1	1
29	тем чем для	1	1
30	относится то что	1	1
31	как это часто	1	1
32	к тому типу	1	1
33	в известной мере	1	1
34	как и его	1	1
35	и т.д не	1	1
36	которой не может	1	1
37	об этом прямо	1	1
38	в применении к	1	1
39	в этой связи	1	1
40	смысле этого слова	1	1
41	не только по	1	1
42	по нашему мнению	1	1
43	не могут быть	1	1
44	в связи с	1	1
45	во всяком случае	1	1
46	так и в	3	1
47	тем не менее	1	1
48	между этими двумя	2	1
49	и вместе с	1	1
50	в этом варианте	1	1
51	можно так выразиться	1	1
52	в то же	5	1
53	к тому что	1	1
