1	тогда как	10	19
2	в этом	8	18
3	и в	24	16
4	не только	15	16
5	так и	5	15
6	как и	7	14
7	но и	9	12
8	том что	8	12
9	в том	18	12
10	и не	19	12
11	могут быть	8	10
12	а не	18	10
13	при этом	13	10
14	как бы	9	10
15	то есть	30	9
16	лишь в	1	9
17	ничего не	1	9
18	состоит в	2	8
19	в целом	3	8
20	то что	20	7
21	к тому	1	7
22	в себе	10	7
23	о том	5	7
24	как это	2	6
25	но в	4	6
26	может быть	23	6
27	в самом	4	6
28	и на	8	6
29	с другой	6	6
30	в сторону	1	5
31	с одной	4	5
32	для него	10	4
33	столь же	5	4
34	хотя и	3	4
35	тому же	1	4
36	и его	2	4
37	одной стороны	3	4
38	все это	2	4
39	уже не	4	4
40	времени в	1	4
41	внутренней речи	1	4
42	этом случае	1	4
43	в сознании	23	4
44	между двумя	6	4
45	в ходе	1	4
46	тем самым	4	4
47	он в	1	4
48	того же	14	4
49	и тем	3	4
50	но не	12	4
51	имеет место	2	4
52	в себя	2	4
53	только в	11	4
54	у него	2	4
55	не в	13	4
56	за пределы	2	4
57	не так	3	4
58	не может	12	4
59	не с	3	4
60	как в	10	4
61	не менее	5	4
62	во второй	1	4
63	на этом	2	4
64	во всех	7	4
65	только не	1	4
66	можно сказать	1	4
67	то же	12	4
68	по отношению	2	4
69	его от	1	3
70	если бы	11	3
71	было бы	13	3
72	я и	1	3
73	в действительности	2	3
74	так что	10	3
75	одного из	1	3
76	по крайней	5	3
77	не столько	2	3
78	на себе	1	3
79	по поводу	6	3
80	и если	4	3
81	тем не	6	3
82	и все	3	3
83	никогда не	4	3
84	что на	3	3
85	бы в	2	3
86	с ними	3	3
87	что касается	1	3
88	или в	2	3
89	а в	8	3
90	со стороны	3	3
91	как мы	1	3
92	только на	1	3
93	тем что	7	3
94	в первой	1	3
95	именно в	1	3
96	есть в	2	3
97	в нашем	2	3
98	на две	2	3
99	что и	11	3
100	в их	1	3
101	в словах	3	3
102	и то	3	3
103	прежде всего	7	3
104	тому как	4	3
105	и сам	1	3
106	подобно тому	4	3
107	ответ на	1	3
108	место в	4	3
109	из них	5	3
