N	2gram	Vinokur_St_1	EvropaiE
1	и в	44	37
2	в отношении	9	32
3	точки зрения	11	23
4	что в	30	21
5	не только	18	18
6	с точки	8	17
7	в то	9	16
8	то же	5	15
9	хотя бы	6	15
10	отношении к	1	15
11	в своем	2	14
12	но в	10	14
13	же время	4	14
14	в качестве	4	14
15	но и	10	14
16	и не	16	14
17	в этом	21	12
18	в области	14	11
19	в том	36	11
20	так и	9	10
21	в себе	2	9
22	только в	10	9
23	прежде всего	7	9
24	не может	8	9
25	так же	5	9
26	т е	15	9
27	в ее	4	8
28	думать что	2	8
29	было бы	17	8
30	в своей	6	8
31	к тому	1	8
32	между тем	3	8
33	с одной	3	8
34	одной стороны	2	8
35	также и	9	7
36	а также	2	7
37	того что	9	7
38	так как	5	7
39	с другой	9	7
40	как и	9	7
41	между прочим	2	7
42	может быть	15	6
43	и на	1	6
44	во всех	8	6
45	стороны и	1	6
46	на то	4	6
47	то есть	2	6
48	том что	29	6
49	того чтобы	11	6
50	вовсе не	19	6
51	для того	10	6
52	и даже	5	6
53	как бы	4	6
54	с этой	3	6
55	то что	18	6
56	же как	3	5
57	столь же	4	5
58	но не	3	5
59	не в	12	5
60	в россии	4	5
61	и по	5	5
62	но если	4	5
63	тем самым	2	5
64	как мы	1	5
65	одной из	1	5
66	в виде	3	5
67	со стороны	6	5
68	от этого	2	5
69	в частности	4	5
70	и потому	2	5
71	в течение	1	5
72	в той	6	5
73	то в	3	4
74	мы не	2	4
75	вопрос о	4	4
76	но даже	1	4
77	в ней	3	4
78	россии в	1	4
79	в самом	7	4
80	во многих	3	4
81	то ни	1	4
82	того или	4	4
83	несмотря на	2	4
84	чем в	3	4
85	даже в	3	4
86	не имеет	4	4
87	и притом	1	4
88	в процессе	1	4
89	иными словами	1	4
90	в перспективе	1	4
91	той или	1	4
92	бы то	1	4
93	по себе	1	4
94	можно сказать	1	4
95	тем более	4	4
96	именно в	6	4
97	или иной	1	4
98	не на	1	4
99	как это	4	4
100	для нас	7	4
101	сказать что	7	4
102	или иного	4	4
103	культуры в	3	4
104	в каком	3	4
105	в применении	3	3
106	идет о	2	3
107	бы и	4	3
108	в деле	3	3
109	на себя	1	3
110	того же	3	3
111	время в	1	3
112	как в	13	3
113	и к	1	3
114	или иную	1	3
115	в известном	1	3
116	но на	2	3
117	вообще не	2	3
118	этом смысле	1	3
119	и тем	3	3
120	в них	1	3
121	с тем	1	3
122	можно считать	1	3
123	и некоторые	1	3
124	во второй	9	3
125	в которых	5	3
126	можно ли	4	3
127	дело в	6	3
128	никогда не	5	3
129	потому что	6	3
130	уже и	1	3
131	бы ни	1	3
132	всех случаях	1	3
133	можно было	13	3
134	о том	17	3
135	место в	1	3
136	что и	6	3
137	отметить что	2	3
138	и только	3	3
139	всяком случае	6	3
140	в данной	2	3
141	из них	8	3
142	ту или	1	3
143	очевидно что	1	3
144	потребность в	1	3
145	себе в	1	3
146	в прошлом	1	3
147	к ним	1	3
148	на долю	1	3
149	тем что	5	3
150	этом отношении	7	3
151	говорит о	3	3
152	связано с	1	3
153	там где	5	3
154	ни на	2	3
155	в данном	14	3
156	применении к	3	3
157	в остальном	1	3
158	в культуре	1	3
159	не является	3	3
160	и для	3	3
161	и от	1	3
162	в результате	3	3
163	как на	1	3
164	в таком	3	3
165	во всяком	6	3
166	и то	5	2
167	что эти	1	2
168	ведь и	3	2
169	должна быть	3	2
170	и этот	1	2
171	и другая	1	2
172	из того	2	2
173	на них	1	2
174	между собой	1	2
175	но как	1	2
176	в сторону	2	2
177	друг от	1	2
178	в свои	1	2
179	как их	1	2
180	в истории	3	2
181	более чем	2	2
182	с этим	3	2
183	хотя и	1	2
184	целый ряд	2	2
185	что это	4	2
186	чем на	1	2
187	в этой	11	2
188	xviii и	1	2
189	в случае	2	2
190	но именно	2	2
191	он не	2	2
192	на одну	1	2
193	какой бы	1	2
194	таким образом	7	2
195	и с	3	2
196	заключается в	4	2
197	и творчества	2	2
198	для них	1	2
199	далеко не	1	2
200	нас к	1	2
201	в своих	2	2
202	в развитии	1	2
203	иначе говоря	1	2
204	такой же	5	2
205	в этих	2	2
206	и сейчас	4	2
207	в котором	5	2
208	представление о	4	2
209	или вернее	1	2
210	одном из	1	2
211	и более	2	2
212	дошла до	1	2
213	при условии	1	2
214	она не	2	2
215	тогда когда	1	2
216	и имеет	1	2
217	без посредства	1	2
218	констатировать что	1	2
219	на язык	1	2
220	по своей	2	2
221	как будто	4	2
222	что на	2	2
223	не могут	1	2
224	могут быть	5	2
225	случаях когда	1	2
226	но также	9	2
227	только одно	1	2
228	от друга	1	2
229	говоря уже	1	2
230	данном случае	6	2
231	на основе	1	2
232	мог бы	1	2
233	во многом	1	2
234	если бы	9	2
235	и та	1	2
236	и что	4	2
237	притом в	1	2
238	кажется что	3	2
239	и во	2	2
240	к нему	2	2
241	во втором	4	2
242	в его	9	2
243	во всей	1	2
244	и можно	2	2
245	о положении	1	2
246	также в	2	2
247	но с	3	2
248	этот вопрос	4	2
249	в какой	3	2
250	есть в	2	2
251	если в	2	2
252	при помощи	2	2
253	и других	1	2
254	бы совершенно	1	2
255	в одном	1	2
256	в других	2	2
257	другой и	1	2
258	а именно	3	2
259	каких бы	1	2
260	в некоторых	1	2
261	на основании	1	2
262	на этот	3	2
263	а не	16	2
264	не означает	1	2
265	что все	2	2
266	следовало бы	2	2
267	можно утверждать	1	2
268	начиная с	2	2
269	вместе с	1	2
270	и xix	1	2
271	в потенции	1	2
272	не дают	1	2
273	что же	6	2
274	для понимания	1	2
275	и таким	1	2
276	или в	1	2
277	то не	2	2
278	и все	2	2
279	но еще	1	2
280	бы в	1	2
281	еще более	4	2
282	всех прочих	1	2
283	стороны в	2	2
284	исключительно в	1	2
285	в другой	1	2
286	а в	17	2
287	не говоря	1	2
288	другой стороны	7	2
289	жизни и	5	2
290	даже более	1	1
291	как известно	1	1
292	и т	30	1
293	например в	8	1
294	до него	1	1
295	в тех	3	1
296	сомнения что	1	1
297	некоторые из	1	1
298	и это	2	1
299	тех же	1	1
300	многих отношениях	1	1
301	и до	1	1
302	речь идет	4	1
303	исходит из	1	1
304	той же	5	1
305	смотреть на	1	1
306	области собственно	1	1
307	чтобы не	1	1
308	время как	2	1
309	говорить о	2	1
310	историческое явление	1	1
311	с но	1	1
312	то это	3	1
313	когда мы	1	1
314	из перечисленных	1	1
315	революции в	1	1
316	чем то	1	1
317	бы еще	1	1
318	быть в	2	1
319	тот что	1	1
320	что его	1	1
321	с его	1	1
322	конечно это	2	1
323	бы она	1	1
324	по отношению	3	1
325	в новом	4	1
326	случай в	1	1
327	общего правила	1	1
328	теперь не	1	1
329	за пределы	2	1
330	только путем	1	1
331	к сожалению	3	1
332	как по	1	1
333	современности но	1	1
334	в одной	1	1
335	что нет	2	1
336	все же	8	1
337	кроме того	1	1
338	конечно но	1	1
339	смысле этого	2	1
340	что по	1	1
341	не являются	3	1
342	говорит об	2	1
343	значения как	1	1
344	бы с	1	1
345	он в	1	1
346	чуть ли	2	1
347	и насколько	1	1
348	в нашем	1	1
349	которые в	2	1
350	будто к	1	1
351	с их	1	1
352	значение так	1	1
353	имеет для	1	1
354	бы только	1	1
355	и те	2	1
356	при этом	2	1
357	сейчас и	1	1
358	т д	21	1
359	и общеобязательности	1	1
360	от которых	1	1
361	не значит	3	1
362	сожалению не	2	1
363	и когда	1	1
364	не как	1	1
365	в корне	1	1
366	то как	1	1
367	ли не	2	1
368	части этого	2	1
369	как более	2	1
370	и наоборот	1	1
371	ни для	1	1
372	но все	4	1
373	значительной степени	1	1
374	бы они	1	1
375	в нем	5	1
376	же касается	3	1
377	том случае	1	1
378	должны будут	1	1
379	поэзии и	1	1
380	что создание	1	1
381	лишь в	3	1
382	входит в	1	1
383	если при	1	1
384	в свой	2	1
385	каком же	1	1
386	в ином	1	1
387	ошибках и	1	1
388	о которых	1	1
389	соответствии с	1	1
390	которое имеет	1	1
391	во внимание	1	1
392	всегда и	1	1
393	и было	1	1
394	значение как	1	1
395	и всей	1	1
396	перед собой	2	1
397	мы приходим	1	1
398	в такой	2	1
399	что при	2	1
400	далее в	2	1
401	от себя	1	1
402	центра и	1	1
403	на такие	1	1
404	значение для	1	1
405	об их	1	1
406	x и	1	1
407	простое и	1	1
408	на другую	1	1
409	с такими	1	1
410	том же	1	1
411	для этого	2	1
412	вникнуть в	1	1
413	на востоке	1	1
414	тому что	3	1
415	если и	1	1
416	все эти	5	1
417	не менее	5	1
418	вплоть до	5	1
419	но они	1	1
420	что эта	2	1
421	что с	2	1
422	и другое	1	1
423	в обоих	1	1
424	считает что	1	1
425	правда в	1	1
426	одна из	1	1
427	чтобы в	1	1
428	где в	1	1
429	казалось бы	1	1
430	в разных	1	1
431	только и	1	1
432	от плоти	1	1
433	плоть от	1	1
434	они являются	1	1
435	совершенно неправильно	1	1
436	к концу	2	1
437	ту мысль	1	1
438	за исключением	1	1
439	и его	8	1
440	при обсуждении	1	1
441	каждой из	1	1
442	бы по	1	1
443	в сознании	2	1
444	в случаях	1	1
445	е не	1	1
446	считать что	1	1
447	так то	1	1
448	в основе	3	1
449	но все-таки	1	1
450	у нас	11	1
451	относиться к	1	1
452	числе и	2	1
453	прочих равных	1	1
454	должны быть	3	1
455	отказаться от	1	1
456	не дала	1	1
457	для себя	3	1
458	и о	1	1
459	язык и	1	1
460	последнее время	1	1
461	то или	3	1
462	мысль о	1	1
463	оказаться в	1	1
464	ли с	1	1
465	то время	2	1
466	на свой	2	1
467	литературы и	2	1
468	и сам	2	1
469	можно предвидеть	1	1
470	был бы	1	1
471	находятся и	1	1
472	которыми мы	1	1
473	каждого из	2	1
474	об этом	3	1
475	чем все	1	1
