N	3gram	Trubetskoy_1	Tragedij
1	то же время	2	5
2	в то же	2	5
3	точно так же	1	2
4	в данном случае	3	2
5	между этими двумя	2	2
6	о том что	4	2
7	но все же	2	2
8	в том что	15	2
9	в этом случае	4	1
10	а между тем	8	1
11	все же являются	1	1
12	не только по	1	1
13	бы может быть	1	1
14	том что он	2	1
15	и не может	1	1
16	и то что	3	1
17	за то что	1	1
18	никакой роли в	1	1
19	в борьбе за	1	1
20	может быть не	1	1
21	в самой природе	1	1
22	вместе с ними	1	1
23	это может быть	1	1
24	все эти черты	1	1
25	во всяком случае	2	1
26	в высшей степени	1	1
27	в конце концов	4	1
28	смысле этого слова	1	1
29	но при этом	1	1
30	по сравнению с	5	1
31	тем не менее	4	1
32	что в таком	1	1
33	все же не	3	1
34	в связи с	3	1
35	а это было	1	1
36	вместо того чтобы	1	1
37	не может быть	3	1
38	я в то	1	1
39	как и все	2	1
40	с самого начала	1	1
41	не только не	1	1
42	мысль о том	1	1
43	несмотря на всю	1	1
44	в самом деле	5	1
45	несмотря на все	1	1
46	к тому что	1	1
47	друг друга и	1	1
48	как и в	2	1
49	но и ко	1	1
