N	3gram	Voloshinov_1	Problemy
1	с точки зрения	6	13
2	в этом смысле	3	10
3	в его целом	2	6
4	в том что	1	6
5	и в этом	2	5
6	на самом деле	4	4
7	не может быть	3	4
8	подобно тому как	1	3
9	все то что	2	3
10	в этом отношении	1	3
11	во всяком случае	3	3
12	в самом деле	2	2
13	он может быть	1	2
14	только в этой	1	2
15	до сих пор	3	2
16	бы то ни	1	2
17	в данном случае	1	2
18	с ним и	1	2
19	по ту сторону	4	2
20	что может быть	1	2
21	в большинстве случаев	3	2
22	можно было бы	1	2
23	и входит в	1	2
24	теперь мы должны	1	1
25	то что я	1	1
26	точки зрения сознания	1	1
27	же как и	1	1
28	дело в том	1	1
29	а потому и	2	1
30	в нем и	1	1
31	его целом это	1	1
32	и на своей	1	1
33	и есть та	1	1
34	то же самое	1	1
35	нам кажется что	2	1
36	это последнее слово	1	1
37	с другими моментами	1	1
38	и лишь в	1	1
39	но несмотря на	1	1
40	мы отвлечемся от	1	1
41	как и всегда	1	1
42	из одного плана	1	1
43	она может быть	1	1
44	центр тяжести в	1	1
45	может быть только	1	1
46	по крайней мере	3	1
47	всяком случае не	1	1
48	так и в	1	1
49	те же что	1	1
50	и пр как	1	1
51	мы полагаем что	3	1
52	же что и	1	1
53	так же как	2	1
54	как мы сказали	1	1
55	но именно этот	1	1
56	между собою в	1	1
57	то ни было	1	1
58	таким образом и	1	1
59	должны перейти к	1	1
60	в высшей степени	1	1
61	в пределах своего	1	1
62	на первый взгляд	1	1
63	того в каком	1	1
64	переносит центр тяжести	1	1
65	и это главное	2	1
66	как один из	1	1
67	не могут быть	2	1
68	быть объяснены и	1	1
69	зависит от того	1	1
70	лишь абстрактный момент	1	1
71	бы оно ни	1	1
72	которая позволила бы	1	1
73	могут быть поняты	1	1
74	для него только	1	1
75	этой точки зрения	1	1
76	отношения к предмету	1	1
77	о том что	2	1
78	если б я	1	1
79	оно ни было	1	1
80	по сравнению с	3	1
81	не существовало бы	2	1
82	мы видим и	1	1
83	имеем в виду	1	1
84	может быть это	3	1
85	чтобы войти в	1	1
86	это и есть	1	1
87	с самого начала	4	1
88	жизни и наконец	1	1
89	можно сказать что	3	1
90	мы имеем в	1	1
91	в начале пути	2	1
92	мы должны перейти	1	1
93	и быть не	1	1
94	точки зрения может	1	1
95	друг с другом	1	1
96	при всей их	1	1
97	быть не может	1	1
98	для того чтобы	1	1
99	из этих трех	1	1
