N	3gram	Potebnia_M_2	Narrotol
1	в том что	7	8
2	в отличие от	1	5
3	с одной стороны	3	5
4	состоит в том	1	4
5	о том что	1	4
6	тем не менее	5	4
7	то же время	2	3
8	в то же	2	3
9	на самом деле	2	2
10	подобно тому как	4	2
11	и т п	3	2
12	в той мере	1	2
13	и не может	1	2
14	той мере в	1	2
15	в том как	1	2
16	мере в какой	1	2
17	а в том	1	2
18	и тем самым	1	2
19	мысль о том	1	2
20	не может быть	2	2
21	тогда как в	2	2
22	нам более или	1	1
23	и того же	6	1
24	в том виде	1	1
25	а между тем	4	1
26	одной стороны и	1	1
27	то что я	1	1
28	в нашем сознании	1	1
29	что с ним	1	1
30	прежде всего следует	1	1
31	то а не	1	1
32	то и не	1	1
33	прежде всего на	1	1
34	и в жизни	2	1
35	более или менее	8	1
36	двух или нескольких	1	1
37	в слове и	1	1
38	в этом смысле	2	1
39	в каком она	1	1
40	по сравнению с	1	1
41	в таком случае	2	1
42	прежде всего его	1	1
43	что человек есть	1	1
44	что только в	1	1
45	и быть может	1	1
46	виде в каком	1	1
47	том смысле как	2	1
48	а не другое	2	1
49	может быть только	1	1
50	до сих пор	4	1
51	на мой взгляд	1	1
52	так а не	1	1
53	то время как	3	1
54	он вовсе не	1	1
55	мы его не	1	1
56	а не иначе	1	1
57	том как он	1	1
58	не в том	2	1
59	в связи с	1	1
60	то что он	1	1
61	не всегда может	1	1
62	не для того	1	1
63	во всяком случае	7	1
64	что у него	1	1
65	и в других	1	1
66	том виде в	1	1
67	которое может быть	1	1
68	имеет место в	1	1
69	вслед за нею	1	1
70	с точкой зрения	1	1
71	но с другой	1	1
72	пространство и время	1	1
73	по всей вероятности	1	1
74	в то время	4	1
75	с этой точки	1	1
76	так и в	2	1
77	то есть в	1	1
78	собственно говоря и	1	1
79	одного и того	6	1
80	в большинстве случаев	1	1
81	в том смысле	4	1
82	для того чтобы	2	1
83	вслед за этим	1	1
84	обратим внимание на	1	1
