N	2gram	Medvedev_U_1	IolandNe
1	и с	2	3
2	и не	8	2
3	в этом	7	2
4	он не	1	2
5	ничего не	2	2
6	так напр	1	2
7	что в	1	2
8	творчества то	1	1
9	что для	1	1
10	то и	1	1
11	точно и	1	1
12	с другой	4	1
13	для него	3	1
14	ученики и	1	1
15	того что	1	1
16	без этого	1	1
17	что при	1	1
18	так то	1	1
19	это было	2	1
20	в художественном	5	1
21	художественном творчестве	2	1
22	так и	1	1
23	а для	1	1
24	неудивительно что	2	1
25	если бы	2	1
26	в значительной	1	1
27	в первую	1	1
28	только для	1	1
29	значительной мере	1	1
30	первую очередь	1	1
31	бы в	1	1
32	очевидно что	3	1
33	по существу	2	1
34	и в	14	1
35	не случайно	2	1
36	все это	5	1
37	более чем	2	1
38	тем что	2	1
39	и др	1	1
40	другой стороны	3	1
41	никогда не	1	1
42	художественного творчества	5	1
