N	3gram	Tiupa_Vved_1	FransuaR
1	то же время	3	8
2	в то же	4	8
3	и в то	1	4
4	более или менее	2	3
5	в том числе	1	3
6	но и в	2	3
7	с другой стороны	1	3
8	в этой системе	1	3
9	подобно тому как	2	3
10	один и тот	1	2
11	том числе и	1	2
12	с одной стороны	5	2
13	и тот же	1	2
14	не только в	2	2
15	и т.п в	1	2
16	о том что	4	2
17	то есть в	1	2
18	как мы видели	2	2
19	если бы он	1	1
20	можно сказать что	1	1
21	и того же	1	1
22	и ряд других	1	1
23	другой стороны в	1	1
24	что это не	1	1
25	те же самые	1	1
26	то же самое	1	1
27	одной стороны и	1	1
28	это отношение к	1	1
29	и т.п и	1	1
30	что у нее	1	1
31	до известной степени	1	1
32	а также в	1	1
33	при этом он	1	1
34	в них звучит	1	1
35	в этом отношении	4	1
36	как будто он	1	1
37	есть на самом	1	1
38	же время они	1	1
39	не истории а	1	1
40	в данном случае	6	1
41	на этот раз	1	1
42	на первый взгляд	1	1
43	в отличие от	2	1
44	а с другой	2	1
45	по природе своей	1	1
46	все же не	1	1
47	в связи с	1	1
48	как мы увидим	1	1
49	в полной мере	1	1
50	не может быть	3	1
51	в итоге мы	1	1
52	и не столько	1	1
53	в свою очередь	4	1
54	к этому времени	1	1
55	прежде всего к	1	1
56	и в конечном	1	1
57	с того что	1	1
58	в конечном счете	1	1
59	не только внешней	1	1
60	между жизнью и	1	1
61	одного и того	1	1
62	но это не	1	1
63	жизнью и смертью	1	1
64	на самом деле	3	1
65	так и по	1	1
66	в соответствии с	6	1
67	в том что	3	1
68	на самом деле?	1	1
69	к тому же	4	1
70	в том же	1	1
