N	2gram	Bakhtin_sl_2	EvropaiC
1	таким образом	8	32
2	в том	5	31
3	и в	39	24
4	том что	5	20
5	все эти	6	19
6	не может	20	18
7	то что	2	17
8	может быть	37	15
9	все же	6	15
10	точки зрения	8	13
11	в своем	6	12
12	до сих	2	12
13	в этом	16	12
14	сих пор	2	12
15	с этим	2	11
16	между тем	3	11
17	все это	16	11
18	во всех	12	10
19	по отношению	4	10
20	культуры и	1	10
21	так и	15	10
22	из себя	3	10
23	как бы	7	10
24	отношению к	4	10
25	все что	2	10
26	того же	1	9
27	на то	1	9
28	при этом	7	9
29	как и	6	9
30	в результате	2	9
31	что в	3	9
32	в самом	1	8
33	с точки	3	8
34	мы говорили	1	8
35	не в	9	8
36	и все	5	8
37	о которых	1	7
38	или менее	2	7
39	не менее	4	7
40	того чтобы	2	7
41	по своей	1	7
42	для этого	4	7
43	о том	2	7
44	и что	1	7
45	что он	2	7
46	для того	2	7
47	но и	21	7
48	и не	22	7
49	более или	2	7
50	должна быть	3	6
51	еще не	7	6
52	и на	4	6
53	в этой	1	6
54	в мире	1	6
55	в сознании	1	6
56	несмотря на	1	6
57	и при	2	6
58	с ним	7	6
59	что и	3	6
60	того что	1	6
61	только в	5	6
62	все они	2	6
63	так как	4	6
64	мы можем	1	6
65	с другой	5	6
66	вместе с	2	6
67	отличается от	2	6
68	между двумя	1	5
69	как к	3	5
70	и к	6	5
71	но в	6	5
72	в целом	1	5
73	в себе	2	5
74	не только	24	5
75	но все	5	5
76	и с	9	5
77	на все	1	5
78	лишь в	3	5
79	его в	4	5
80	и без	1	5
81	в то	4	5
82	что при	1	5
83	в его	7	5
84	и их	5	5
85	у него	3	5
86	именно в	2	5
87	далеко не	2	5
88	другой стороны	1	5
89	быть и	3	5
90	и для	5	5
91	и от	3	5
92	к этому	1	5
93	одним из	2	4
94	в такой	1	4
95	то же	4	4
96	мы уже	2	4
97	та же	1	4
98	между собой	1	4
99	что его	1	4
100	отношение к	4	4
101	что как	1	4
102	хотя и	2	4
103	он не	2	4
104	всех этих	4	4
105	факт что	2	4
106	должно быть	1	4
107	в их	2	4
108	тем не	1	4
109	и проч	2	4
110	связи с	3	4
111	в дальнейшем	2	4
112	никогда не	7	4
113	лишь при	2	4
114	пор не	2	4
115	от современной	1	4
116	в виде	2	4
117	в конце	1	4
118	в области	2	4
119	которых мы	2	4
120	его собственной	1	4
121	тот факт	2	4
122	как сказано	1	4
123	не могут	5	4
124	этом случае	6	4
125	хотя бы	3	4
126	в таком	4	4
127	как известно	1	3
128	самих себя	1	3
129	в данном	2	3
130	в истории	11	3
131	целый ряд	1	3
132	и наконец	5	3
133	в нашем	2	3
134	к которой	1	3
135	в нем	19	3
136	и по	1	3
137	и может	1	3
138	на этой	1	3
139	это не	5	3
140	на почве	4	3
141	этих областях	1	3
142	чем в	2	3
143	одного и	1	3
144	в этих	7	3
145	даже в	2	3
146	освободиться от	1	3
147	образом в	1	3
148	для нас	5	3
149	во всем	4	3
150	а лишь	2	3
151	что оно	4	3
152	как для	3	3
153	и это	1	3
154	с одной	5	3
155	может не	2	3
156	различия между	1	3
157	конечно не	5	3
158	и других	4	3
159	может служить	1	3
160	отличие от	13	3
161	как у	1	3
162	или иначе	1	3
163	прежде всего	8	3
164	а наоборот	1	3
165	в связи	2	3
166	и потому	7	3
167	целом ряде	1	3
168	мы сказали	2	3
169	от него	5	3
170	а в	4	3
171	эти элементы	1	3
172	ту же	3	2
173	и до	1	2
174	можно лишь	1	2
175	также и	2	2
176	время от	1	2
177	почти все	2	2
178	в сущности	6	2
179	с ее	2	2
180	и ее	1	2
181	в ней	3	2
182	свою очередь	2	2
183	меньше чем	2	2
184	тем как	1	2
185	во всяком	3	2
186	друг к	1	2
