N	4gram	Tiupa_Teor_1	Literetu
1	в то же время	5	5
2	состоит в том что	4	4
3	дело в том что	1	2
4	как совокупность факторов художественного	1	2
5	быть это точка безумия	1	2
6	совокупность факторов художественного впечатления	1	2
7	может быть это точка	1	2
8	в конечном счете к	1	1
9	в войне и мире	2	1
10	то чему нельзя научиться	1	1
11	тот или иной строй	1	1
12	том что лирическое я	1	1
13	одного и того же	3	1
14	погибнуть заявляя свою свободную	1	1
15	я представил себя водяным	1	1
16	заявляя свою свободную волю	1	1
17	себя водяным бесом паном	1	1
18	создать то чему нельзя	1	1
19	представил себя водяным бесом	1	1
20	русалок так я избывал	1	1
21	но дело в том	1	1
22	в виду не только	3	1
23	среди его русалок так	1	1
24	так я избывал свое	1	1
25	автор относится как к	1	1
26	или иной строй эстетической	1	1
27	присутствия я в мире	5	1
28	бы то ни было	1	1
29	исходит из того что	1	1
30	над озером я представил	1	1
31	господином пены среди его	1	1
32	как это ни парадоксально	1	1
33	но в то же	1	1
34	пены среди его русалок	1	1
35	я избывал свое одиночество	1	1
36	и тем самым наделяет	1	1
37	его русалок так я	1	1
38	я в данном случае	1	1
39	способность создать то чему	1	1
40	молчи скрывайся и таи	1	1
41	сидя над озером я	1	1
42	не несет в себе	1	1
43	озером я представил себя	1	1
44	паном господином пены среди	1	1
45	велимира хлебникова пен пан	1	1
46	текст как совокупность факторов	1	1
47	бесом паном господином пены	1	1
48	водяным бесом паном господином	1	1
49	как способность создать то	1	1
