N	2gram	Ircho_Kome_2	Hudozhes
1	в мире	2	23
2	в качестве	5	19
3	и не	14	16
4	не только	7	15
5	и в	26	15
6	в том	11	15
7	может быть	11	13
8	в частности	4	13
9	и его	12	12
10	а в	3	12
11	но не	3	11
12	в этом	10	11
13	в себе	1	11
14	то же	3	10
15	по отношению	3	10
16	представляет собой	1	10
17	как бы	2	10
18	так и	12	10
19	а не	1	10
20	отношению к	3	10
21	но и	10	10
22	такого рода	1	9
23	точки зрения	4	9
24	в его	4	9
25	в рамках	1	8
26	сводится к	1	8
27	себя в	3	8
28	отличие от	2	7
29	но в	3	7
30	в принципе	2	7
31	в отличие	2	7
32	в то	6	7
33	или иной	1	7
34	с другой	2	7
35	в искусстве	1	7
36	с его	5	6
37	отношение к	2	6
38	том что	9	6
39	не в	2	6
40	в основе	1	6
41	же время	3	6
42	по своей	1	6
43	в ее	2	6
44	приводит к	1	6
45	в состав	2	6
46	не может	3	6
47	что в	9	6
48	в их	3	5
49	более или	1	5
50	в самом	4	5
51	то что	6	5
52	ни в	5	5
53	тем самым	1	5
54	той или	1	5
55	а также	1	5
56	только в	4	5
57	между ними	1	5
58	другой стороны	1	5
59	или менее	1	5
60	в нем	6	5
61	героя и	1	5
62	отношения к	1	4
63	мы имеем	2	4
64	место в	4	4
65	говорить о	2	4
66	еще не	6	4
67	как к	1	4
68	хотя и	4	4
69	и как	1	4
70	он не	2	4
71	в другом	1	4
72	самим собой	1	4
73	в этих	4	4
74	в своей	3	4
75	не столько	1	4
76	входит в	1	4
77	между тем	4	4
78	для него	1	4
79	со стороны	2	4
80	к которому	1	4
81	прежде всего	4	4
82	а на	2	4
83	не знает	1	4
84	как это	4	4
85	например в	3	4
86	к тому	12	4
87	сказать что	1	4
88	речи и	1	4
89	того же	3	3
90	перед лицом	2	3
91	со своей	3	3
92	и ее	2	3
93	в целом	4	3
94	в виду	2	3
95	как правило	3	3
96	конечном счете	1	3
97	в художественном	1	3
98	как уже	1	3
99	и к	2	3
100	или иного	1	3
101	в которой	5	3
102	не следует	2	3
103	его в	4	3
104	это не	2	3
105	этом смысле	2	3
106	как и	4	3
107	с точки	1	3
108	тем не	1	3
109	их в	1	3
110	однако в	2	3
111	автора и	1	3
112	не менее	4	3
113	всех без	1	3
114	однако если	1	3
115	как раз	1	3
116	потому что	6	3
117	в пределах	1	3
118	так в	2	3
119	мог бы	1	3
120	к его	2	3
121	если бы	9	3
122	и что	2	3
123	того или	1	3
124	что он	5	3
125	к нему	3	3
126	во всей	1	3
127	человека с	1	3
128	в области	1	3
129	не на	1	3
130	была бы	1	3
131	текста в	1	3
132	по своему	2	3
133	о чем	3	3
134	в той	2	3
135	и для	4	3
136	таким образом	6	3
137	в свою	1	3
138	и это	2	2
139	идет о	2	2
140	не вполне	2	2
141	и на	7	2
142	в чем	1	2
143	чем это	2	2
144	и весьма	1	2
145	свою жизнь	1	2
146	не все	1	2
147	в комедии	19	2
148	в отсутствие	1	2
149	общественном сознании	1	2
150	в своем	6	2
151	в себя	1	2
152	образом и	1	2
153	все эти	1	2
154	в нашем	2	2
155	в этой	3	2
156	с их	4	2
157	в силу	2	2
158	на этом	2	2
159	могла бы	3	2
160	об этом	2	2
161	времени и	1	2
162	времени в	2	2
163	по себе	1	2
164	в них	4	2
165	несмотря на	1	2
166	ведет к	1	2
167	и некоторые	1	2
168	и более	1	2
169	вовсе не	2	2
170	даже в	2	2
171	тому что	4	2
172	одна из	2	2
173	вытекает из	1	2
174	имеем дело	1	2
175	этих двух	1	2
176	не является	2	2
177	числе и	1	2
178	частной жизни	1	2
179	для себя	1	2
180	того чтобы	6	2
181	свою очередь	1	2
182	роль в	2	2
183	и сам	3	2
184	или в	3	2
185	с человеком	1	2
186	в порядке	1	2
187	о том	6	2
188	я думаю	1	2
189	именно в	1	2
190	в литературе	1	2
191	тот или	1	2
192	с одной	2	2
193	за пределами	1	2
194	одно из	2	2
195	никто не	3	2
196	в одном	2	2
197	у него	4	2
198	для того	5	2
199	соединении с	1	2
200	в общественном	1	2
201	или иначе	3	2
202	а с	1	2
203	нового времени	2	2
204	одной стороны	2	2
205	мира в	4	2
206	о себе	1	2
207	так же	1	2
208	и особенно	3	2
209	как в	3	2
210	из которых	3	2
211	к своему	1	2
212	так или	3	2
213	жизни в	1	2
214	в контексте	1	2
215	о его	4	2
216	во всех	3	2
217	речь идет	3	2
218	тем более	1	2
219	с ним	1	2
220	к внутреннему	1	2
221	одной из	4	2
222	от всех	2	2
223	из этого	2	2
224	том числе	3	2
225	говоря о	1	1
226	подлинным произведением	1	1
227	отделен от	1	1
228	переходит к	1	1
229	тем к	1	1
230	и есть	2	1
231	отношения между	1	1
232	и чрезвычайно	1	1
233	из его	2	1
234	едва ли	14	1
235	общественных отношений	1	1
236	которыми он	1	1
237	той же	3	1
238	частности все	1	1
239	впечатление от	1	1
240	в сущности	1	1
241	переживания его	1	1
242	а для	1	1
243	в полной	1	1
244	никогда не	1	1
245	в каждой	1	1
246	думаю что	1	1
247	собой в	1	1
248	между собой	1	1
249	столь же	9	1
250	в существовании	1	1
251	время в	1	1
252	бы то	2	1
253	что его	3	1
254	в различных	1	1
255	и мира	1	1
256	расположение в	1	1
257	во внешнем	1	1
258	нет не	1	1
259	из окна	1	1
260	с совершенно	1	1
261	и будет	1	1
262	друг от	1	1
263	или к	1	1
264	первых десятилетий	1	1
265	говорилось выше	1	1
266	на основе	1	1
267	отнюдь не	2	1
268	и я	2	1
269	в истории	5	1
270	мере в	1	1
271	более чем	4	1
272	от друга	1	1
273	что касается	3	1
274	что по	2	1
275	тем же	1	1
276	самом начале	2	1
277	в герое	1	1
278	от этого	2	1
279	шире и	1	1
280	из жизни	1	1
281	бы и	2	1
282	привести к	1	1
283	что это	4	1
284	жизни так	2	1
285	из этих	4	1
286	что автор	1	1
287	всего к	1	1
288	узнавания в	2	1
289	двух других	2	1
290	не могла	1	1
291	на его	1	1
292	что она	2	1
293	время и	1	1
294	всем законам	2	1
295	все это	3	1
296	в первую	3	1
297	является не	2	1
298	по его	1	1
299	то ни	2	1
300	а затем	5	1
301	речь в	1	1
302	том случае	1	1
303	бы быть	1	1
304	а по	1	1
305	полной мере	1	1
306	не с	1	1
307	это было	4	1
308	первую очередь	3	1
309	было бы	8	1
310	о месте	1	1
311	и дает	2	1
312	войны и	3	1
313	по этому	1	1
314	в жизни	1	1
315	системе образов	1	1
316	рядом с	2	1
317	на второй	1	1
318	неизвестен и	1	1
319	соответствии с	1	1
320	как видно	2	1
321	речь о	2	1
322	он и	1	1
323	с первых	1	1
324	привычных для	1	1
