N	3gram	Tiupa_Vved_1	VeschiIm
1	не может быть	3	18
2	что иное как	1	8
3	не что иное	1	8
4	может быть только	1	6
5	по крайней мере	1	6
6	в том что	3	6
7	на то что	1	6
8	содержит в себе	1	5
9	в свою очередь	4	5
10	тем не менее	3	5
11	не только в	2	4
12	то же время	3	4
13	в то же	4	4
14	более или менее	2	3
15	подобно тому как	2	3
16	и в то	1	3
17	из того что	1	3
18	можно было бы	2	3
19	все же не	1	3
20	само по себе	1	3
21	ли это что	1	3
22	можно сказать что	1	2
23	быть не только	1	2
24	о том как	1	2
25	в основе своей	1	2
26	в данном случае	6	2
27	в первом случае	1	2
28	того что является	1	2
29	но тут же	1	1
30	и того же	1	1
31	оба эти момента	1	1
32	прежде всего на	1	1
33	а не в	1	1
34	в этом смысле	1	1
35	потому что я	1	1
36	в этом случае	1	1
37	одной стороны и	1	1
38	в зависимости от	1	1
39	сами по себе	1	1
40	в смысловом отношении	1	1
41	бы и не	2	1
42	в том чтобы	2	1
43	с одной стороны	5	1
44	это вовсе еще	1	1
45	и в этом	1	1
46	во втором случае	1	1
47	по природе своей	1	1
48	не в том	1	1
49	потому что она	1	1
50	тем же самым	1	1
51	не только а	1	1
52	с другой стороны	1	1
53	первом случае мы	1	1
54	вовсе еще не	1	1
55	речь идет о	1	1
56	а в том	1	1
57	и все же	4	1
58	в третьем случае	1	1
59	во всяком случае	1	1
60	мы не можем	1	1
61	прежде всего к	1	1
62	о том что	4	1
63	вместо того чтобы	1	1
64	и прежде всего	1	1
65	однако об этом	1	1
66	могла бы и	3	1
67	одного и того	1	1
68	свидетельствует о том	1	1
