N	2gram	Berdyaev_V_1	Marksizm
1	может быть	1	26
2	и не	20	26
3	и в	16	19
4	в этом	4	16
5	как бы	5	15
6	в процессе	1	14
7	прежде всего	2	13
8	как мы	1	13
9	как и	4	12
10	и для	3	11
11	так и	4	11
12	в нем	4	10
13	в самом	1	10
14	для него	2	9
15	лишь в	3	9
16	только в	2	9
17	в результате	1	9
18	все же	1	8
19	бы то	1	8
20	но и	5	8
21	то что	9	8
22	то ни	1	8
23	не только	2	8
24	все эти	3	7
25	так же	1	7
26	во всех	3	7
27	в ее	1	7
28	но в	3	7
29	то же	1	7
30	бытия в	1	7
31	а не	7	7
32	мы не	2	6
33	в том	3	6
34	в его	4	6
35	ничего не	1	6
36	другой стороны	1	6
37	во всяком	2	5
38	вовсе не	1	5
39	и все	4	5
40	не в	3	5
41	хотя бы	3	5
42	в конце	3	5
43	того чтобы	2	5
44	и потому	7	5
45	с другой	1	5
46	к этому	1	5
47	конечно не	2	5
48	еще не	8	4
49	вопрос о	1	4
50	не будет	2	4
51	а в	2	4
52	жизни в	1	4
53	что в	3	4
54	нет и	2	4
55	и на	1	4
56	как в	1	4
57	тот же	3	4
58	для того	1	4
59	и эта	1	4
60	в ней	4	4
61	в которой	1	3
62	конце концов	1	3
63	и ее	1	3
64	не было	3	3
65	в своей	3	3
66	места в	1	3
67	но все	1	3
68	в бытии	1	3
69	по законам	1	3
70	между тем	2	3
71	не имеют	1	3
72	и от	1	3
73	в нашу	1	3
74	в истории	8	3
75	оно ни	1	3
76	в котором	4	3
77	не существует	1	3
78	того что	5	3
79	не могут	2	3
80	нет ничего	3	3
81	не имеет	3	3
82	все это	5	3
83	и есть	4	3
84	и это	2	3
85	является в	2	3
86	не есть	6	3
87	том что	2	3
88	и с	1	2
89	бы в	1	2
90	не успели	1	2
91	вся история	1	2
92	по которым	2	2
93	жизни и	3	2
94	в двух	1	2
95	от этого	3	2
96	себя от	1	2
97	для них	2	2
98	в сознании	1	2
99	и во	2	2
100	и вообще	1	2
101	в понимании	1	2
102	от него	2	2
103	и которую	1	2
104	реакция на	1	2
105	ними как	1	2
106	же они	1	2
107	менее всего	1	2
108	ко всякому	1	2
109	его к	2	2
110	с этой	1	2
111	конечно в	1	2
112	мира и	1	2
113	вот в	1	2
114	никогда не	3	2
115	они и	2	2
116	образ и	1	2
117	у нас	1	2
118	что не	4	2
119	к тому	3	2
120	нового времени	1	2
121	в чем	3	2
122	зависимости от	1	2
123	как она	1	2
124	ни в	3	2
125	нем нет	2	2
126	должно быть	3	2
127	же и	1	2
128	художественный образ	1	2
129	тем что	2	2
130	что все	4	2
131	одна из	2	2
132	этого слова	1	2
