N	3gram	Trubetskoy_1	slovoVRo
1	не может быть	3	15
2	в этом случае	4	6
3	с одной стороны	2	5
4	по отношению к	9	4
5	в зависимости от	1	4
6	то же время	2	4
7	но все же	2	4
8	в то же	2	4
9	в том что	15	4
10	с точки зрения	8	3
11	меньше чем в	1	2
12	в свою очередь	2	2
13	более или менее	7	2
14	до сих пор	8	2
15	лишь тогда когда	2	2
16	если она не	1	2
17	на каждом шагу	1	2
18	может быть и	4	2
19	тот факт что	4	2
20	так и для	2	2
21	во всяком случае	2	2
22	сих пор не	2	2
23	в связи с	3	2
24	для того чтобы	7	2
25	и может быть	2	1
26	а следовательно и	1	1
27	не менее в	1	1
28	иначе обстоит дело	1	1
29	хотя и не	1	1
30	не поймет и	1	1
31	время от времени	2	1
32	иметь в виду	1	1
33	мы уже сказали	1	1
34	таким образом даже	1	1
35	в том числе	1	1
36	том что он	2	1
37	что одним из	1	1
38	том что оно	1	1
39	которых мы говорили	3	1
40	не может не	3	1
41	мы говорили в	1	1
42	до конца не	1	1
43	лишь при условии	2	1
44	между тем как	1	1
45	развития все это	1	1
46	том числе и	1	1
47	и не может	1	1
48	на то что	7	1
49	рано или поздно	1	1
50	в лучшем случае	1	1
51	точки зрения на	1	1
52	вступают в борьбу	1	1
53	их отношение к	1	1
54	в ту же	1	1
55	одним из главных	1	1
56	в один из	1	1
57	в нашем случае	2	1
58	для этой цели	1	1
59	а лишь о	1	1
60	в нем не	1	1
61	мы уже говорили	1	1
62	только с точки	1	1
63	так и от	1	1
64	в целом ряде	3	1
65	а не в	1	1
66	с другой стороны	4	1
67	все то что	1	1
68	мы видели что	1	1
69	именно в том	1	1
70	в широком смысле	1	1
71	тем не менее	4	1
72	целом ряде случаев	1	1
73	о том что	4	1
74	в этих областях	2	1
75	а в том	1	1
76	во всех этих	2	1
77	друг к другу	2	1
78	между этими двумя	2	1
79	таким образом в	3	1
80	как и в	2	1
81	с самого начала	1	1
82	не только не	1	1
83	возможно лишь при	2	1
84	для этого необходимо	1	1
85	в другом случае	1	1
86	мы не знаем	1	1
87	о которых мы	3	1
88	и в нем	1	1
89	до некоторой степени	1	1
90	представить себе как	1	1
91	но именно в	1	1
92	как мы видели	1	1
93	дело идет об	1	1
