N	2gram	Potebnia_M_1	Problema
1	то есть	42	39
2	то что	10	38
3	вовсе не	5	37
4	и не	18	37
5	и в	39	35
6	не есть	10	33
7	не только	21	24
8	сказать что	3	24
9	том что	16	19
10	что такое	1	18
11	у нас	2	18
12	даже и	2	18
13	о том	2	18
14	может быть	27	18
15	в этом	15	17
16	и вообще	3	16
17	но и	20	16
18	такого рода	1	15
19	в языке	33	15
20	что мы	4	14
21	только в	25	14
22	не менее	6	13
23	потому что	52	13
24	не может	22	13
25	и что	10	13
26	во всяком	3	13
27	теории языка	2	12
28	тем не	6	12
29	того что	8	12
30	в том	26	12
31	хотя бы	2	12
32	не будет	2	11
33	никак не	2	11
34	значения и	1	11
35	и даже	4	11
36	так что	16	11
37	прежде всего	4	11
38	что в	22	11
39	в таком	5	11
40	таком случае	2	10
41	и то	3	10
42	еще не	6	10
43	всяком случае	1	10
44	ничего не	1	10
45	и с	3	10
46	а не	21	10
47	в данном	1	10
48	да и	1	10
49	тем более	2	10
50	едва ли	1	9
51	в этой	3	9
52	для себя	3	9
53	если мы	3	9
54	только на	3	9
55	что же	2	9
56	для нас	9	9
57	значение и	2	8
58	все же	6	8
59	по себе	10	8
60	есть только	11	8
61	в виду	2	8
62	было бы	12	8
63	уже не	2	8
64	при помощи	2	8
65	только о	1	8
66	есть нечто	4	7
67	все эти	1	7
68	тоже не	1	7
69	того или	1	7
70	мы не	10	7
71	тем самым	4	7
72	не имеет	5	7
73	так и	13	7
74	в его	5	7
75	так как	21	7
76	и т	6	6
77	есть не	2	6
78	с другой	7	6
79	но как	3	6
80	а только	4	6
81	к сожалению	1	6
82	относится к	3	6
83	но в	9	6
84	на то	2	6
85	т д	4	6
86	что все	3	6
87	был бы	1	6
88	по крайней	2	6
89	мы можем	2	6
90	как будто	2	6
91	крайней мере	2	6
92	когда мы	2	6
93	в виде	1	6
94	ни в	1	6
95	в области	1	6
96	но это	5	6
97	и для	5	6
98	не существует	2	6
99	в то	4	6
100	то же	6	5
101	с этим	7	5
102	в самом	3	5
103	в себе	13	5
104	с другими	1	5
105	этом смысле	4	5
106	но уже	2	5
107	как и	9	5
108	и без	3	5
109	и более	2	5
110	связи с	3	5
111	будто бы	1	5
112	указывает на	1	5
113	и это	3	5
114	как мы	2	5
115	языка и	17	5
116	можно было	1	5
117	и на	1	5
118	с одной	3	5
119	одной стороны	3	5
120	еще и	1	5
121	что не	10	5
122	другой стороны	5	5
123	так же	5	5
124	в связи	1	5
125	и все	3	5
126	предполагает что	1	4
127	самом деле	1	4
128	на самом	1	4
129	человеческой речи	1	4
130	и есть	2	4
131	этой теории	4	4
132	что если	3	4
133	не вполне	1	4
134	и самого	1	4
135	но не	8	4
136	не все	2	4
137	сама по	3	4
138	в своем	3	4
139	и той	3	4
140	и как	6	4
141	более или	1	4
142	что она	1	4
143	их в	1	4
144	таким образом	13	4
145	заключается в	3	4
146	и тем	3	4
147	далеко не	1	4
148	между собою	6	4
149	или менее	1	4
150	в этих	7	4
151	но если	2	4
152	в отношении	1	4
153	существует и	1	4
154	значение слова	1	4
155	до сих	1	4
156	но только	1	4
157	что на	6	4
158	в каком	6	4
159	именно как	1	4
160	уже о	1	4
161	стороны и	2	4
162	не могут	4	4
163	и вполне	1	4
164	языке и	1	4
165	что при	5	4
166	и о	2	4
167	говоря уже	1	4
168	если бы	14	4
169	в математике	1	4
170	и только	2	4
171	значит что	1	4
172	тех пор	1	4
173	что он	1	4
174	есть в	2	4
175	не можем	2	4
176	то и	7	4
177	представить себе	3	4
178	случае не	1	4
179	как же	1	4
180	тем что	9	4
181	и следовательно	2	4
182	если не	2	4
183	или по	1	4
184	как бы	6	4
185	это значит	1	4
186	слова и	4	4
187	сих пор	1	4
188	все это	1	4
189	в результате	1	4
190	а в	5	4
191	не говоря	1	4
192	и этот	1	3
193	в их	2	3
194	вопрос о	4	3
195	язык как	7	3
196	что иное	2	3
197	то это	5	3
198	в нашем	1	3
199	только тогда	5	3
200	что они	1	3
201	в истории	7	3
202	хотя и	3	3
203	могли бы	2	3
204	не было	4	3
205	что слово	3	3
206	только то	2	3
207	в целом	2	3
208	бы не	6	3
209	из этих	4	3
210	быть только	5	3
211	теории и	2	3
212	при этом	6	3
213	есть самый	1	3
214	перестает быть	1	3
215	и по	6	3
216	то ни	3	3
217	лишь в	1	3
218	его в	1	3
219	для них	2	3
220	о которых	2	3
221	все равно	1	3
222	с тем	5	3
223	в слове	8	3
224	несмотря на	5	3
225	и того	2	3
226	что такая	2	3
227	не во	1	3
228	нас не	1	3
229	никто не	3	3
230	о языке	3	3
231	должны были	1	3
232	тому что	3	3
233	или что	1	3
234	в таких	2	3
235	о значении	1	3
236	тогда когда	9	3
237	в науке	1	3
238	и притом	4	3
239	только не	2	3
240	мы бы	1	3
241	языка в	6	3
242	как только	1	3
243	оно не	3	3
244	если же	5	3
245	она не	3	3
246	ничего общего	2	3
247	с самого	3	3
248	на том	1	3
249	мы в	2	3
250	для этого	2	3
251	иное как	2	3
252	каждый раз	4	3
253	внимание на	1	3
254	нас в	1	3
255	которые мы	5	3
256	предмета а	2	3
257	есть тоже	1	3
258	один из	1	3
259	по этому	2	3
260	уже в	1	3
261	или даже	3	3
262	и их	3	3
263	уже и	1	3
264	для того	3	3
265	это будет	2	3
266	что для	3	3
267	будет иметь	1	3
268	как именно	1	3
269	и если	2	3
270	слова то	2	3
271	относятся к	1	3
272	только его	1	3
273	можем даже	1	3
274	тому как	4	3
275	от нас	2	3
276	к тому	4	3
277	и от	3	3
278	о котором	3	3
279	то не	3	3
280	бы в	4	3
281	мы должны	3	3
282	скажем что	1	3
283	именно он	1	3
284	существует ли	1	3
285	или других	1	3
286	я могу	1	3
287	не что	2	3
288	в своих	4	3
289	точно так	11	3
290	все что	2	3
291	то на	4	2
292	чтобы не	2	2
293	не имел	1	2
294	ли мы	1	2
295	нам кажется	1	2
296	предмета с	1	2
297	от самого	1	2
298	в зависимости	1	2
299	той же	3	2
300	совпадает с	1	2
301	зависимости от	1	2
302	на некоторые	1	2
303	в ней	7	2
304	но при	3	2
305	столько же	3	2
306	это возможно	1	2
307	здесь не	1	2
308	бы то	2	2
309	во всех	5	2
310	впасть в	1	2
311	не то	1	2
312	есть по	1	2
313	себе и	1	2
314	друг от	2	2
315	которые не	2	2
316	независимо от	6	2
317	общего с	1	2
318	перед нами	1	2
319	с понятием	2	2
320	и хотя	1	2
321	от чего	1	2
322	значения как	1	2
323	не всякое	1	2
324	нами в	1	2
325	роль в	1	2
326	не годится	1	2
327	во многих	2	2
328	человек не	1	2
329	он не	3	2
330	нужно говорить	1	2
331	языка как	5	2
332	одной и	3	2
333	его от	1	2
334	подобно тому	3	2
335	и независимо	1	2
336	в нее	1	2
337	и ее	1	2
338	но все	2	2
339	сознание и	1	2
340	входит в	1	2
341	и которые	2	2
342	и мы	1	2
343	не совпадает	1	2
344	или другого	1	2
345	в них	3	2
346	ничем не	1	2
347	должно быть	7	2
348	точки зрения	8	2
349	и при	3	2
350	в такой	1	2
351	предмета в	1	2
352	что до	2	2
353	языка от	1	2
354	мысли и	9	2
355	бы мы	1	2
356	не в	15	2
357	возможно только	5	2
358	ничего нового	1	2
359	даже в	1	2
360	определенного содержания	1	2
361	человека но	1	2
362	что с	1	2
363	самого начала	3	2
364	в определении	2	2
365	на него	3	2
366	сколько и	3	2
367	с и	3	2
368	того чтобы	2	2
369	самого предмета	4	2
370	или как	1	2
371	как на	3	2
372	значение только	1	2
373	что предметы	1	2
374	что оно	2	2
375	это содержание	1	2
376	ли в	2	2
377	на это	1	2
378	звуков которые	1	2
379	от друга	2	2
380	только при	2	2
381	которая хотя	1	2
382	мысль о	2	2
383	без того	1	2
384	для всякого	2	2
385	еще в	1	2
386	является в	1	2
387	о нем	1	2
388	мы могли	1	2
389	язык и	5	2
390	время не	1	2
391	то тем	1	2
392	это было	1	2
393	к нему	1	2
394	свести все	1	2
395	что и	6	2
396	спросим себя	1	2
397	как нечто	1	2
398	в разные	2	2
399	между этими	1	2
400	или в	2	2
401	для всех	5	2
402	с нею	4	2
403	языка а	3	2
404	этого предмета	1	2
405	многое другое	1	2
406	мышления и	1	2
407	уже с	2	2
408	понятий в	2	2
409	звук есть	1	2
410	не так	3	2
411	сами по	1	2
412	с этими	1	2
413	само по	4	2
414	в состоянии	3	2
415	мы назвали	1	2
416	были бы	3	2
417	общего между	1	2
418	и вероятно	1	2
419	между которыми	1	2
420	только по	2	2
421	отношения в	1	2
422	если даже	1	2
423	о предмете	3	2
424	и многие	1	2
425	что из	1	2
426	в одно	2	2
427	совершенно не	1	2
428	имея в	1	2
429	нет ничего	2	2
430	вместе с	8	2
431	ни от	1	2
432	есть если	2	2
433	что всякое	1	2
434	в тех	1	2
435	самого себя	4	2
436	вообще все	1	2
437	значении слова	1	2
438	этим последним	3	2
439	данное время	1	2
440	заставляет нас	2	2
441	при таком	4	2
442	сознания и	1	2
443	в данное	1	2
444	собственно говоря	1	2
445	еще более	2	2
446	случае и	1	2
