N	2gram	Medvedev_B_1	FransuaR
1	и в	1	40
2	прежде всего	1	16
3	не только	1	13
4	и не	2	13
5	что в	1	12
6	таким образом	1	10
7	и на	1	8
8	в эпоху	1	8
9	до конца	1	6
10	в своей	1	6
11	не было	1	5
12	а не	1	5
13	в ней	2	4
14	было бы	1	4
15	в области	1	4
16	у нас	3	4
17	и о	1	4
18	и во	1	4
19	и потому	1	4
20	в данном	1	4
21	все это	2	4
22	на самом	1	3
23	кроме того	1	3
24	об этом	1	3
25	можно было	2	3
26	никак не	1	3
27	в значительной	1	3
28	еще не	1	3
29	так и	1	3
30	между ними	1	3
31	все же	1	2
32	значительной степени	1	2
33	далеко не	1	2
34	представляется нам	1	2
35	этой книги	1	2
36	своей книге	1	2
37	с другой	1	2
38	и ее	1	2
39	больше чем	2	2
40	со всем	1	2
41	в книге	1	2
42	одной из	1	2
43	художественного произведения	1	1
44	меньше чем	1	1
45	по богатству	1	1
46	и более	1	1
47	о них	1	1
48	как будто	1	1
49	выпадает из	1	1
50	всего в	1	1
51	только более	1	1
52	в пределах	1	1
53	нельзя не	1	1
54	работа по	1	1
55	богатству материала	1	1
56	всяком случае	1	1
57	не укладывается	1	1
58	отнюдь не	1	1
59	моментом в	1	1
60	будто бы	1	1
61	другой стороны	1	1
62	забывать что	1	1
63	из своей	1	1
64	также не	1	1
65	во всяком	1	1
