N	2gram	Berdyaev_V_1	FransuaR
1	и в	16	41
2	то есть	1	24
3	во всех	3	17
4	в нем	4	16
5	и с	1	16
6	но и	5	13
7	в этом	4	12
8	как мы	1	12
9	все эти	3	11
10	все это	5	11
11	в самом	1	10
12	не только	2	10
13	так как	9	10
14	прежде всего	2	10
15	то что	9	10
16	и на	1	9
17	в образах	1	9
18	и все	4	9
19	но в	3	8
20	в этой	1	8
21	никогда не	3	8
22	и до	1	7
23	в них	3	7
24	как и	4	7
25	том что	2	7
26	в его	4	7
27	вовсе не	1	7
28	у него	1	7
29	на части	1	7
30	как бы	5	7
31	что в	3	7
32	в образе	4	6
33	один из	2	6
34	мы видим	1	6
35	вместе с	1	6
36	что он	4	6
37	с его	3	5
38	в ее	1	5
39	в своем	1	5
40	что это	1	5
41	то же	1	5
42	во всем	1	5
43	тем что	2	5
44	так и	4	5
45	и что	3	5
46	в одном	1	5
47	между собою	1	5
48	так же	1	5
49	в ней	4	4
50	он был	1	4
51	как в	1	4
52	не в	3	4
53	того чтобы	2	4
54	все же	1	4
55	нового времени	1	4
56	у нас	1	4
57	роль в	1	4
58	и вообще	1	4
59	с ним	2	4
60	тот же	3	4
61	уже в	1	4
62	в результате	1	4
63	земли и	2	4
64	в котором	4	4
65	с другой	1	4
66	и от	1	4
67	а в	2	4
68	все что	4	4
69	вместо того	2	3
70	людей в	3	3
71	в чем	3	3
72	мы будем	1	3
73	и сам	2	3
74	людей и	2	3
75	весь мир	1	3
76	потому что	4	3
77	в духе	2	3
78	они и	2	3
79	к нему	1	3
80	того что	5	3
81	мы увидим	1	3
82	только в	2	3
83	конечно не	2	3
84	до того	2	3
85	что не	4	3
86	не были	1	3
87	и смерти	1	3
88	и не	20	3
89	с этой	1	3
90	но это	3	3
91	и для	3	3
92	в третьем	1	3
93	жизни и	3	3
94	в искусстве	1	3
95	они не	1	3
96	если б	1	2
97	и то	2	2
98	должна быть	3	2
99	мы не	2	2
100	говорить о	4	2
101	природы и	1	2
102	но не	2	2
103	в новом	1	2
104	что они	7	2
105	в истории	8	2
106	хотя и	5	2
107	в земной	2	2
108	духа в	1	2
109	одном образе	1	2
110	и вечно	2	2
111	на этом	1	2
112	будем говорить	1	2
113	что все	4	2
114	значение в	1	2
115	лишь в	3	2
116	в своей	3	2
117	в другие	1	2
118	их в	3	2
119	и очень	1	2
120	что их	2	2
121	как она	1	2
122	превращается в	3	2
123	не могут	2	2
124	конечно в	1	2
125	между тем	2	2
126	и во	2	2
127	но с	1	2
128	в конце	3	2
129	может быть	1	2
130	в форме	2	2
131	человека и	6	2
132	что человек	1	2
133	был в	1	2
134	а не	7	2
135	мира в	2	2
136	и потому	7	2
137	как это	1	2
138	не был	1	2
139	что мы	4	2
140	мира и	1	2
141	для нас	2	2
142	от него	2	2
143	бы в	1	2
144	в этих	3	2
145	в том	3	2
146	образ в	1	2
147	это все	2	2
148	другой стороны	1	2
149	есть и	1	2
150	и другие	1	2
151	от этой	1	1
152	наших дней	1	1
153	к людям	6	1
154	в их	1	1
155	его не	2	1
156	ней мы	1	1
157	что уже	1	1
158	и над	2	1
159	были в	1	1
160	то это	3	1
161	веке в	1	1
162	зависимости от	1	1
163	ты можешь	1	1
164	что теперь	2	1
165	еще не	8	1
166	не помогают	1	1
167	и хлеб	1	1
168	в изображении	1	1
169	менее всего	1	1
170	отношение к	1	1
171	себе и	1	1
172	не просто	1	1
173	нам право	1	1
174	земли с	1	1
175	нет и	2	1
176	этих словах	1	1
177	и я	4	1
178	материалом для	2	1
179	мы дадим	1	1
180	и нет	1	1
181	что нет	1	1
182	и хотя	1	1
183	времени с	1	1
184	со своей	1	1
185	в которой	1	1
186	в целом	1	1
187	им в	1	1
188	он делает	1	1
189	и если	1	1
190	и стало	1	1
191	перестает быть	1	1
192	они в	3	1
193	с именем	1	1
194	и вот	1	1
195	на земле	7	1
196	здание человеческого	2	1
197	и по	1	1
198	но все	1	1
199	на нее	1	1
200	с самыми	1	1
201	за то	3	1
202	их и	1	1
203	в глазах	1	1
204	и тем	1	1
205	в жизни	3	1
206	но люди	1	1
207	с тем	2	1
208	отвращение к	3	1
209	и было	1	1
210	и тогда	2	1
211	таким же	1	1
212	жизнь так	1	1
213	что от	2	1
214	в которых	1	1
215	мир и	2	1
216	не понимает	1	1
217	не могли	2	1
218	от источника	1	1
219	проявляется и	1	1
220	этих трех	3	1
221	и против	3	1
222	того как	1	1
223	мира от	4	1
224	на него	1	1
225	всего один	1	1
226	и именно	1	1
227	не имеет	3	1
228	это мы	2	1
229	так много	2	1
230	ничего не	1	1
231	одна из	2	1
232	видим что	1	1
233	духа а	1	1
234	легенда о	2	1
235	могут быть	2	1
236	его с	1	1
237	и это	2	1
238	башни и	2	1
239	о необычайном	1	1
240	iv в	1	1
241	отнять у	1	1
242	небом и	1	1
243	в себя	2	1
244	если они	1	1
245	он так	1	1
246	можно было	2	1
247	основана на	1	1
248	нас и	3	1
249	после того	1	1
250	оно ни	1	1
251	нет у	4	1
252	на составные	1	1
253	от них	1	1
254	что и	3	1
255	это не	2	1
256	вслед за	2	1
257	и чудесами	1	1
258	в лице	1	1
259	в которую	1	1
260	человека в	1	1
261	с ними	1	1
262	и так	1	1
263	это очень	1	1
264	люди эти	1	1
265	знаешь ли	1	1
266	их не	1	1
267	по этому	3	1
268	нам лучше	1	1
269	и жажды	1	1
270	и насыщает	1	1
271	уже не	2	1
272	не мистический	1	1
273	и они	3	1
274	или даже	1	1
275	превращаются в	2	1
276	для него	2	1
277	же они	1	1
278	папы и	1	1
279	ни в	3	1
280	и должна	1	1
281	к ним	1	1
282	они будут	4	1
283	ее на	1	1
284	для того	1	1
285	а потому	1	1
286	в число	2	1
287	еще и	1	1
288	а с	2	1
289	на людей	1	1
290	в высшую	1	1
291	себя и	1	1
292	говорит о	1	1
293	не было	3	1
294	ничем не	1	1
295	мы все	1	1
296	было для	1	1
297	о чем	1	1
298	избавился от	1	1
299	более глубокое	1	1
300	на вечность	1	1
301	стороны в	1	1
302	связь с	1	1
303	него в	1	1
304	есть такое	1	1
305	всех людей	3	1
306	и столь	1	1
307	над ним	1	1
308	он говорит	1	1
309	ли ты	2	1
310	образ и	1	1
311	да и	2	1
312	думать о	1	1
313	этого слова	1	1
314	дух в	1	1
315	здесь есть	1	1
316	неба и	1	1
317	ты хочешь	1	1
318	не существует	1	1
319	сливаться с	1	1
320	это как	1	1
321	тот кто	2	1
322	а к	2	1
323	у них	1	1
324	конце концов	1	1
325	в новых	1	1
326	мира с	1	1
327	для нашего	1	1
328	им не	1	1
329	в трех	1	1
330	это в	1	1
331	в противоположность	1	1
