N	3gram	Kanaev_Sov_1	Problemy
1	то же время	1	10
2	в то же	1	10
3	на самом деле	1	9
4	с самого начала	3	8
5	по отношению к	1	6
6	во всяком случае	2	4
7	и прежде всего	1	4
8	той или иной	1	4
9	друг с другом	2	4
10	в этом смысле	1	3
11	бы то ни	1	3
12	то ни было	1	3
13	не может быть	4	3
14	и к другому	1	3
15	с точки зрения	5	2
16	и не может	1	2
17	и в то	1	2
18	в отличие от	2	2
19	друг на друга	1	2
20	можно было бы	1	2
21	на этот раз	1	2
22	и в этом	1	2
23	в такой же	1	2
24	и та же	1	2
25	одна и та	1	2
26	но все же	1	2
27	в том что	1	2
28	все более и	1	1
29	в которой он	1	1
30	самом деле все	1	1
31	дело в том	1	1
32	в самом деле	1	1
33	на второй или	1	1
34	в этом случае	1	1
35	до сих пор	1	1
36	мы должны признать	1	1
37	мы без труда	1	1
38	заключает в себе	1	1
39	заключают в себе	1	1
40	что дело идет	1	1
41	в любом месте	1	1
42	не может но	1	1
43	по крайней мере	1	1
44	может быть и	2	1
45	в данном случае	1	1
46	он приводит к	1	1
47	вот пример такого	1	1
48	для каждого случая	1	1
49	как бы два	1	1
50	было бы так	1	1
51	и ничего не	1	1
52	всяком случае не	1	1
53	не в виде	1	1
54	в этом направлении	1	1
55	в целом эта	1	1
56	для чего же	1	1
57	мы видели что	3	1
58	в свое время	1	1
59	что же это	3	1
60	и ни в	1	1
61	раз и навсегда	1	1
62	но тем не	1	1
63	в свою очередь	2	1
64	как и во	1	1
65	но все эти	1	1
66	более и более	1	1
67	по его мнению	1	1
68	тем не менее	2	1
69	это как бы	1	1
70	этом смысле можно	1	1
71	то же самое	2	1
