N	2gram	Propp_Russ_2	Istorich
1	и в	29	26
2	в сказке	1	23
3	т е	24	22
4	так как	13	18
5	мы имеем	6	14
6	никогда не	2	13
7	потому что	5	13
8	и на	6	12
9	в этом	11	12
10	это представление	4	12
11	таким образом	6	12
12	в том	22	12
13	что в	22	12
14	в царство	1	11
15	мы видели	7	11
16	может быть	13	11
17	связь с	3	11
18	и т	5	10
19	не только	10	10
20	том что	22	10
21	представления о	2	10
22	в образе	2	10
23	с другой	2	10
24	и не	1	10
25	еще не	6	9
26	представление о	5	9
27	а именно	3	9
28	что он	1	9
29	но и	8	9
30	и это	1	8
31	все эти	3	8
32	все же	2	8
33	в нем	1	8
34	т д	5	8
35	с ним	1	8
36	вместе с	6	8
37	другой стороны	1	8
38	например в	1	7
39	но в	5	7
40	и его	1	7
41	о том	9	7
42	с одной	2	7
43	уже не	4	7
44	представлений о	2	7
45	превращается в	1	7
46	одной стороны	2	7
47	мы уже	1	6
48	мы не	6	6
49	эта связь	2	6
50	как в	7	6
51	этот случай	1	6
52	как он	1	6
53	после чего	2	6
54	так в	2	6
55	в русской	1	6
56	и с	10	6
57	в виде	4	6
58	то что	5	6
59	и там	3	6
60	этом случае	6	6
61	ее в	8	6
62	не может	5	6
63	то же	4	5
64	в ней	1	5
65	эти представления	4	5
66	не будет	1	5
67	чаще всего	1	5
68	и этим	1	5
69	как и	11	5
70	представление что	1	5
71	и что	5	5
72	в то	2	5
73	то это	1	5
74	так и	1	5
75	нас к	3	5
76	в его	1	5
77	в приведенных	2	5
78	показывают что	1	5
79	только в	1	5
80	тем что	3	5
81	связаны с	3	5
82	у нас	4	5
83	там где	2	5
84	как это	4	5
85	его в	8	5
86	представлениями о	2	5
87	в воде	3	5
88	как мы	3	4
89	из этих	2	4
90	после этого	2	4
91	на земле	5	4
92	и по	3	4
93	здесь мы	2	4
94	это не	5	4
95	с тем	6	4
96	не всегда	3	4
97	не имели	2	4
98	на землю	3	4
99	здесь еще	1	4
100	неи в	1	4
101	а также	4	4
102	что и	2	4
103	что между	1	4
104	себе в	1	4
105	царство мертвых	2	4
106	в других	15	4
107	прежде всего	2	4
108	связано с	2	4
109	зависит от	1	4
110	как бы	18	4
111	в это	1	4
112	у них	2	4
113	но это	1	4
114	в мифе	1	4
115	есть и	1	4
116	все что	1	4
117	же как	4	3
118	и через	3	3
119	и то	2	3
120	там же	12	3
121	этот обряд	6	3
122	тридевять земель	1	3
123	на место	1	3
124	время как	1	3
125	из которых	2	3
126	это еще	1	3
127	ее к	2	3
128	видели что	4	3
129	мертвых и	2	3
130	независимо от	1	3
131	тех случаях	1	3
132	когда он	1	3
133	и наконец	1	3
134	та же	2	3
135	если он	2	3
136	вообще не	1	3
137	что она	3	3
138	главным образом	3	3
139	при этом	6	3
140	если бы	1	3
141	за тридевять	1	3
142	так например	1	3
143	в них	4	3
144	нет в	1	3
145	такой же	1	3
146	в своей	2	3
147	таким же	1	3
148	и ее	2	3
149	это объясняет	1	3
150	в одном	1	3
151	не в	4	3
152	их в	4	3
153	и под	3	3
154	она не	3	3
155	того как	2	3
156	могут быть	2	3
157	как только	1	3
158	в сказках	1	3
159	вокруг него	2	3
160	и другие	14	3
161	данном случае	7	3
162	то время	2	3
163	показывает что	8	3
164	мы рассмотрим	4	3
165	к заключению	1	3
166	от него	1	3
167	же можно	1	3
168	но так	1	3
169	один из	2	3
