N	4gram	Medvedev_V_1	EvropaiC
1	до сих пор не	1	4
2	в том случае если	1	4
3	не подлежит сомнению что	1	3
4	в то же время	5	2
5	образом по отношению к	2	1
6	одно и то же	1	1
7	в том что оно	1	1
8	уже о том что	1	1
9	только в том случае	1	1
10	говоря уже о том	1	1
11	в начале этой главы	1	1
12	и не может быть	2	1
13	в том числе и	2	1
14	нет и не может	1	1
15	в том или ином	1	1
16	в то время как	1	1
17	но с другой стороны	1	1
18	в этой области не	1	1
19	именно в том что	1	1
20	что ни одна из	1	1
21	не в том что	2	1
22	а в том что	1	1
23	приводит к тому что	1	1
24	таким образом по отношению	2	1
25	в том же духе	1	1
26	и так или иначе	1	1
27	не говоря уже о	1	1
