N	3gram	Losev_Vlad_3	Psycholo
1	для того чтобы	1	19
2	на то что	2	16
3	в том что	10	14
4	с одной стороны	3	12
5	что в этом	2	6
6	о том что	8	6
7	заключается в том	1	6
8	к тому что	2	6
9	в самом деле	1	5
10	до сих пор	1	5
11	с другой стороны	2	5
12	и если мы	1	4
13	именно то что	1	4
14	а с другой	2	4
15	не только не	1	4
16	по этому поводу	1	4
17	иметь в виду	2	3
18	то же самое	1	3
19	должен был бы	1	3
20	сам по себе	2	3
21	вместе с тем	6	3
22	с тем что	1	3
23	и то что	4	3
24	одно и то	1	3
25	и что в	1	3
26	и то же	1	3
27	то что он	1	3
28	с самого начала	1	3
29	мы видим что	1	3
30	можно было бы	1	3
31	в этом отношении	2	3
32	что иное как	1	2
33	сводится к тому	2	2
34	потому что в	1	2
35	в этом случае	1	2
36	может быть и	1	2
37	с точки зрения	6	2
38	на первый план	2	2
39	является то что	1	2
40	в отличие от	3	2
41	то что в	3	2
42	потому что он	1	2
43	так же как	2	2
44	в данном случае	2	2
45	если бы мы	1	2
46	не только в	1	2
47	в конце концов	5	2
48	ясно что в	1	2
49	том и заключается	1	2
50	в том и	1	2
51	о которых мы	1	2
52	все то что	1	2
53	само по себе	3	2
54	не может быть	6	2
55	или вернее сказать	1	2
56	вопрос о том	1	2
57	не что иное	1	2
58	что это есть	2	2
59	той или иной	1	2
60	мы знаем что	1	2
61	и в результате	1	2
62	в каком отношении	1	2
63	решения этой проблемы	1	1
64	это же самое	2	1
65	том что в	3	1
66	не мог бы	1	1
67	в нашем сознании	1	1
68	по этому вопросу	1	1
69	дело в том	5	1
70	ни в каких	2	1
71	из этих трех	2	1
72	более или менее	5	1
73	в этом смысле	3	1
74	том что он	1	1
75	с которым мы	1	1
76	одной стороны и	2	1
77	же как и	1	1
78	и в этом	5	1
79	никак не можем	1	1
80	того что мы	1	1
81	эта заключается в	1	1
82	только то что	1	1
83	это совершенно неверно	1	1
84	что в нем	1	1
85	в основе своей	1	1
86	это еще в	1	1
87	бы если бы	2	1
88	с этой точки	1	1
89	и не в	1	1
90	и вовсе не	1	1
91	в том случае	3	1
92	к этому присоединяется	1	1
93	он никогда не	2	1
94	не могло быть	1	1
95	то время как	2	1
96	мы не можем	1	1
97	так же невозможно	1	1
98	и если в	1	1
99	в самом процессе	1	1
100	и в его	3	1
101	в себя и	1	1
102	в каждой из	1	1
103	как будто бы	1	1
104	и никак не	1	1
105	благодаря тому что	1	1
106	в последнее время	1	1
107	в течение всей	1	1
108	все же не	1	1
109	но вместе с	1	1
110	то что все	1	1
111	есть не только	1	1
112	и так как	1	1
113	что он делает	1	1
114	то есть оно	2	1
115	и в том	2	1
116	потому что они	1	1
117	этой точки зрения	1	1
118	сих пор не	1	1
119	надо сказать что	1	1
120	ни в каком	2	1
121	означает не что	1	1
122	в то время	4	1
123	и заключается что	1	1
124	как бы на	1	1
125	те или иные	2	1
126	она нуждается в	1	1
127	ничего общего с	2	1
128	но никак не	1	1
129	и что все	1	1
130	одна другую и	1	1
131	того существует ли	1	1
132	же невозможно как	1	1
133	по себе вне	1	1
134	в том смысле	1	1
135	не только то	1	1
136	если иметь в	1	1
137	конце концов только	1	1
138	в письме к	1	1
