N	3gram	Tiupa_Vved_1	EvropaiE
1	в то же	4	15
2	то же время	3	14
3	и в то	1	8
4	с одной стороны	5	8
5	одной стороны и	1	6
6	в том что	3	6
7	не только в	2	4
8	и в этом	1	4
9	само по себе	1	4
10	той или иной	2	4
11	в той или	1	3
12	в этом смысле	1	3
13	в этом отношении	4	3
14	можно было бы	2	3
15	во всяком случае	1	3
16	и прежде всего	1	3
17	можно сказать что	1	3
18	в последние годы	1	3
19	заключает в себе	1	3
20	иначе обстоит дело	1	2
21	имеет место в	1	2
22	из того что	1	2
23	к тому чтобы	1	2
24	тем самым в	1	2
25	в данном случае	6	2
26	тому или иному	1	2
27	с другой стороны	1	2
28	не может быть	3	2
29	в частности в	2	2
30	в свою очередь	4	2
31	прежде всего к	1	2
32	на то что	1	2
33	друг от друга	1	2
34	как мы видели	2	2
35	и того же	1	1
36	а не к	1	1
37	в этом мире	1	1
38	хотя и не	1	1
39	можно представить себе	1	1
40	другой стороны в	1	1
41	может быть сведена	1	1
42	более или менее	2	1
43	большей или меньшей	1	1
44	мы видели в	1	1
45	в соответствии с	6	1
46	в том же	1	1
47	существенное значение в	1	1
48	находятся в отношении	1	1
49	а также в	1	1
50	в отличие от	2	1
51	но и в	2	1
52	и та же	1	1
53	к тому или	1	1
54	том числе и	1	1
55	и не сразу	1	1
56	несмотря на его	1	1
57	или иной степени	1	1
58	в противном случае	1	1
59	можно ли признать	1	1
60	не сводится к	4	1
61	на этот раз	1	1
62	и тот же	1	1
63	в значительной степени	1	1
64	по большей части	3	1
65	в связи с	1	1
66	быть сведена к	1	1
67	не исключает возможности	1	1
68	одна и та	1	1
69	с другой в	1	1
70	в полной мере	1	1
71	вместо того чтобы	1	1
72	один и тот	1	1
73	к которой принадлежит	1	1
74	мы не можем	1	1
75	то есть в	1	1
76	и тем самым	2	1
77	речь идет о	1	1
78	одного и того	1	1
79	но не в	1	1
80	ли это что	1	1
81	в том числе	1	1
82	так и по	1	1
83	можно развернуть в	1	1
84	к тому же	4	1
85	в пределах одного	1	1
