N	3gram	Ircho_Kome_2	Analitik
1	в том что	5	7
2	по отношению к	3	7
3	так и не	1	5
4	с другой стороны	1	5
5	о том что	4	5
6	мы имеем дело	1	4
7	в свою очередь	1	4
8	то же время	3	3
9	той или иной	1	3
10	в то же	3	3
11	к тому же	10	3
12	не более чем	2	2
13	в ответ на	2	2
14	с точки зрения	1	2
15	в отличие от	2	2
16	едва ли не	5	2
17	с одной стороны	2	2
18	тем не менее	1	2
19	во всяком случае	2	2
20	должны были бы	1	1
21	по общему мнению	1	1
22	между отцом и	1	1
23	прежде всего они	1	1
24	не говоря уже	2	1
25	одной из этих	1	1
26	в самом деле	1	1
27	в этом смысле	2	1
28	себя в жизни	1	1
29	до сих пор	2	1
30	говоря уже о	2	1
31	ни у кого	1	1
32	что он не	1	1
33	молодого человека в	1	1
34	а в качестве	1	1
35	и не всегда	1	1
36	в самом начале	2	1
37	не только в	1	1
38	если говорить о	1	1
39	главы евгения онегина	1	1
40	по своему происхождению	1	1
41	в один ряд	1	1
42	так и в	1	1
43	затем и на	1	1
44	имеем дело с	1	1
45	так или иначе	3	1
46	таким же образом	1	1
47	в связи с	3	1
48	и еще больше	1	1
49	так и на	1	1
50	и частной жизни	1	1
51	в полной мере	1	1
52	для того чтобы	4	1
53	в своем поведении	1	1
54	в тех случаях	1	1
55	того или иного	1	1
56	для всех без	1	1
57	не может быть	1	1
58	в этом же	2	1
59	в первом случае	1	1
60	само по себе	1	1
61	не ведая того	1	1
62	то что не	1	1
63	речь идет о	2	1
64	до тех пор	3	1
65	друг от друга	1	1
66	тем более что	1	1
67	тех случаях когда	1	1
68	в большинстве случаев	1	1
69	в каждом из	1	1
70	с первых же	1	1
71	друг перед другом	1	1
72	что и в	2	1
