N	4gram	Losev_Prob_3	EvropaiE
1	с этой точки зрения	1	5
2	бы то ни было	3	4
3	в той или иной	2	3
4	так же как и	1	3
5	само по себе не	1	2
6	каких бы то ни	1	2
7	заключается в том что	2	2
8	к тому или иному	1	1
9	дело в том что	2	1
10	одного и того же	1	1
11	и то и другое	1	1
12	имеет для нас значение	1	1
13	в том смысле что	3	1
14	в то время как	4	1
15	в ту или иную	1	1
16	на то или иное	1	1
17	ли здесь говорить о	1	1
18	именно к тому что	1	1
19	в тех случаях когда	1	1
20	поскольку речь идет о	1	1
