N	3gram	Losev_Vesc_1	PoTuStor
1	с точки зрения	3	6
2	до сих пор	1	3
3	по крайней мере	4	3
4	по сравнению с	6	3
5	во всяком случае	2	3
6	не может быть	6	3
7	можно сказать что	3	3
8	в нем нет	1	2
9	так же как	1	2
10	в самом деле	4	2
11	все то что	1	2
12	о том что	4	2
13	и того же	1	1
14	то что я	2	1
15	ничего не говорит	1	1
16	дело в том	2	1
17	не есть ведь	1	1
18	подобно тому как	4	1
19	но даже и	2	1
20	одного и того	1	1
21	и представить ее	1	1
22	то же самое	1	1
23	может быть совершенно	1	1
24	хотя в данном	1	1
25	ни в коем	1	1
26	бы то ни	4	1
27	в этом отношении	1	1
28	можно было бы	1	1
29	и говорить о	1	1
30	она может быть	2	1
31	может быть только	3	1
32	с этой точки	1	1
33	вместе с тем	1	1
34	сделать это в	1	1
35	в коем случае	1	1
36	что я в	1	1
37	в жизни мы	1	1
38	в данном случае	2	1
39	то ни было	4	1
40	с одной стороны	3	1
41	между ними уже	1	1
42	в применении к	1	1
43	нечто третье что	1	1
44	с ним и	1	1
45	существует только в	1	1
46	с нею и	1	1
47	самом деле в	1	1
48	в свое время	2	1
49	в том что	4	1
50	этой точки зрения	1	1
51	ее не только	1	1
52	мы не можем	1	1
53	только одна из	1	1
54	это и есть	1	1
55	прежде всего к	1	1
56	что иное как	7	1
57	может быть речи	1	1
58	тому как мы	1	1
59	есть прежде всего	2	1
60	в том смысле	1	1
61	не что иное	7	1
62	себя с другими	1	1
63	и что он	1	1
64	друг с другом	1	1
65	для того чтобы	2	1
66	что это именно	2	1
67	что между ними	1	1
68	как мы знаем	1	1
69	ними уже не	1	1
70	мы еще не	2	1
