N	3gram	Bakhtin_fo_1	Narrotol
1	в том что	2	8
2	с одной стороны	2	7
3	о том что	1	6
4	по отношению к	3	6
5	в том числе	4	6
6	в отличие от	2	5
7	не может быть	3	5
8	времени и пространстве	1	5
9	том числе и	2	4
10	в данном случае	1	4
11	к тому же	2	4
12	той или иной	2	4
13	но все же	2	4
14	во времени и	1	4
15	в этом отношении	3	3
16	ни в мире	1	3
17	то же время	9	3
18	в свою очередь	1	3
19	в то же	6	3
20	отнюдь не предполагает	1	2
21	в той или	1	2
22	с точки зрения	2	2
23	сами по себе	1	2
24	в значительной степени	1	2
25	так же как	2	2
26	не только в	2	2
27	в себя и	1	2
28	в связи с	5	2
29	в этом ряду	1	2
30	то есть в	1	2
31	на другой день	2	2
32	по своей природе	1	1
33	том что в	1	1
34	и того же	5	1
35	или хотя бы	1	1
36	существенную роль в	2	1
37	так и его	1	1
38	не могло не	1	1
39	в данный момент	1	1
40	прежде всего они	1	1
41	каков бы он	1	1
42	как и для	2	1
43	прежде всего в	1	1
44	дело в том	2	1
45	в частности само	1	1
46	в самом деле	1	1
47	и в особенности	2	1
48	в том же	1	1
49	жанров в частности	1	1
50	же как и	2	1
51	пространства и времени	3	1
52	не было и	2	1
53	по себе они	1	1
54	до сих пор	3	1
55	да и в	1	1
56	и в то	5	1
57	до известной степени	1	1
58	не входит в	1	1
59	быть развернуто в	1	1
60	жизни то есть	2	1
61	или иной степени	1	1
62	от отца к	1	1
63	и др в	2	1
64	он ни был	1	1
65	до наших дней	1	1
66	может быть только	3	1
67	сказать что жанр	1	1
68	может быть и	2	1
69	не могло быть	3	1
70	человеческой жизни в	2	1
71	между ними не	1	1
72	в первый раз	1	1
73	их между собой	1	1
74	а также и	2	1
75	до нас в	3	1
76	все без исключения	1	1
77	ему что он	1	1
78	и как бы	1	1
79	отца к сыну	1	1
80	в нем не	3	1
81	как мы увидим	1	1
82	все то что	2	1
83	было и не	1	1
84	и до наших	1	1
85	качестве одной из	1	1
86	здесь не только	1	1
87	но по существу	2	1
88	если бы между	1	1
89	так и в	1	1
90	что все то	1	1
91	на протяжении всего	1	1
92	в различных сферах	1	1
93	никогда не бывает	1	1
94	включает в себя	1	1
95	ни с чем	1	1
96	и не могло	1	1
97	во всех его	1	1
98	в качестве одной	1	1
99	и прежде всего	2	1
100	как своего рода	1	1
101	ни единого слова	1	1
102	одного и того	5	1
103	бы он ни	1	1
104	как мы уже	8	1
105	друг с другом	1	1
106	человек с которым	1	1
107	то есть к	1	1
108	в соответствии с	2	1
109	не оставляет места	1	1
110	как и в	2	1
111	здесь как и	1	1
112	и у нас	1	1
113	в себе не	1	1
