N	2gram	Berdyaev_M_1	Narrotol
1	не только	29	32
2	может быть	30	25
3	но и	25	23
4	и не	11	20
5	то есть	3	19
6	и в	28	19
7	в том	6	18
8	в этом	20	17
9	не в	16	14
10	в частности	1	14
11	том что	3	14
12	а не	25	12
13	то что	5	11
14	а в	4	11
15	точки зрения	4	10
16	не может	28	10
17	в мире	10	9
18	так и	1	9
19	в его	9	9
20	в себе	7	8
21	еще не	1	7
22	по отношению	2	7
23	как в	2	7
24	все же	2	7
25	как и	5	7
26	к тому	3	7
27	с его	3	6
28	но не	8	6
29	в той	2	6
30	на протяжении	2	6
31	о том	2	6
32	что он	10	6
33	отношению к	2	6
34	но в	7	6
35	между двумя	1	5
36	не все	2	5
37	отличие от	1	5
38	и как	2	5
39	уже не	4	5
40	в этой	6	5
41	в отличие	1	5
42	в основе	2	5
43	и его	9	5
44	к себе	1	5
45	к нему	7	5
46	себя в	3	5
47	мира в	1	5
48	переход от	1	4
49	за собой	2	4
50	в нем	13	4
51	в силу	1	4
52	же не	1	4
53	и с	3	4
54	было бы	10	4
55	не мог	3	4
56	точку зрения	1	4
57	не столько	1	4
58	о нем	2	4
59	одного из	1	4
60	только в	6	4
61	хотя бы	3	4
62	у него	17	4
63	что не	1	4
64	прежде всего	10	4
65	если не	1	4
66	как бы	2	4
67	да и	1	4
68	отличается от	2	4
69	одной из	1	4
70	сказать что	2	4
71	это и	4	3
72	жизни как	1	3
73	и он	12	3
74	в ней	15	3
75	и на	6	3
76	может не	2	3
77	в ее	3	3
78	если в	1	3
79	что они	1	3
80	как говорит	1	3
81	когда он	3	3
82	уже в	4	3
83	не есть	9	3
84	он не	24	3
85	особенно в	3	3
86	все было	1	3
87	бы быть	1	3
88	не менее	1	3
89	в то	2	3
90	тем что	4	3
91	никогда не	14	3
92	по своей	2	3
93	могут быть	2	3
94	как будет	1	3
95	на том	3	3
96	мог бы	4	3
97	восходит к	1	3
98	между тем	1	3
99	а именно	1	3
100	один из	4	3
101	за границу	1	3
102	и даже	1	3
103	в свою	2	3
104	истории в	2	3
105	как будто	2	3
106	не существует	2	3
107	что в	10	3
108	будто бы	3	3
109	жизни в	2	3
110	а во	1	3
111	жизни и	2	3
112	отношения к	4	2
113	одним из	2	2
114	и потому	10	2
115	самом деле	1	2
116	к другому	1	2
117	и до	1	2
118	должна быть	6	2
119	мы имеем	1	2
120	ему в	1	2
121	он сам	6	2
122	иное как	1	2
123	в юности	1	2
124	отношение к	4	2
125	нет и	5	2
126	как к	1	2
127	в своем	10	2
128	в противоположность	1	2
129	он идет	1	2
130	все эти	2	2
131	бы не	2	2
132	роль в	1	2
133	та же	1	2
134	с чем	1	2
135	себя и	3	2
136	ключ к	1	2
137	не как	4	2
138	человека в	13	2
139	значительной степени	1	2
140	подход к	1	2
141	различие между	2	2
142	его в	3	2
