N	3gram	Bakhtin_Pr_1	FransuaR
1	то же время	3	6
2	в то же	3	6
3	как мы уже	1	5
4	до сих пор	1	4
5	но в то	1	4
6	в связи с	1	4
7	на самом деле	3	3
8	в отличие от	5	3
9	его связь с	1	3
10	а также и	1	3
11	в нашем примере	2	3
12	и прежде всего	5	3
13	для того чтобы	2	3
14	по отношению к	19	2
15	существенное отношение к	1	2
16	и в других	1	2
17	но и в	2	2
18	в этом отношении	2	2
19	можно было бы	3	2
20	в значительной степени	1	2
21	никакому сомнению что	1	2
22	по сравнению с	1	2
23	не может быть	11	2
24	все то что	3	2
25	в данном случае	4	2
26	его отношение к	1	2
27	той или иной	2	2
28	и в романе	1	2
29	можно сказать что	2	2
30	как и в	1	2
31	в том же	2	2
32	смысле этого слова	1	1
33	высшей степени характерно	1	1
34	одна из важнейших	1	1
35	что иное как	1	1
36	в области изучения	2	1
37	в своем роде	1	1
38	в основе своей	3	1
39	только в пределах	1	1
40	в нашу задачу	1	1
41	оно может быть	1	1
42	дело в том	1	1
43	подобно тому как	1	1
44	в настоящее время	1	1
45	также и в	1	1
46	здесь прежде всего	1	1
47	имеют дело с	1	1
48	о том как	1	1
49	но что в	1	1
50	имеется в виду	1	1
51	может быть только	3	1
52	в нем и	1	1
53	с точки зрения	6	1
54	на первый план	2	1
55	и не может	2	1
56	хотя бы и	1	1
57	в таких случаях	1	1
58	и не к	1	1
59	в строгом смысле	2	1
60	бы то ни	3	1
61	и др и	1	1
62	но несмотря на	1	1
63	только там где	2	1
64	и потому в	1	1
65	и в области	2	1
66	может быть и	1	1
67	в первых главах	1	1
68	и в частности	2	1
69	в применении к	3	1
70	не что иное	1	1
71	в первом случае	1	1
72	то ни было	2	1
73	в высшей степени	5	1
74	какое же значение	1	1
75	и в этом	1	1
76	с помощью которого	1	1
77	притом не только	1	1
78	еще ждет своего	1	1
79	во всех отношениях	1	1
80	в их целом	1	1
81	в связи со	1	1
82	как мы увидим	3	1
83	с другой стороны	4	1
84	в его целом	5	1
85	самое существенное отношение	1	1
86	одной из важнейших	2	1
87	в свое время	1	1
88	в истории и	1	1
89	есть не что	1	1
90	так например в	1	1
91	между тем как	5	1
92	в свою очередь	1	1
93	это и есть	1	1
94	первом случае мы	1	1
95	и отнюдь не	1	1
96	к нему и	2	1
97	и в самом	1	1
98	как бы две	1	1
99	строгом смысле слова	1	1
100	в ее целом	1	1
101	таким образом и	1	1
102	это как бы	1	1
103	для художника и	1	1
104	и др в	2	1
105	в узком смысле	1	1
106	мы уже указывали	1	1
107	душу и тело	1	1
108	его целом в	1	1
109	в том что	3	1
110	не нуждается в	1	1
111	и в другом	1	1
