N	3gram	Bakhtin_fo_2	Tragedij
1	то же время	4	5
2	в то же	4	5
3	в отличие от	1	2
4	в данном случае	1	2
5	но в то	1	2
6	и как бы	1	2
7	о том что	1	2
8	но все же	1	2
9	в том что	3	2
10	в этом случае	2	1
11	в этом мире	6	1
12	об этом свидетельствует	1	1
13	всего необходимо отметить	1	1
14	том что он	1	1
15	о золотом веке	1	1
16	должно быть по	1	1
17	что он не	1	1
18	и т п	11	1
19	все это мы	1	1
20	это как бы	1	1
21	в конце концов	1	1
22	объясняется тем что	1	1
23	но при этом	1	1
24	обстоит дело с	1	1
25	и должно быть	2	1
26	и в этом	3	1
27	по сравнению с	1	1
28	прежде всего необходимо	1	1
29	в связи с	7	1
30	он сказал что	1	1
31	с помощью этих	1	1
32	вместо того чтобы	1	1
33	не может быть	1	1
34	имеют особое значение	1	1
35	но в конце	1	1
36	все эти образы	1	1
37	как и все	1	1
38	и вместе с	1	1
39	в это же	1	1
40	у него есть	2	1
41	в одном из	1	1
42	с самого начала	1	1
43	ее к себе	1	1
44	к тому что	1	1
45	как и в	1	1
46	то и дело	1	1
