1	бы она ни была	2	3
2	может быть и речи	1	3
3	не может быть и	1	3
4	в том смысле что	3	2
5	и то и другое	1	2
6	то же и в	1	1
7	и в этом случае	3	1
8	выдвинуть на первый план	1	1
9	может быть даже и	1	1
10	есть не что иное	4	1
11	и в этом понятии	1	1
12	является не чем иным	1	1
13	во что бы то	1	1
14	в том или ином	2	1
15	в связи с теми	1	1
16	у нас не было	1	1
17	что бы то ни	1	1
18	только в связи с	1	1
19	языка из всего этого	1	1
20	если же мы возьмем	1	1
21	не что иное как	4	1
22	же в таком случае	1	1
23	бы то ни стало	1	1
24	ни в чем не	2	1
25	не чем иным как	1	1
