N	2gram	Losev_Dial_2	Russkaja
1	не может	9	22
2	и не	30	19
3	в том	14	17
4	в этом	8	17
5	и в	19	14
6	с другом	1	14
7	друг с	1	14
8	то что	14	13
9	то же	12	11
10	точки зрения	12	11
11	таким образом	4	11
12	в то	6	10
13	же время	5	10
14	но и	12	10
15	в себе	15	9
16	не только	19	9
17	том что	10	9
18	с точки	8	9
19	может быть	20	9
20	во всяком	2	9
21	прежде всего	8	8
22	как на	1	8
23	самом деле	4	7
24	отнюдь не	6	7
25	и если	4	7
26	и с	5	7
27	в данном	3	7
28	к тому	2	7
29	не будет	2	7
30	о том	5	7
31	мы должны	2	7
32	к которой	1	6
33	если в	2	6
34	в своем	4	6
35	и к	7	6
36	с тем	2	6
37	в своих	2	6
38	и при	2	6
39	все это	4	6
40	что он	6	6
41	всяком случае	2	6
42	на самом	2	6
43	вопрос о	3	5
44	и на	1	5
45	во всех	2	5
46	на то	1	5
47	в нем	10	5
48	при этом	4	5
49	он не	4	5
50	было бы	3	5
51	в своей	8	5
52	никогда не	9	5
53	потому что	14	5
54	между тем	2	5
55	а потому	2	5
56	и только	4	5
57	только в	5	5
58	хотя бы	4	5
59	конечно не	6	5
60	или иной	1	5
61	до сих	2	5
62	себя и	1	5
63	из которых	1	5
64	по существу	1	5
65	сих пор	2	5
66	а в	4	5
67	и то	7	4
68	бы то	1	4
69	но не	6	4
70	себе и	3	4
71	себя в	2	4
72	все же	4	4
73	более или	2	4
74	не в	8	4
75	в этой	3	4
76	на земле	1	4
77	тому чтобы	1	4
78	то ни	1	4
79	его в	3	4
80	как и	10	4
81	или менее	2	4
82	в их	2	4
83	тогда когда	6	4
84	во всем	1	4
85	ли это	1	4
86	от того	4	4
87	не могут	4	4
88	когда они	2	4
89	приводит к	1	4
90	в мире	2	4
91	путь к	1	4
92	в его	1	4
93	так как	14	4
94	вместе с	2	4
95	что же	2	4
96	как бы	14	4
97	в другое	2	4
98	жизни и	6	4
99	что в	7	4
100	все что	1	4
101	и т	17	3
102	то в	1	3
103	так чтобы	2	3
104	говорить о	5	3
105	и ни	1	3
106	еще не	4	3
107	он сам	1	3
108	из этих	1	3
109	что они	6	3
110	во что	1	3
111	в самом	5	3
112	что это	10	3
113	главным образом	1	3
114	и по	4	3
115	в другом	4	3
116	несмотря на	2	3
117	должно быть	7	3
118	всех этих	3	3
119	но если	1	3
120	и сейчас	1	3
121	знаем что	1	3
122	можно ли	3	3
123	одна из	1	3
124	связи с	4	3
125	то это	2	3
126	что оно	4	3
127	той или	4	3
128	что все	1	3
129	данном случае	2	3
130	ни стало	1	3
131	может только	2	3
132	может не	4	3
133	но мы	2	3
134	и во	1	3
135	что и	5	3
136	что бы	2	3
137	того что	6	3
138	с нею	3	3
139	тем чтобы	1	3
140	в виде	2	3
141	из них	3	3
142	в конце	2	3
143	друг друга	1	3
144	тем что	2	3
145	именно в	2	3
146	только к	2	3
147	не было	3	3
148	и потому	5	3
149	да и	6	3
150	или в	2	3
151	о котором	3	3
152	конце концов	1	3
153	и как	10	3
154	ибо в	1	3
155	все они	1	3
156	не есть	47	3
157	из этого	1	3
158	от этой	1	2
159	речь идет	1	2
160	говоря о	1	2
161	и есть	4	2
162	должна быть	5	2
163	к чему	1	2
164	эти самые	1	2
165	но она	1	2
166	но даже	1	2
167	в ней	2	2
168	в таком	4	2
169	время в	1	2
170	именно на	1	2
171	не просто	12	2
172	сама по	7	2
173	с этим	3	2
174	последнее время	1	2
175	к культуре	1	2
176	но в	2	2
177	это есть	8	2
178	все эти	2	2
179	другом случае	1	2
180	во многих	1	2
181	по самому	1	2
182	раз навсегда	1	2
183	сами эти	1	2
184	стремиться к	1	2
185	не к	1	2
186	и вот	4	2
187	факт что	1	2
188	мы уже	8	2
189	того или	2	2
190	на почве	1	2
191	по себе	18	2
192	и тем	1	2
193	одному из	1	2
194	и тогда	3	2
195	нисколько не	4	2
196	в этих	3	2
197	во время	2	2
198	что такое	3	2
199	могут не	1	2
200	в котором	1	2
201	в силу	5	2
202	друг другу	1	2
203	и более	3	2
204	их в	2	2
205	том и	1	2
206	тому что	2	2
207	она не	8	2
208	только для	1	2
209	что с	2	2
210	у него	1	2
211	к такому	1	2
212	больше чем	1	2
213	чтобы их	1	2
214	все члены	1	2
215	как будто	7	2
216	в области	2	2
217	свое собственное	1	2
218	отличается от	1	2
219	если же	1	2
220	и смотреть	1	2
221	и о	1	2
222	и человек	2	2
223	культуры и	2	2
224	за то	1	2
225	ясно что	4	2
226	это только	3	2
227	даже не	1	2
228	в порядке	1	2
229	и должно	2	2
230	и что	5	2
231	были бы	1	2
232	вне всякой	1	2
233	любви к	1	2
234	к нему	4	2
235	это в	1	2
236	быть и	4	2
237	совершенно не	7	2
238	даже если	1	2
239	проявляется в	1	2
240	бы ни	2	2
241	их не	1	2
242	так что	7	2
243	уже не	3	2
244	только на	1	2
245	является не	1	2
246	но совершенно	1	2
247	его и	1	2
248	представить себе	1	2
249	ни в	10	2
250	чтобы она	1	2
251	не о	1	2
252	мы можем	1	2
253	и вместе	1	2
254	в других	1	2
255	даже и	1	2
256	и даже	14	2
257	будет ли	2	2
258	и направление	1	2
259	в некоторых	2	2
260	зависит от	2	2
261	а не	16	2
262	в частности	2	2
263	так же	2	2
264	– не	9	2
