N	3gram	Tiupa_Vved_1	formyVre
1	в связи с	1	7
2	в этом мире	1	6
3	не только в	2	5
4	в том же	1	4
5	то же время	3	4
6	в то же	4	4
7	в том числе	1	3
8	о том как	1	3
9	и в то	1	3
10	но и в	2	3
11	и в этом	1	3
12	и прежде всего	1	3
13	в том что	3	3
14	то же самое	1	2
15	в этом случае	1	2
16	сами по себе	1	2
17	друг на друга	1	2
18	и та же	1	2
19	не было бы	1	2
20	том числе и	1	2
21	одна и та	1	2
22	в этом отношении	4	2
23	в этом ряду	2	2
24	друг от друга	1	2
25	жизни но и	1	1
26	и того же	1	1
27	в той или	1	1
28	никогда не было	1	1
29	другой стороны в	1	1
30	на самом деле	3	1
31	в котором он	1	1
32	мы видели в	1	1
33	в неразрывном единстве	1	1
34	как об этом	1	1
35	с установкой на	2	1
36	времени в частности	1	1
37	в отличие от	2	1
38	но в данном	1	1
39	мира в котором	3	1
40	как мы увидим	1	1
41	но в этом	1	1
42	по аналогии с	1	1
43	в романе в	1	1
44	того мира в	1	1
45	как и в	2	1
46	в данном случае	6	1
47	каждый из этих	1	1
48	с одной стороны	5	1
49	на первый взгляд	1	1
50	но при этом	2	1
51	объясняется тем что	1	1
52	но только в	1	1
53	с другой стороны	1	1
54	было бы не	1	1
55	вместо того чтобы	1	1
56	не может быть	3	1
57	прежде всего к	1	1
58	в частности в	2	1
59	человеческой жизни в	1	1
60	то есть в	1	1
61	пространственных и временных	1	1
62	в свою очередь	4	1
63	о том что	4	1
64	как она была	1	1
65	времени и пространстве	1	1
66	и хронотопа в	2	1
67	можно сказать что	1	1
68	одного и того	1	1
69	человек в нем	1	1
70	на границе между	1	1
71	как бы в	1	1
72	это свидетельствует о	1	1
73	как мы видели	2	1
74	той или иной	2	1
75	то есть с	1	1
