N	3gram	Berdyaev_O_1	Narrotol
1	в том что	1	8
2	о том что	1	6
3	не может быть	2	5
4	и не в	1	4
5	в этом отношении	1	3
6	а не в	2	2
7	нет у него	1	2
8	так и не	1	2
9	все та же	1	2
10	которым можно было	1	2
11	что нет у	1	2
12	том что в	1	1
13	и не быть	1	1
14	никогда не было	2	1
15	может быть осуществлено	1	1
16	прежде всего в	1	1
17	в самом деле	1	1
18	не было и	1	1
19	сам по себе	1	1
20	как это часто	1	1
21	и то что	1	1
22	а иногда и	1	1
23	он ни был	1	1
24	но от этого	1	1
25	что это за	1	1
26	а не только	1	1
27	и богаче чем	1	1
28	и когда он	1	1
29	само по себе	1	1
30	ни с чем	1	1
31	но и там	1	1
32	он еще не	1	1
33	и прежде всего	1	1
34	бы он ни	1	1
35	отличается в этом	1	1
36	отличается от всех	1	1
37	в его жизни	1	1
38	друг с другом	1	1
39	с его собственным	1	1
40	как и в	1	1
41	и больше всего	1	1
