N	3gram	Trubetskoy_1	Mirosoze
1	не может быть	1	17
2	вместе с тем	8	5
3	это и есть	1	4
4	добра и зла	1	4
5	и в этой	1	4
6	и вместе с	4	4
7	потому что в	1	3
8	с тем что	1	3
9	заключает в себе	2	3
10	в конце концов	3	2
11	в то время	1	2
12	по отношению к	1	2
13	по своему значению	1	2
14	для того чтобы	5	2
15	чтобы не иметь	1	2
16	не может не	1	2
17	до сих пор	5	2
18	не только для	2	1
19	о том что	4	1
20	когда мы читаем	1	1
21	не только от	1	1
22	по сравнению с	2	1
23	тем что в	1	1
24	и никогда не	1	1
25	в религиозном сознании	7	1
26	жизни вместе с	1	1
27	отличается не только	1	1
28	не имеет самостоятельного	1	1
29	что и в	1	1
30	имеем в виду	1	1
31	в том что	3	1
32	друг к другу	1	1
33	между этими двумя	2	1
34	как бы в	1	1
35	с психологической точки	1	1
36	но в конце	1	1
37	в отличие от	1	1
38	любви к богу	1	1
39	и по своим	1	1
40	мы имеем в	1	1
41	в которых он	1	1
42	человек должен был	1	1
43	все более и	1	1
44	может быть и	2	1
45	в самом деле	1	1
46	но не имеет	1	1
47	нет ничего кроме	1	1
48	и есть то	1	1
49	психологической точки зрения	1	1
50	от нее не	1	1
51	с одним из	2	1
52	не в том	1	1
53	но и от	1	1
54	во всяком случае	6	1
55	и в смысле	1	1
56	более и более	1	1
