N	3gram	Propp_Isto_1	slovoVRo
1	и т п	1	33
2	не может быть	7	15
3	в отличие от	2	12
4	в этом случае	1	6
5	в значительной степени	1	6
6	с одной стороны	4	5
7	в большинстве случаев	4	5
8	по отношению к	3	4
9	в зависимости от	2	4
10	но все же	3	4
11	в том что	4	4
12	в этом отношении	1	3
13	но в то	1	3
14	одной стороны и	1	3
15	более или менее	5	2
16	и в особенности	1	2
17	до сих пор	5	2
18	лишь тогда когда	1	2
19	не только в	1	2
20	не могут быть	1	2
21	никогда не может	1	2
22	в связи с	3	2
23	для того чтобы	1	2
24	и т д	22	2
25	том что она	1	1
26	для всех этих	1	1
27	в этой роли	1	1
28	общие для всех	1	1
29	это не может	2	1
30	иметь в виду	1	1
31	как один из	1	1
32	но оно не	1	1
33	одной стороны оно	1	1
34	в этих случаях	2	1
35	и в пределах	1	1
36	и др но	1	1
37	материала так и	1	1
38	в средние века	1	1
39	но все это	1	1
40	до известной степени	1	1
41	сами по себе	1	1
42	но и в	2	1
43	на то что	4	1
44	могли бы быть	2	1
45	она может быть	1	1
46	может быть только	1	1
47	при каких условиях	1	1
48	по себе а	1	1
49	в ту же	1	1
50	а не только	1	1
51	не входят в	1	1
52	xix века это	1	1
53	в себе как	1	1
54	шире и глубже	1	1
55	для этой цели	1	1
56	это не значит	1	1
57	с большей или	1	1
58	в этом направлении	1	1
59	связи с изучением	1	1
60	с другой стороны	5	1
61	тем или иным	1	1
62	мы видели что	2	1
63	тем не менее	6	1
64	о том что	3	1
65	того или иного	1	1
66	таким образом в	1	1
67	с ним но	1	1
68	чем это кажется	1	1
69	мы не можем	2	1
70	большей или меньшей	2	1
71	там где уже	1	1
72	до xix века	1	1
73	с самого начала	2	1
74	т д если	2	1
75	средние века и	1	1
76	иная точка зрения	1	1
77	также в значительной	1	1
78	уже не только	1	1
79	тех или иных	1	1
80	так и по	1	1
81	одно без другого	1	1
82	и в нем	1	1
83	необходимо иметь в	1	1
84	во всем его	1	1
85	все это не	1	1
86	мы увидим что	5	1
87	влечет за собой	1	1
88	мы еще не	1	1
