N	3gram	Bakhtin_Fr_2	Morfolog
1	в этом случае	1	9
2	не может быть	4	8
3	подобно тому как	2	5
4	по отношению к	1	4
5	с точки зрения	5	4
6	в тех же	1	4
7	с другой стороны	3	4
8	не могут быть	1	3
9	может быть названо	1	3
10	на самом деле	1	3
11	но все же	2	3
12	как и в	1	3
13	в тех случаях	1	2
14	в настоящее время	1	2
15	в собственном смысле	2	2
16	с этого момента	1	2
17	с одной стороны	3	2
18	тех случаях когда	1	2
19	в большинстве случаев	1	2
20	для того чтобы	1	2
21	в том что	1	2
22	в подземное царство	1	1
23	по существу и	1	1
24	и там где	1	1
25	до сих пор	4	1
26	еще тем что	1	1
27	ни в коем	1	1
28	в какой степени	1	1
29	он как бы	2	1
30	в коем случае	1	1
31	едой и питьем	1	1
32	в первый раз	1	1
33	и этот момент	1	1
34	не входит в	1	1
35	то чего в	1	1
36	все более и	1	1
37	во всяком случае	2	1
38	самом деле в	1	1
39	то же время	6	1
40	а и в	1	1
41	но никто не	1	1
42	далеко не всегда	1	1
43	мы имеем в	1	1
44	о том что	3	1
45	они вступают в	1	1
46	и в начале	2	1
47	можно сказать что	2	1
48	или во всяком	1	1
49	на то что	1	1
50	прежде всего о	1	1
51	в то же	6	1
52	более и более	1	1
53	друг с другом	1	1
54	никак нельзя было	1	1
55	все же в	3	1
