N	2gram	Tiupa_Disk_2	Retstnzi
1	не может	9	4
2	и в	16	3
3	один из	1	2
4	если в	1	2
5	общения и	2	2
6	понимания этого	1	1
7	в особенности	1	1
8	художественного целого	4	1
9	и не	15	1
10	не только	10	1
11	ни один	1	1
12	художественного произведения	1	1
13	к историческому	1	1
14	риторические жанры	1	1
15	точки зрения	4	1
16	на примере	2	1
17	во второй	1	1
18	но и	11	1
19	и должно	1	1
20	не менее	7	1
21	как искусство	1	1
22	тех же	1	1
23	русской литературы	1	1
24	персонажей и	2	1
25	в ней	2	1
26	может и	2	1
27	с теми	1	1
28	в то	5	1
29	с точки	2	1
30	и на	5	1
31	первая часть	1	1
32	для него	5	1
33	может не	1	1
34	в языке	2	1
35	ситуации и	2	1
36	к тому	1	1
37	а не	14	1
38	его от	1	1
39	может быть	16	1
40	в противоположную	1	1
41	несмотря на	1	1
42	в его	3	1
43	с самых	1	1
44	же время	5	1
45	то же	6	1
46	и все	3	1
47	из этих	3	1
48	можно назвать	4	1
49	исходя из	1	1
