N	2gram	Losev_Prob_4	Istorich
1	и в	20	28
2	и т	4	25
3	может быть	9	25
4	т д	3	22
5	а не	7	15
6	не может	5	15
7	никогда не	1	14
8	мы имеем	6	13
9	мы должны	3	13
10	для нас	6	13
11	то же	7	12
12	не только	24	12
13	что в	3	12
14	мы видим	1	11
15	только в	23	11
16	мы не	7	10
17	все же	2	10
18	и что	2	10
19	что он	8	10
20	но и	14	10
21	прежде всего	11	10
22	т е	1	10
23	не в	13	9
24	так и	10	9
25	о том	5	9
26	то что	15	9
27	в том	20	9
28	и не	28	9
29	в этом	9	8
30	но в	8	8
31	что это	2	8
32	таким образом	8	8
33	не всегда	1	8
34	если бы	8	8
35	в ней	7	7
36	здесь мы	3	7
37	это не	7	7
38	еще не	7	7
39	и здесь	1	7
40	и др	1	7
41	что мы	3	7
42	так же	5	7
43	том что	12	7
44	было бы	14	7
45	в этих	5	7
46	а в	4	7
47	в этой	4	6
48	это тоже	1	6
49	ни один	1	6
50	о смерти	1	6
51	его в	2	6
52	тем не	10	6
53	не менее	10	6
54	к тому	3	6
55	что и	3	6
56	так как	5	6
57	с другой	7	6
58	вместе с	5	6
59	когда он	1	6
60	видно что	1	6
61	вопрос о	1	5
62	мы будем	1	5
63	что они	2	5
64	в своем	3	5
65	более или	2	5
66	что она	4	5
67	в силу	1	5
68	или менее	2	5
69	не будем	2	5
70	дело не	3	5
71	на основе	1	5
72	можно было	4	5
73	в его	3	5
74	что здесь	6	5
75	но не	5	5
76	в качестве	10	5
77	в одном	4	5
78	до сих	1	5
79	на более	1	5
80	сих пор	1	5
81	или в	5	5
82	не знает	1	5
83	сказать что	7	5
84	другой стороны	6	5
85	и даже	9	4
86	и для	4	4
87	и на	3	4
88	между собой	2	4
89	то мы	2	4
90	не то	2	4
91	не все	1	4
92	с этим	4	4
93	все эти	16	4
94	на то	1	4
95	но все	3	4
96	об этом	6	4
97	и с	7	4
98	с тем	4	4
99	как и	6	4
100	даже в	1	4
101	в основе	1	4
102	находится в	1	4
103	связи с	3	4
104	здесь не	7	4
105	в пределах	2	4
106	другими словами	3	4
107	того что	1	4
108	с одной	1	4
109	потому что	15	4
110	так что	6	4
111	большинстве случаев	1	4
112	а именно	2	4
113	превращается в	1	4
114	одной стороны	1	4
115	могут быть	1	4
116	как будто	11	4
117	все это	9	4
118	в связи	3	4
119	хотя бы	7	4
120	но это	6	4
121	и другие	1	4
122	также и	13	3
123	чтобы не	2	3
124	мы здесь	2	3
125	и должен	1	3
126	время как	2	3
127	ему в	2	3
128	то это	3	3
129	и он	2	3
130	там и	1	3
131	не просто	16	3
132	так называемая	2	3
133	перед нами	13	3
134	могли бы	1	3
135	с мифами	1	3
136	очень много	2	3
137	при этом	6	3
138	не как	1	3
139	и по	2	3
140	в другом	3	3
141	из них	3	3
142	и тогда	2	3
143	во время	1	3
144	нас не	1	3
145	в котором	2	3
146	в их	1	3
147	выше мы	1	3
148	это дело	1	3
149	бы быть	2	3
150	по себе	11	3
151	раз и	1	3
152	в то	4	3
153	дело в	2	3
154	с религией	1	3
155	однако это	2	3
156	у меня	2	3
157	есть только	2	3
158	же самое	6	3
159	утверждать что	1	3
160	как мы	3	3
161	действия и	2	3
162	в образе	1	3
163	для этого	2	3
164	способ производства	1	3
165	в которую	1	3
166	в какой	4	3
167	во всем	2	3
168	и его	10	3
169	уже не	5	3
170	если мы	5	3
171	в начале	3	3
172	или даже	4	3
173	здесь будет	1	3
174	представлений о	1	3
175	то время	2	3
176	тем что	3	3
177	именно в	7	3
178	мы еще	1	3
179	на эту	1	3
180	как это	3	3
181	из которых	3	3
182	среди этих	1	3
183	что же	1	3
184	будто бы	2	3
185	в целях	5	3
186	точно так	3	3
187	одним из	1	2
188	же как	1	2
189	и потому	7	2
190	и между	1	2
191	в зависимости	3	2
192	что если	1	2
193	не вполне	2	2
194	когда мы	5	2
195	зависимости от	3	2
196	это время	1	2
197	к своему	2	2
198	на них	1	2
199	столь же	2	2
200	бы то	1	2
201	во всех	4	2
202	то он	2	2
203	легко может	1	2
204	а только	6	2
205	значение и	1	2
206	должны были	1	2
207	мы сейчас	3	2
208	относится к	2	2
209	первый взгляд	1	2
210	как в	5	2
211	однако не	4	2
212	то ясно	1	2
213	и как	3	2
214	в действительности	1	2
215	за собой	2	2
216	в целом	1	2
217	он в	1	2
218	тут и	4	2
219	которые в	1	2
220	тоже не	1	2
221	в очень	1	2
222	в себе	12	2
223	как он	1	2
224	и если	5	2
225	в нем	5	2
226	связанные с	1	2
227	он не	2	2
228	и миф	1	2
229	всех этих	6	2
230	пор мы	1	2
231	и вот	1	2
232	том чтобы	2	2
233	то ни	1	2
234	при помощи	10	2
235	и тем	7	2
236	смерть и	1	2
237	но уже	1	2
238	нет в	2	2
239	об этой	1	2
240	в чистом	2	2
241	должно быть	1	2
242	и конец	1	2
243	на первый	1	2
244	для него	3	2
245	но если	6	2
246	в такой	1	2
247	миф о	1	2
248	бы мы	1	2
249	для объяснения	1	2
250	только для	3	2
251	в эпоху	1	2
252	однако в	2	2
253	что этот	1	2
254	чистом виде	2	2
255	но они	2	2
256	как о	3	2
257	и другое	3	2
258	самого начала	1	2
259	так чтобы	2	2
260	по своей	1	2
261	к мифу	2	2
262	только с	1	2
263	не могут	1	2
264	всего в	1	2
265	в области	3	2
266	это происходит	1	2
267	указывает на	4	2
268	не есть	12	2
269	поставить вопрос	1	2
270	всех случаях	1	2
271	в ее	5	2
272	с самого	1	2
273	нечто целое	3	2
274	и когда	2	2
275	за то	1	2
276	ясно что	7	2
277	целое и	1	2
278	том как	2	2
279	мы в	1	2
280	поэтому в	1	2
281	с ним	4	2
282	ничего не	1	2
283	не содержит	1	2
284	там же	2	2
285	не выходит	3	2
286	нас в	1	2
287	отражением в	1	2
288	этому поводу	1	2
289	и только	4	2
290	здесь в	5	2
291	и она	1	2
292	с той	1	2
293	но так	2	2
294	образов и	1	2
295	тот же	2	2
296	одной из	4	2
297	дело с	2	2
298	по этому	2	2
299	себя в	2	2
300	для всех	3	2
301	то и	5	2
302	ни было	2	2
303	не так	3	2
304	никто не	2	2
305	вовсе не	21	2
306	само по	1	2
307	как раз	4	2
308	были бы	3	2
309	еще и	3	2
310	с ней	2	2
311	что не	4	2
312	говорит о	2	2
313	не на	1	2
314	его как	1	2
315	воздействовать на	1	2
316	xix века	2	2
317	конечно не	3	2
318	как бы	4	2
319	именно так	1	2
320	не знаем	1	2
321	нисколько не	1	2
322	и часто	1	2
323	куда ты	1	2
324	не существует	5	2
325	и от	6	2
326	которые на	1	2
327	бы в	1	2
328	всякого рода	3	2
329	ни к	2	2
330	первобытного мышления	1	2
331	в мифе	3	2
332	не дает	1	2
333	между ними	1	2
334	была бы	2	2
335	из этого	3	2
336	в виде	22	2
337	в частности	2	2
338	это было	2	2
339	солнца он	1	2
340	можно назвать	2	2
341	значения этого	1	1
342	самых общих	1	1
343	можно говорить	1	1
344	также что	1	1
345	отношении они	1	1
346	художественного произведения	1	1
347	связана с	1	1
348	и то	2	1
349	на самом	5	1
350	это и	4	1
351	жизни мы	1	1
352	и есть	4	1
353	тем же	1	1
354	смысл этого	1	1
355	ведь и	1	1
356	и больше	2	1
357	едва ли	10	1
358	видеть ни	1	1
359	и этот	3	1
360	в году	1	1
361	уже по	2	1
362	есть не	6	1
363	отсюда видно	1	1
364	образы и	3	1
365	и мифа	2	1
366	повседневной жизни	1	1
367	себе как	1	1
368	что уже	1	1
369	на дерево	1	1
370	он как	3	1
371	есть нечто	9	1
