N	2gram	Tiupa_Narr_1	Otkroven
1	о человеке	1	29
2	у него	7	22
3	и в	11	19
4	но и	27	13
5	и не	23	13
6	в этом	12	12
7	человека в	2	11
8	не в	6	11
9	не только	31	11
10	может быть	15	11
11	а не	13	11
12	в нем	4	10
13	и все	3	10
14	прежде всего	4	9
15	не было	3	9
16	в человеке	1	9
17	никогда не	4	9
18	потому что	5	9
19	он был	1	8
20	и он	6	8
21	в его	6	7
22	человек не	1	7
23	он не	3	7
24	лишь в	3	7
25	до конца	2	7
26	как и	13	6
27	все это	1	6
28	отношение к	1	5
29	в том	8	5
30	в самом	6	5
31	в этой	6	5
32	человеке в	1	5
33	для него	4	5
34	в творчестве	1	5
35	о его	2	5
36	а в	13	5
37	то что	9	5
38	он сам	3	4
39	с его	4	4
40	на земле	1	4
41	что не	2	4
42	человеческих отношений	1	4
43	не может	8	4
44	того чтобы	4	4
45	человек и	1	4
46	о бессмертии	1	4
47	и мысли	1	4
48	и его	10	4
49	что в	3	4
50	и есть	1	3
51	различие между	1	3
52	о том	4	3
53	еще не	4	3
54	к нему	4	3
55	того что	4	3
56	когда он	1	3
57	что он	3	3
58	и ее	3	3
59	это за	1	3
60	в себе	6	3
61	и вот	2	3
62	для того	3	3
63	это было	2	3
64	это не	3	3
65	только одно	1	3
66	могут быть	1	3
67	как бы	6	3
68	с ним	2	3
69	в русской	3	3
70	и от	2	3
71	в этих	2	3
72	хотя бы	2	3
73	все что	2	3
74	и с	3	2
75	и то	3	2
76	в ее	1	2
77	за все	1	2
78	что у	4	2
79	так и	5	2
80	и о	3	2
81	по себе	4	2
82	их не	1	2
83	и на	5	2
84	и много	1	2
85	природы и	1	2
86	не все	1	2
87	что и	1	2
88	же можно	1	2
89	в своем	3	2
90	все же	4	2
91	сразу же	1	2
92	и к	1	2
93	и потому	1	2
94	в которой	1	2
95	уже в	1	2
96	в душе	1	2
97	что для	1	2
98	так как	1	2
99	тем что	1	2
100	момент в	1	2
101	в другом	1	2
102	его в	1	2
103	он восклицает	1	2
104	сказать что	2	2
105	с тем	1	2
106	было для	1	2
107	но никогда	1	2
108	том что	7	2
109	к этому	1	2
110	можно ли	1	2
111	своей жизни	1	2
112	не имеет	2	2
113	любовь к	1	2
114	и для	2	2
115	ничего не	2	2
116	к ней	1	2
117	жизни в	2	2
118	в своей	5	2
119	к этой	1	2
120	хотя и	4	2
121	но в	7	2
122	также и	3	1
123	например в	1	1
124	и открывает	1	1
125	чтобы не	1	1
126	и через	2	1
127	в виду	1	1
128	сам по	1	1
129	тот сам	1	1
130	на самом	1	1
131	тем же	2	1
132	между двумя	5	1
133	и до	1	1
134	и когда	1	1
135	к чему	3	1
136	из всех	1	1
137	не с	1	1
138	и каждый	1	1
139	мы не	3	1
140	том как	1	1
141	в первый	1	1
142	если бы	7	1
143	один человек	1	1
144	бессмертии души	1	1
145	в сущности	2	1
146	не вполне	2	1
147	жизни как	2	1
148	о нем	3	1
149	в ней	4	1
150	в глаза	1	1
151	его жизни	3	1
152	все та	1	1
153	это была	2	1
154	самому себе	1	1
155	во внешнем	1	1
156	самом деле	3	1
157	но не	4	1
158	и всякий	1	1
159	которая представляется	1	1
160	христа в	1	1
161	нуждается в	1	1
162	в форме	2	1
163	чем и	1	1
164	преступление и	1	1
165	все время	1	1
166	и я	1	1
167	человека как	1	1
168	в центре	3	1
169	как в	4	1
170	его собственным	1	1
171	бросается в	1	1
172	в частности	14	1
173	один из	6	1
174	сознания в	2	1
175	и как	3	1
176	речь о	1	1
177	с ними	2	1
178	ли он	1	1
179	самом начале	1	1
180	то в	4	1
181	за собой	1	1
182	и после	2	1
183	свой особый	1	1
184	который в	2	1
185	из жизни	1	1
186	что это	1	1
187	между этими	1	1
188	представляет собой	8	1
189	за это	1	1
190	со всеми	1	1
191	но о	1	1
192	уже не	8	1
193	на то	2	1
194	и пережил	1	1
195	бы ни	1	1
196	что она	1	1
197	прошел через	1	1
198	бытия но	1	1
199	да и	2	1
200	речи и	1	1
201	из них	4	1
202	что сама	1	1
203	его и	2	1
204	ключ к	2	1
205	чем у	1	1
206	к одному	1	1
207	в силу	1	1
208	в корне	1	1
209	в одном	4	1
210	и сам	1	1
211	у нее	4	1
212	само по	1	1
213	людей и	1	1
214	этом отношении	3	1
215	глаза что-то	1	1
216	чувствует и	1	1
217	том случае	1	1
218	и даже	2	1
219	со стороны	8	1
220	интерес к	1	1
221	как у	2	1
222	он выступает	1	1
223	в глазах	3	1
224	а именно	1	1
225	лица в	1	1
226	с той	1	1
227	действующих лиц	5	1
228	лишь на	1	1
229	было и	2	1
230	на людей	1	1
231	главное в	1	1
232	в жизни	3	1
233	говорит о	1	1
234	знаменательно что	1	1
235	а с	1	1
236	на этот	1	1
237	стремится к	1	1
238	о чем	4	1
239	ведет к	1	1
240	в мире	4	1
241	и тогда	2	1
242	нисколько не	1	1
243	мира в	4	1
244	он и	2	1
245	и ему	1	1
246	проникновения в	1	1
247	стремился к	1	1
248	связь с	1	1
249	начиная с	3	1
250	русской литературы	1	1
251	его как	1	1
252	как это	3	1
253	в котором	1	1
254	в строгом	1	1
255	и наказание	1	1
256	оказывается что	1	1
257	мир и	1	1
258	есть на	1	1
259	говорит с	2	1
260	героя из	2	1
261	образ и	1	1
262	что было	1	1
263	творчества это	1	1
264	всяком случае	2	1
265	в конце	2	1
266	друг с	1	1
267	ней не	1	1
268	в человеческой	1	1
269	заглянуть в	1	1
270	а потому	1	1
271	быть не	3	1
272	лет назад	1	1
273	любви и	1	1
274	глубину как	1	1
275	и здесь	1	1
276	но это	1	1
277	но у	1	1
278	отличается от	1	1
279	она не	2	1
280	дело в	2	1
281	того как	1	1
282	одна из	4	1
283	ближе к	1	1
284	не по	4	1
285	было не	1	1
286	отношениях к	1	1
287	не случайно	1	1
288	указать на	1	1
289	он указывает	1	1
290	не существует	3	1
291	в пределе	1	1
292	может служить	3	1
293	жизни не	1	1
294	ее и	1	1
295	и лишь	1	1
296	но еще	1	1
297	идти в	1	1
298	еще более	1	1
299	для его	1	1
300	по своей	1	1
301	во всем	1	1
302	в сознании	4	1
303	внутренней жизни	1	1
304	заключает в	2	1
305	отношении к	1	1
306	как будто	3	1
307	в потоке	1	1
308	это от	1	1
309	это все	1	1
310	с другом	1	1
311	всего мира	1	1
312	у нас	3	1
313	всех действующих	1	1
314	была бы	1	1
315	совершенно не	1	1
316	к его	2	1
317	жизни а	3	1
318	та же	2	1
319	в свое	1	1
320	особенно в	2	1
321	и состоит	4	1
322	в голову	1	1
323	жизни и	6	1
324	будто бы	1	1
325	во всяком	2	1
326	за границу	1	1
327	указывает на	1	1
328	случае если	1	1
329	они и	2	1
330	от которой	1	1
