N	4gram	Vygotskiy__7	Russkaja
1	друг с другом и	1	2
2	и вместе с тем	2	2
3	таким образом оказывается что	1	1
4	и то и другое	1	1
5	и во всяком случае	1	1
6	в том числе и	1	1
7	точно так же как	2	1
8	что с точки зрения	1	1
9	бы друг с другом	1	1
10	и не может быть	1	1
11	в свою очередь является	1	1
12	одну и ту же	1	1
13	которых мы говорили выше	2	1
14	заключается в том что	4	1
15	о которых мы говорили	2	1
16	несмотря на то что	1	1
17	в этом и состоит	1	1
18	в каждый данный момент	1	1
19	точка зрения приводит к	1	1
