N	3gram	Trubetskoy_1	Freidism
1	с точки зрения	9	11
2	по отношению к	1	8
3	во всяком случае	6	7
4	не может быть	4	7
5	в самом деле	1	6
6	в большинстве случаев	2	5
7	и прежде всего	1	5
8	то же время	10	4
9	в то же	10	4
10	в данном случае	3	4
11	на самом деле	6	4
12	для того чтобы	6	3
13	бы то ни	4	3
14	к тому чтобы	4	3
15	на этот вопрос	1	3
16	в свою очередь	1	3
17	с самого начала	1	3
18	то же самое	1	2
19	до сих пор	5	2
20	и не может	3	2
21	но мы знаем	1	2
22	впитывает в себя	1	2
23	во всех областях	1	2
24	но в то	1	2
25	внутренней и внешней	1	2
26	в его целом	1	2
27	в этом отношении	1	2
28	это и есть	1	2
29	то ни было	1	2
30	тем не менее	1	2
31	мы уже знаем	1	2
32	в конце концов	3	2
33	того чтобы их	1	1
34	или хотя бы	1	1
35	для всех людей	1	1
36	сводится к тому	1	1
37	то ни стало	3	1
38	даже тогда когда	1	1
39	зависит от того	1	1
40	но даже и	1	1
41	как бы ни	1	1
42	в этом случае	3	1
43	во что бы	3	1
44	что с точки	1	1
45	до известной степени	1	1
46	по отношению ко	1	1
47	конечно не может	1	1
48	для обеих сторон	2	1
49	только то что	1	1
50	в себе и	2	1
51	во всех этих	1	1
52	при таких условиях	3	1
53	как и при	1	1
54	может и должно	1	1
55	элементов из которых	1	1
56	по крайней мере	1	1
57	отнюдь не является	1	1
58	что бы то	3	1
59	все что может	2	1
60	мы не знаем	1	1
61	на первый взгляд	1	1
62	только один из	1	1
63	но она не	2	1
64	но при этом	1	1
65	самом деле являются	1	1
66	всяком случае не	1	1
67	мы говорили выше	1	1
68	только с точки	1	1
69	в культурном творчестве	1	1
70	то что же	1	1
71	что же это	1	1
72	свою точку зрения	1	1
73	и все же	1	1
74	и вот в	1	1
75	от того что	1	1
76	говорить о том	1	1
77	о том что	2	1
78	той или иной	3	1
79	но все же	1	1
80	знаем что это	1	1
81	свою очередь является	1	1
82	хотя бы ценою	1	1
83	смысле этого слова	1	1
84	еще на одну	1	1
85	ее в этом	1	1
86	быть не может	1	1
87	в том что	7	1
88	бы для него	1	1
89	критическом отношении к	1	1
90	она не может	2	1
91	он еще не	1	1
