N	2gram	Propp_Russ_1	Vladivir
1	с м	1	41
2	и в	36	31
3	в году	2	30
4	не только	22	24
5	а к	1	22
6	но и	16	19
7	то что	6	18
8	и не	6	17
9	у него	2	15
10	в этом	12	14
11	том что	19	14
12	и с	2	14
13	он был	2	14
14	что в	19	14
15	там же	5	13
16	но в	2	12
17	в его	2	12
18	что он	1	12
19	по поводу	1	12
20	с его	1	11
21	же с	1	11
22	о том	8	11
23	в том	17	11
24	между прочим	2	11
25	потому что	10	11
26	также и	1	10
27	он не	1	10
28	так что	2	10
29	как мы	10	9
30	только в	4	9
31	с а	1	9
32	в течение	5	9
33	м соловьев	1	9
34	а в	9	9
35	и по	8	8
36	в москве	3	8
37	в то	1	8
38	в дальнейшем	2	8
39	в петербурге	1	8
40	так как	15	8
41	в доме	2	7
42	тут же	2	7
43	мы сейчас	1	7
44	кроме того	1	7
45	и и	2	7
46	мы уже	1	7
47	как это	8	7
48	и его	1	7
49	об этом	9	7
50	м и	1	7
51	в эти	4	7
52	уже в	1	7
53	еще и	1	7
54	е в	8	7
55	сказать что	1	7
56	того же	1	6
57	то же	3	6
58	и был	1	6
59	не без	1	6
60	и к	3	6
61	он и	1	6
62	иной раз	1	6
63	года он	1	6
64	у нас	8	6
65	и сам	1	6
66	так и	7	6
67	разного рода	1	6
68	и что	4	6
69	можно сказать	1	6
70	в качестве	3	6
71	может быть	8	6
72	на этот	3	6
73	и потому	2	6
74	не может	4	6
75	к этому	4	6
76	не был	1	5
77	когда он	2	5
78	это был	1	5
79	на то	1	5
80	которой он	1	5
81	в египет	1	5
82	что и	7	5
83	не было	2	5
84	а с	4	5
85	все это	6	5
86	видно что	6	5
87	а также	3	5
88	с ним	2	5
89	в период	1	5
90	жизни и	1	5
91	в своих	2	5
92	он уже	1	4
93	совсем не	1	4
94	в этой	1	4
95	в истории	1	4
96	в своем	3	4
97	хотя и	2	4
98	и как	2	4
99	в этот	10	4
100	в которой	1	4
101	в нашем	2	4
102	в себе	1	4
103	как он	2	4
104	в нем	2	4
105	главным образом	2	4
106	в россии	4	4
107	что у	2	4
108	как и	10	4
109	несмотря на	3	4
110	еще в	4	4
111	и вообще	1	4
112	а а	25	4
113	дело в	1	4
114	можно судить	1	4
115	к ней	2	4
116	никак не	1	4
117	к нему	1	4
118	один из	8	4
119	и теперь	1	4
120	и у	5	4
121	в особенности	2	4
122	после смерти	1	4
123	что для	1	4
124	и все	1	4
125	для нас	6	4
126	докторской диссертации	1	4
127	н г	2	4
128	увидим ниже	3	3
129	с в	4	3
130	народного просвещения	1	3
131	в семье	1	3
132	но она	2	3
133	на себя	2	3
134	и он	1	3
135	это время	2	3
136	и на	10	3
137	но не	2	3
138	в в	2	3
139	в общем	1	3
140	он пишет	1	3
141	что они	7	3
142	отнюдь не	2	3
143	как в	5	3
144	все же	5	3
145	в целом	2	3
146	все эти	2	3
147	здесь мы	1	3
148	то есть	3	3
149	из своего	1	3
150	со своими	1	3
151	во время	14	3
152	взгляд на	1	3
153	что касается	1	3
154	но это	4	3
155	что этот	4	3
156	и всегда	1	3
157	ничего не	3	3
158	вот что	1	3
159	таким образом	6	3
160	к тому	4	3
161	в жизни	2	3
162	жизнь и	1	3
163	свидетельствует о	1	3
164	и здесь	2	3
165	и просто	1	3
166	тот же	1	3
167	мы увидим	8	3
168	и действительно	1	3
169	и так	1	3
170	уже не	6	3
171	только на	3	3
172	в виде	6	3
173	москве и	2	3
174	с этими	1	3
175	но что	2	3
176	и из	3	3
177	под влиянием	1	3
178	если не	1	3
179	в связи	4	3
180	вместе с	10	3
181	настоящей работы	1	3
182	по своему	1	3
183	н и	1	3
184	в начале	1	3
185	на одной	1	3
186	и н	2	3
187	года в	2	3
188	же т	1	3
189	были для	1	3
190	и т	10	2
191	тех же	1	2
192	и до	2	2
193	в меру	1	2
194	и за	1	2
195	по его	1	2
196	этом не	1	2
197	но даже	2	2
198	ему в	1	2
199	еще не	4	2
200	в чем	1	2
201	к жизни	3	2
202	ответ на	1	2
203	его на	1	2
204	некоторое время	1	2
205	его к	2	2
206	из этих	4	2
207	тому же	1	2
208	что она	2	2
209	при этом	6	2
210	вера в	1	2
211	т д	9	2
212	на этом	3	2
213	так например	6	2
214	что все	1	2
215	года на	2	2
216	было бы	1	2
217	известно что	1	2
218	ни в	1	2
219	в них	6	2
220	за это	1	2
221	писал о	1	2
222	на основании	1	2
223	с тем	8	2
224	можно считать	1	2
225	года и	1	2
226	точки зрения	3	2
227	полностью в	1	2
228	место в	1	2
229	что я	1	2
230	не будем	3	2
231	тем не	3	2
232	что сам	1	2
233	судить по	2	2
234	не менее	3	2
235	дело не	1	2
236	не по	1	2
237	к изучению	1	2
238	не имели	1	2
239	в москву	2	2
240	именно с	2	2
241	которые и	1	2
242	что на	4	2
243	в детстве	1	2
244	для себя	1	2
245	и о	1	2
246	по учению	1	2
247	из окна	1	2
248	то время	1	2
249	не столько	1	2
250	однако эта	1	2
251	он так	2	2
252	мы приведем	1	2
253	что дело	1	2
254	о котором	1	2
255	на все	2	2
256	но мы	1	2
257	на что	2	2
258	и который	1	2
259	того в	1	2
260	и мы	1	2
261	того что	4	2
262	всякого рода	3	2
263	к религиозным	1	2
264	с ними	5	2
265	всяком случае	1	2
266	по этому	3	2
267	том чтобы	1	2
268	то и	1	2
269	и других	7	2
270	из них	8	2
271	мы знаем	1	2
272	прибавить что	1	2
273	тем что	4	2
274	в очень	1	2
275	не были	2	2
276	этому времени	1	2
277	тогда же	1	2
278	с которым	1	2
279	что мы	1	2
280	жизнь в	1	2
281	начиная с	3	2
282	и а	4	2
283	п а	1	2
284	в тех	4	2
285	по существу	4	2
286	в это	3	2
287	и м	14	2
288	приведем несколько	1	2
289	под названием	1	2
290	и для	2	2
291	от него	1	2
292	мы должны	2	2
293	на такой	1	2
294	а н	18	2
295	ко времени	3	2
296	и это	1	2
297	в частности	2	2
298	как на	1	2
299	во всяком	1	2
300	все что	1	2
301	как известно	2	1
302	труд о	2	1
303	которого в	2	1
304	а из	1	1
305	на самом	2	1
306	только потому	1	1
307	можно говорить	2	1
308	и нужно	1	1
309	не имеют	1	1
310	видеть в	1	1
311	в их	4	1
312	г в	4	1
313	в и	17	1
314	между и	1	1
315	что если	1	1
316	не во	1	1
