N	3gram	Trubetskoy_1	Otkroven
1	для того чтобы	6	3
2	что же это	1	2
3	и в этом	1	2
4	никогда не было	1	2
5	не может быть	4	2
6	русского человека в	1	2
7	ни у кого	1	2
8	смысле этого слова	1	1
9	в другом месте	1	1
10	прежде всего в	1	1
11	это потому что	2	1
12	друг к другу	1	1
13	в самом деле	1	1
14	и в том	2	1
15	в совершенно ином	1	1
16	в его жизни	1	1
17	ее в этом	1	1
18	и все же	1	1
19	может быть назван	1	1
20	и не может	3	1
21	в нем все	1	1
22	во всяком случае	6	1
23	том случае если	3	1
24	даже и в	1	1
25	отношение человека к	1	1
26	о том что	2	1
27	в этом отношении	1	1
28	ко всему этому	1	1
29	а с ним	1	1
30	ли может быть	1	1
31	заключает в себе	1	1
32	он еще не	1	1
33	и прежде всего	1	1
34	в том что	7	1
35	самим собой в	1	1
36	на то что	4	1
37	и на нем	1	1
38	в силе и	1	1
39	в том случае	4	1
40	и то что	3	1
41	только вопрос о	1	1
42	друг с другом	14	1
43	от того что	1	1
44	и судьбу ее	1	1
45	к победе над	1	1
46	и вопрос о	1	1
