N	3gram	Propp_Isto_1	Otkroven
1	для того чтобы	1	3
2	и в этом	1	2
3	никогда не было	1	2
4	это было бы	1	2
5	не может быть	7	2
6	но и в	2	2
7	не могут быть	1	2
8	смысле этого слова	1	1
9	в другом месте	1	1
10	как будто бы	2	1
11	не в том	1	1
12	прежде всего в	1	1
13	ни к каким	1	1
14	это потому что	1	1
15	в одном месте	2	1
16	о том как	1	1
17	с вопросом о	1	1
18	отрицательного отношения к	1	1
19	и когда он	2	1
20	он указывает на	1	1
21	не было и	1	1
22	может быть назван	2	1
23	в иных случаях	1	1
24	он должен был	1	1
25	само по себе	2	1
26	после того как	1	1
27	о том что	3	1
28	в этом отношении	1	1
29	то что в	2	1
30	это вопрос о	1	1
31	ни с какими	1	1
32	может ли он	1	1
33	но никогда не	1	1
34	в том что	4	1
35	а иногда и	1	1
36	их не в	1	1
37	на то что	4	1
38	и с чего	1	1
39	в том случае	1	1
40	друг с другом	3	1
41	что это за	3	1
42	а не только	1	1
